TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A2LA-11A-11R-A18C-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-GC-A6I3-11A-11R-A31N-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-GD-A3OQ-11A-21R-A220-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-K4-A5RI-11A-11R-A28M-07
ERGIC1|57222	3839.941	3328.9589	4171.3781	2997.6256	2779.845	3126.5753	3300.8439	3152.1336	3272.7931	3475.8824	3014.8908	2913.7026	2258.3001	4246.0128	2976.2805	3753.9458	3672.2689	3366.1888	2955.6769
ERGIC2|51290	840.1254	871.3911	832.1555	918.4804	875.1938	772.6027	654.4304	686.4564	758.3213	623.5294	621.5019	692.7114	575.0332	805.8214	778.2743	767.1179	657.563	674.4325	630.9818
ERGIC3|51614	2438.5027	2467.1916	2161.6608	2955.6787	3961.2403	4550.137	8541.7722	4249.5362	2870.4776	3748.2353	5288.8339	3938.1924	6656.0425	11347.6874	4817.8068	3663.6378	5352.416	4372.7599	4712.1025
ERG|2078	405.6795	295.713	190.8127	835.3779	112.4031	556.7123	179.7468	420.2226	252.5326	742.9412	460.5373	376.6764	415.6707	241.2281	286.3527	191.2796	222.6891	459.9761	744.8287
ERH|2079	1159.5058	1169.7288	1258.8339	1487.1389	2029.4574	1596.7123	1500	1450.8349	1434.877	1482.9412	1242.365	1154.519	1442.2311	1404.3062	1356.8237	1157.0084	1581.9328	998.2079	1635.8251
ERI1|90459	307.5788	282.5897	310.0707	310.2493	248.062	316.7123	302.5316	198.0519	396.5268	268.8235	207.5931	292.7114	385.1262	215.7097	281.1963	295.5837	252.1008	319.5938	335.2694
ERI2|112479	190.8316	194.5932	243.6926	180.9141	237.2713	347.9014	428.2658	247.1289	359.3126	169.0412	250.2232	235.1953	259.7211	451.2799	347.1124	455.9186	421.9485	138.6201	158.4498
ERI3|79033	730.9607	720.035	848.9399	716.6601	789.9225	833.9726	1088.6076	637.7551	842.9812	815.2941	746.6965	731.1953	1591.6335	1080.941	768.3053	699.8035	838.7605	628.4349	910.2925
ERICH1|157697	259.6349	301.8373	303.0035	313.8108	166.6667	219.1781	379.7468	342.3006	186.686	257.0588	427.9612	288.6297	426.9588	269.1388	340.6669	389.8905	375	338.7097	427.4082
ERLEC1|27248	1131.477	1058.6177	1200.53	1067.6692	1054.2636	1501.9178	1194.0928	1201.2987	1316.932	1386.4706	1164.4377	1026.8222	1208.4993	1968.1021	1405.9814	1480.5842	1203.7815	836.9176	1356.9968
ERLIN1|10613	615.8953	494.3132	521.2014	441.6304	1826.3566	1209.863	1499.5781	1657.6994	856.0058	842.9412	1745.6984	794.1691	570.3851	796.252	2599.175	1895.8009	1297.2689	2326.1649	1094.0877
ERLIN2|11160	1336.5296	1221.3473	1537.1025	1487.1389	1180.6202	1644.9315	1720.2532	1085.3432	1562.2287	1666.4706	2041.4388	1209.9125	9477.4236	1769.1388	1612.9254	2446.6462	2252.6261	1427.1207	967.6984
ERMAP|114625	231.6061	206.4742	235.8657	193.5101	202.3256	255.8904	229.9578	169.7588	224.3126	272.3529	379.4163	278.7172	185.923	314.1946	308.6971	517.5213	523.1092	175.0299	253.261
ERMN|57471	2.2128	3.4996	0	2.3744	10.8527	4.9315	1.6878	11.5955	0	2.3529	9.5812	13.9942	108.2337	26.3158	5.8439	5.9983	4.7269	2.9869	42.4514
ERMP1|79956	326.0704	237.9878	249.1431	251.7293	4886.093	3230.2411	2399.6456	4380.4731	411.78	1015.9529	3634.8405	1681.6735	980.093	4360.2751	8190.6669	5047.1826	3316.9065	3564.2413	1135.1015
ERN1|2081	120.2287	173.2283	92.7562	206.5691	44.9612	167.6712	23.2068	131.7254	71.6353	159.4118	174.3782	87.4636	15.9363	91.7065	90.7528	312.5789	129.2017	324.3728	126.8717
ERN2|10595	0.7376	0	0	0	157.3643	58.6301	220.2532	17.6252	0.7236	38.2353	95.8122	83.3819	2580.3453	584.9282	754.8986	215.6061	1358.1933	301.6726	65.1243
ERO1LB|56605	267.7485	253.7183	242.0495	335.9715	114.7287	250.9589	205.9072	104.8237	171.4906	235.2941	412.6312	260.0583	260.2922	292.6635	139.5669	283.587	331.9328	297.491	271.1099
ERO1L|30001	532.5466	566.0542	492.0495	660.0712	2155.814	976.4384	536.2869	5925.7885	562.9522	515.2941	735.199	575.5102	326.0292	835.7257	674.8023	1071.699	611.3445	1388.8889	564.8927
ERP27|121506	1.4752	2.6247	0	4.7487	18.6047	155.6164	645.1477	8.3488	7.2359	130	197.3731	474.6356	913.6786	559.8086	746.6483	1679.8616	2435.9244	673.8351	140.379
ERP29|10961	1925.1337	1678.0402	1644.8763	1775.6233	5029.4574	4170.9589	7050.211	3338.1262	2330.6802	3134.1176	3674.0788	3052.4781	7318.0611	5949.7608	3363.3551	3037.1471	5117.6471	2641.5771	3930.1289
ERP44|23071	1081.3203	1020.1225	959.364	1094.1828	2575.1938	1657.5342	2468.7764	2145.1763	1137.4819	1252.9412	1332.4284	1241.9825	1408.3665	1539.075	2020.2819	1348.288	1510.5042	1536.4397	1604.469
ERRFI1|54206	3137.009	9461.9423	2984.9823	40146.023	1241.8605	2386.3014	5762.8692	8358.9981	1474.6744	2322.9412	12522.6556	6157.4344	1590.3054	4226.874	3913.3723	2468.3068	2100.8403	13777.1804	2741.4904
ERVFRDE1|405754	34.6672	27.1216	15.9011	17.8077	3.1008	19.1781	4.6414	1.8553	5.0651	27.6471	4.4712	13.9942	7.9681	7.177	6.5315	7.9978	9.4538	4.779	9.1656
ESAM|90952	557.6249	548.5564	512.3675	1028.0966	379.0698	1241.6438	555.6962	901.6698	547.7569	1921.1765	925.5459	877.551	1247.676	702.9506	718.46	412.884	390.2311	502.3895	1147.6343
ESCO1|114799	411.5803	429.5713	411.6608	269.4895	534.8837	343.0137	278.903	504.1744	252.5326	336.4706	615.7531	462.9738	246.3479	480.4625	501.8907	474.8666	475.8403	434.8865	380.6152
ESCO2|157570	5.1632	12.2485	3.5336	5.9359	69.7674	129.3151	26.1603	70.9647	293.7771	19.4118	8.3037	14.5773	105.5777	69.7767	17.5318	27.3257	5.2521	3.5842	30.3913
ESD|2098	2867.7854	2621.1724	3254.417	2783.9335	1418.6047	1701.9178	2114.7679	1523.6549	2776.411	2750.5882	1690.7661	2561.516	967.4635	1590.1116	1351.3235	1642.5387	1869.2227	1374.552	1694.6781
ESF1|51575	477.2266	573.9283	431.0954	558.3696	399.2248	517.2603	360.7595	552.8757	327.0622	349.4118	487.3648	405.2478	88.3134	677.4322	392.9185	505.8579	370.7983	430.7049	336.2342
ESM1|11082	1.4752	0.8749	1.7668	7.1231	3.876	127.1233	10.5485	5.102	1.4472	1.7647	31.2987	3.4985	4.6481	16.3477	2.7501	22.9935	11.0294	10.1553	5.3064
ESPL1|9700	2.9504	7.874	2.6502	17.412	3674.4186	328.2192	42.616	1589.9814	314.7612	44.1176	61.9586	34.4023	199.2032	116.4274	263.6645	29.3251	13.6555	57.3477	60.3002
ESPNL|339768	76.7103	73.4908	61.8375	8.706	14.7287	7.6712	9.7046	19.9443	135.3111	96.4706	26.8274	77.551	95.6175	22.7273	21.3132	31.991	12.0798	3.5842	18.8137
ESPNP|284729	0	0	0	0	0	0	0	0	0	0	0.6387	0.5831	0	0	0.3438	0.3332	0	0	0
ESPN|83715	8.8512	6.1242	4.417	3.9573	724.8062	123.8356	35.0211	680.8905	7.2359	10	10.22	26.2391	245.0199	12.7592	522.5163	34.6569	43.5924	38.8292	20.2609
ESR1|2099	101.7887	185.4768	302.1201	88.2469	1848.062	363.8356	215.1899	7181.3544	107.0912	262.3529	583.8157	245.481	104.9137	86.5231	2692.3341	301.582	332.9832	184.5878	243.1306
ESR2|2100	7.376	2.6247	3.5336	4.7487	9.3023	36.7123	18.9873	45.9184	3.6179	30.5882	27.4662	14.5773	97.6096	17.9426	10.3128	41.9882	50.9454	97.3716	67.0539
ESRP1|54845	0	0	0	3.1658	4927.1318	2436.7123	2660.3376	5685.5288	4.3415	252.9412	1750.1697	534.6939	1420.3187	2714.5136	3142.6607	1827.1535	2423.8445	2415.1732	1669.5932
ESRP2|80004	165.9598	129.4838	162.5442	122.2794	4886.0465	791.7808	2499.1561	2925.7885	172.9378	409.4118	1681.1849	831.4869	1096.2815	1895.1356	2487.109	1822.1549	3033.0882	2063.3214	984.1
ESRRA|2101	725.7975	757.6553	823.3216	727.7404	2768.9922	847.1233	1717.2996	1754.6382	630.246	679.4118	1121.6416	1064.723	1529.2165	675.0399	2345.8233	1054.0373	1546.7437	1177.4194	1262.9284
ESRRB|2103	1.4752	0.8749	4.417	0	0	2.7397	0	0	1.4472	1.7647	0.6387	3.4985	0.664	1.1962	1.7188	0.6665	2.1008	0	3.8592
ESRRG|2104	59.0079	76.9904	80.3887	83.1025	17.0543	75.6164	41.3502	7.885	107.8148	77.6471	35.1311	75.8017	10.6242	137.1611	44.6889	122.9655	87.1849	22.7001	13.0249
ESX1|80712	0	0	0	0	0	0.5479	0	0	0	0	0	0	0	0.3987	0	0	0	0	0
ESYT1|23344	5338.7424	5000.8749	6415.1943	3977.0479	1877.5194	4058.6301	4319.8312	2359.9258	6199.7106	6063.5294	3680.4663	4164.4315	3282.2045	3456.5391	2304.2283	5270.5199	3127.6261	4411.589	3266.8262
ESYT2|57488	5579.9373	5834.6457	6303.8869	6542.5406	2810.0775	3612.6027	1878.481	3911.8738	5432.7062	4893.5294	3089.6243	3833.2362	1487.3838	2228.8676	2708.8347	3350.3924	2234.2437	6867.9809	3669.6318
ESYT3|83850	104.0015	98.8626	58.3039	267.9066	25.5814	9.863	4.2194	17.6252	33.2851	72.9412	2.555	27.4052	5.3121	27.1132	6.5315	6.998	14.7059	0.5974	5.3064
ETAA1|54465	194.7262	100.6124	189.0459	70.0435	287.5969	312.3288	258.2278	232.8386	280.7525	214.1176	221.0068	219.242	423.6388	437.4003	388.1059	405.2195	287.2899	133.2139	246.5074
ETF1|2107	4224.2301	5842.5197	4123.6749	7090.6213	3827.1318	3111.2329	5048.9451	7163.7291	2981.9103	3174.7059	4940.0774	3118.3673	2039.1766	2651.1164	3794.0873	2699.9084	2695.3782	6615.8901	3444.3501
ETFA|2108	1602.0653	1323.7095	1563.6042	1518.0055	2131.7829	1239.4521	1677.2152	2635.436	1500.7236	1201.7647	1127.3903	1436.7347	1515.2722	1799.8405	2119.6287	1423.267	1488.4454	1332.1386	1404.7546
ETFB|2109	1804.1674	1221.3473	1832.1555	1499.8021	5990.6977	1403.8356	2654.0084	2051.9481	1416.7873	1602.3529	1129.9453	1953.9359	4521.2483	1610.4466	1519.7662	1080.6965	1908.0882	850.6571	1948.4216
ETFDH|2110	559.8377	531.9335	576.8551	663.237	1148.8372	400	496.6245	1185.9926	483.3575	389.4118	515.4697	566.1808	251.66	483.6523	689.9278	518.521	492.1218	513.7395	355.5303
ETHE1|23474	369.5372	377.9528	429.3286	553.2252	999.2248	651.5068	1163.2911	994.4341	498.5528	380	495.0297	643.1487	1963.4794	950.1595	935.7167	665.1465	899.6849	538.2318	1025.5866
ETNK1|55500	620.3209	697.2878	468.1979	749.9011	743.4109	1080.5479	721.097	903.9889	445.0072	749.4118	1148.469	919.5335	638.1142	1142.3445	965.6239	1130.6825	1021.5336	1337.5149	993.2657
ETNK2|55224	174.0734	133.8583	166.0777	168.1836	2055.814	286.0274	649.3671	1017.1614	177.2793	308.2353	577.4282	279.3003	271.5803	485.6459	413.5442	271.9236	461.1345	612.3059	355.0479
ETS1|2113	936.7509	1657.9178	693.4629	5527.8987	851.1628	5467.9452	2870.0422	3242.115	1238.7844	3335.8824	6144.7563	2597.6676	2609.5618	4592.1053	1663.4582	3766.6089	2513.6555	5786.7384	5389.3949
ETS2|2114	3269.7769	10326.3342	2293.2862	23362.8809	5999.2248	10134.7945	25138.3966	11785.7143	2287.9884	7299.4118	32367.2801	7027.9883	11142.7623	16745.2153	22551.0485	9753.261	5248.9496	40647.5508	10892.6366
ETV1|2115	222.7549	128.6089	215.5477	179.6597	28.6822	594.5205	117.2996	59.833	416.7873	199.4118	429.2387	118.3673	40.5046	143.5407	66.0021	347.5691	35.1891	191.1589	124.9421
ETV2|2116	2.9504	4.3745	5.3004	6.3316	44.9612	11.5068	48.5232	36.6419	15.1954	11.1765	15.9687	18.6589	88.3134	34.2903	17.8756	20.3276	35.7143	17.9211	15.9193
ETV3L|440695	1.4752	3.4996	0.8834	5.5402	2.3256	5.4795	1.2658	10.2041	2.1708	6.4706	8.3037	4.0816	7.9681	5.5821	6.8752	18.6614	5.7773	8.3632	3.8592
ETV3|2117	223.4925	244.9694	183.7456	284.5271	120.9302	283.8356	121.097	278.2931	170.0434	267.0588	541.0196	205.2478	33.8645	385.1675	517.7037	1065.3675	402.3109	821.9833	166.9111
ETV4|2118	6.6384	6.9991	7.9505	15.4333	136.4341	650.411	227.0042	204.0816	6.5123	25.2941	78.566	82.2157	545.1527	68.1818	84.5651	70.3136	35.1891	78.2557	199.7144
ETV5|2119	243.4077	181.9773	183.7456	214.0879	60.4651	325.4795	221.097	141.0019	233.7192	244.7059	286.7979	159.1837	200.5312	112.8389	136.473	247.9304	147.584	219.8327	382.5448
ETV6|2120	1437.5807	2170.6037	1339.2226	2423.0313	828.6822	1021.9178	848.9451	697.1243	1568.741	1402.3529	746.0577	1366.1808	2182.6029	1122.0096	1106.9096	1426.9326	1720.5882	898.4468	1191.5329
ETV7|51513	1.4752	22.7472	6.1837	110.0119	112.4031	107.9452	273.8397	45.9184	8.6831	50	131.5821	75.8017	205.1793	141.9458	630.801	145.6258	265.2311	77.0609	267.7331
EVC2|132884	252.2589	153.1059	233.2155	187.5742	32.5581	225.7534	91.9831	108.5343	170.0434	254.7059	199.9281	275.8017	42.4967	85.7257	121.0038	211.274	169.1176	133.2139	81.0435
EVC|2121	1457.8204	1350.7874	1725.3975	1431.298	195.9535	626.5041	136.4135	231.0807	1256.657	1357.3471	542.4823	1042.9621	100.0465	207.1372	429.175	890.1567	424.7059	528.6738	457.8139
EVI2A|2123	144.5694	181.1024	56.5371	49.4658	113.9535	351.2329	118.9873	232.3748	85.3835	170.5882	215.8968	299.7085	320.0531	291.0686	128.9103	129.297	70.9034	147.5508	648.8307
EVI2B|2124	183.6622	284.3395	71.5548	66.482	219.3798	461.9178	117.7215	451.7625	119.3922	331.7647	125.1946	650.7289	573.0412	704.1467	159.8487	195.6117	98.2143	172.6404	861.5699
EVI5L|115704	726.5351	824.147	988.5159	644.6379	666.6667	412.6027	466.2447	680.4267	931.9826	637.6471	490.5585	559.1837	432.9349	566.5869	716.7411	534.8498	491.5966	658.9008	618.4393
EVI5|7813	585.6537	618.5477	553.8869	614.9584	337.9845	527.6712	253.5865	363.6364	606.3676	477.0588	431.1549	448.3965	159.3625	633.1738	388.4496	546.5132	360.8193	369.1756	411.0065
EVL|51466	1048.8659	975.5031	1215.5477	1067.2734	915.5039	1069.0411	1198.7342	968.4601	1432.7062	1291.1765	1129.9453	1823.9067	3080.3453	946.1722	1019.5944	1150.3436	1437.5	890.681	2015.4755
EVPLL|645027	0.7376	0	0	0	185.2713	7.6712	88.1857	102.5046	0	1.1765	120.0846	15.7434	0	16.7464	74.9398	154.29	201.1555	98.5663	51.1346
EVPL|2125	56.0575	18.3727	39.7527	17.412	22310.8527	1519.4521	4739.2405	20242.5788	10.8538	441.1765	3177.7716	838.484	1707.8353	4430.622	6030.2509	3757.2782	7188.0252	5051.374	1452.9948
EVX1|2128	0.7376	0	0	0.3957	0.7752	23.0137	46.8354	3.2468	1.4472	13.5294	24.9112	6.414	7.9681	70.1754	196.2874	82.9767	10.5042	35.2449	66.5715
EVX2|344191	0	0	0	0	0.7752	0.5479	0	0	0.7236	0	0.6387	0	0	0	2.0626	0	0.5252	0	0
EWSR1|2130	3429.8359	4101.4873	4037.9859	4567.867	5195.3488	4492.6027	6205.9072	5697.5881	3747.4674	4728.8235	5597.9879	4197.6676	6492.0319	3570.9729	5677.5524	4254.8051	5228.4664	5490.4421	5588.6269
EXD1|161829	0	0	0	0	0	0	2.5316	0	0	0	0	0	0	0	0.3438	0	0	0	0.4824
EXD2|55218	714.7335	748.9064	717.3145	574.5944	1047.2868	580.274	420.2532	381.7254	785.0941	621.7647	429.2387	654.8105	158.6985	724.8804	491.5779	671.4781	576.6807	338.1123	273.0395
EXD3|54932	89.9871	78.7402	100.7067	119.5093	180.6202	142.4658	207.173	165.1206	63.6758	140	289.9916	232.07	583.0013	137.1611	331.7291	223.9371	333.5084	403.2258	259.5323
EXO1|9156	2.9504	2.6247	3.5336	2.3744	139.5349	267.3973	31.6456	77.9221	187.4096	15.8824	36.4086	22.7405	144.0903	67.7831	17.188	16.3287	2.1008	0.5974	36.1801
EXOC1|55763	618.1081	533.6833	617.4912	524.7329	1467.4419	658.0822	913.0802	1179.9629	560.0579	668.8235	1156.7727	762.6822	634.7942	1229.2663	1512.2035	1111.0213	1274.6849	839.9044	801.2697
EXOC2|55770	617.3705	703.4121	666.0777	537.3961	824.8062	1081.6438	464.9789	826.9944	520.2605	714.1176	861.0324	569.6793	417.6627	1142.7432	779.3056	862.0912	513.1303	574.0741	552.3503
EXOC3L2|90332	17.7024	27.1216	24.735	16.2248	27.1318	229.0411	86.9198	82.0965	33.2851	104.1176	144.3571	43.1487	197.2112	110.4466	63.5957	92.6407	66.1765	45.4002	184.2776
EXOC3L|283849	24.3408	28.7752	11.4841	42.7384	34.8837	110.7342	54.0084	41.7208	43.343	62.7353	82.3666	58.898	237.8619	46.0486	77.3462	66.0081	67.1586	47.3775	104.1409
EXOC3|11336	2588.9729	1967.629	2299.47	2060.9418	1737.2093	1198.9041	1888.6076	1761.5955	1877.7135	1965.2941	1366.9208	1914.2857	1917.6627	1267.5439	1451.3579	1249.6491	1294.6429	1306.4516	1381.5993
EXOC4|60412	1504.7022	1318.4602	1508.8339	1437.6731	743.4109	1699.726	2175.1055	1765.7699	1518.8133	1707.6471	1684.3786	1267.6385	1992.0319	1911.4833	1847.0265	1680.8613	1708.5084	1473.7157	1152.9407
EXOC5|10640	2133.8742	2242.3447	2310.0707	2593.985	1153.4884	1632.8767	563.2911	1170.6865	2574.5297	1472.9412	859.7549	1292.7114	440.9031	1139.9522	862.8395	1237.9857	716.3866	869.1756	841.7914
EXOC6B|23233	324.5436	301.8373	291.5194	392.1646	190.6977	210.9589	62.4473	202.6902	270.6223	287.6471	293.1854	159.7668	5.9761	149.9203	147.4734	370.5626	196.4286	289.7252	58.3706
EXOC6|54536	517.057	570.4287	559.1873	569.8457	247.2868	410.411	247.2574	264.3785	560.0579	542.3529	240.808	478.1341	320.0531	406.2998	344.4483	352.2344	236.8697	268.2198	343.4702
EXOC7|23265	3876.6365	3390.2012	4600.7067	3919.0503	4129.4574	3224.6575	4226.1603	3407.6994	4179.4501	4126.3176	4476.8829	3659.4752	2785.3519	4370.3987	4051.2238	4714.9292	5224.8319	4397.1565	3579.9051
EXOC8|149371	483.1274	281.7148	282.6855	320.1425	366.6667	423.5616	348.9451	681.3544	268.4515	284.7059	349.3952	390.6706	247.012	517.1451	369.5428	412.5508	363.9706	486.8578	396.052
EXOG|9941	154.8958	272.9659	154.5936	124.6537	103.1008	138.6301	139.2405	105.7514	187.4096	126.4706	193.5407	144.0233	256.3081	127.5917	212.7879	204.276	148.6345	110.5137	164.0167
EXOSC10|5394	988.3828	972.0035	1134.2756	899.4856	1112.4031	1258.6301	1268.7764	1327.9221	920.4052	1177.0588	1087.1492	1144.0233	706.5073	1000.3987	1299.4156	1100.6909	1232.6681	1086.6189	1126.4086
EXOSC1|51013	271.4365	311.4611	319.788	294.0245	501.5504	379.726	599.1561	439.7032	314.0376	348.2353	369.1964	397.6676	541.1687	725.2791	487.4527	380.893	478.9916	264.0382	433.6794
EXOSC2|23404	335.6076	308.8364	374.5583	370.7954	370.5426	409.3151	367.0886	433.2096	343.7048	416.4706	378.7776	422.1574	782.8685	220.4944	414.2317	390.2237	501.5756	378.1362	422.5841
EXOSC3|51010	227.9181	211.7235	179.3286	241.393	389.9225	398.3562	479.7468	411.41	230.8249	238.2353	334.0652	253.6443	314.741	455.3429	282.2276	267.9248	269.4328	265.8303	306.8077
EXOSC4|54512	179.9742	169.7288	209.364	221.6066	405.4264	292.0548	646.8354	405.3803	195.369	223.5294	204.3994	256.5598	2307.4369	411.882	383.2932	192.2793	389.7059	361.4098	778.5968
EXOSC5|56915	227.9181	230.9711	272.0848	185.9913	614.7287	479.4521	636.7089	389.1466	182.3444	284.7059	291.9079	275.2187	1517.2643	474.0829	389.4809	320.5766	669.6429	234.767	397.9816
EXOSC6|118460	210.2157	212.5984	201.4134	232.2913	375.969	452.6027	659.0717	387.2913	260.492	270.5882	313.6253	298.5423	516.6003	454.5455	273.2898	228.2692	549.895	373.3572	458.2819
EXOSC7|23016	480.9146	384.077	500	358.1322	548.8372	528.2192	1365.8228	552.8757	358.1766	574.7059	790.1313	547.5219	1660.0266	608.453	889.6528	599.8315	987.9202	726.4038	776.6672
EXOSC8|11340	267.4903	246.4392	315.3269	356.1298	375.1628	309.4685	427.4135	312.1568	287.3372	346.0941	230.7158	308.3907	721.9124	361.7504	280.2888	248.7568	318.0095	251.3023	355.4097
EXOSC9|5393	226.8634	245.7043	267.6237	311.3099	439.5426	404.3616	806.4895	568.4601	285.6946	366.8176	541.3837	397.481	784.1833	489.3142	474.3829	325.5486	408.9758	454.5579	456.4295
EXPH5|23086	69.3343	126.8591	42.4028	58.5675	659.6899	336.4384	159.4937	521.7996	90.4486	77.0588	286.7979	132.9446	65.7371	376.7943	478.1712	270.9239	276.7857	149.3429	101.3044
EXT1|2131	900.6085	1172.3535	1043.2862	1666.4028	884.4961	1627.3973	1022.3629	935.9926	1306.0781	1325.8824	901.9123	962.6822	1416.3347	805.8214	1199.3812	1166.3391	788.3403	1318.399	1646.9203
EXT2|2132	1444.9567	1289.5888	1272.0848	1461.4167	1080.6202	2069.589	1627.0042	1395.1763	1984.8046	1772.3529	1815.322	1550.4373	968.1275	1921.4514	1471.9835	1644.8714	1157.563	1502.9869	1612.6698
EXTL1|2134	16.2272	36.7454	54.7703	33.6367	1.5504	14.2466	10.1266	6.4935	57.8871	38.2353	16.6074	23.9067	9.9602	9.9681	7.9065	21.6606	12.605	5.9737	6.7536
EXTL2|2135	520.0074	441.8198	457.5972	427.78	112.4031	484.3836	223.6287	127.0872	692.4747	426.4706	343.0077	346.9388	106.2417	382.7751	194.5686	505.1915	315.6513	205.4958	247.9546
EXTL3|2137	1977.5032	1973.7533	2555.6537	1316.9767	755.814	1431.2329	1027.0042	759.2764	2369.754	1695.2941	1449.3193	1155.6851	1575.6972	840.1116	833.276	1722.8495	1227.9412	998.8053	1204.0753
EYA1|2138	305.366	40.245	137.8092	7.5188	65.8915	174.7945	50.211	41.744	365.4124	220.5882	28.1049	172.5948	69.0571	7.9745	113.7848	101.9714	22.584	29.2712	123.0125
EYA2|2139	44.9935	32.371	38.8693	29.6795	1705.4264	106.8493	437.9747	2117.3469	104.9204	74.7059	130.9434	267.0554	1198.5392	744.8166	1590.9247	294.2507	497.8992	47.1924	114.8117
EYA3|2140	60.4831	84.8644	41.5194	83.4982	100	129.863	49.3671	140.538	33.2851	114.7059	136.0533	83.3819	35.8566	118.4211	98.6593	161.288	79.3067	162.4851	60.7826
EYA4|2070	112.8527	106.7367	53.8869	48.2786	14.7287	317.2603	51.4768	22.7273	196.8162	194.1176	500.7785	117.7843	35.8566	58.2137	43.3139	208.6081	32.563	232.3775	108.058
EYS|346007	9.5888	3.4996	7.0671	8.3102	6.2016	7.1233	3.7975	3.7106	5.0651	8.2353	15.9687	5.8309	0.664	4.7847	3.7814	12.9964	2.6261	5.3763	4.3416
EZH1|2145	2824.267	1753.2808	2549.47	1630.7875	652.7132	744.6575	453.1646	435.0649	1321.9971	2419.4118	970.2583	2224.4898	639.4422	877.193	760.3988	1094.0261	1103.4664	563.9188	752.5471
EZH2|2146	7.376	19.2476	4.417	113.9691	448.8372	321.0959	133.7553	320.5009	522.4313	72.9412	77.2885	76.9679	555.7769	108.453	151.9422	66.6479	56.7227	73.4767	181.3831
EZR|7430	6375.0691	8757.6553	7165.1943	8918.0847	11178.2946	7702.4658	40128.27	26565.8627	5720.6946	6789.4118	48886.5823	12060.6414	8307.4369	13190.9888	27724.9914	14327.9762	15693.2773	77186.3799	15850.2817
F10|2159	302.4156	230.0962	560.9541	336.763	106.2016	772.0548	186.4979	137.2913	306.0781	785.8824	371.1126	592.4198	243.6919	343.7002	113.0973	364.5643	342.9622	284.3489	831.661
F11R|50848	493.4538	412.9484	227.9152	669.9644	7100	4842.7397	16569.6203	10375.2319	385.6729	2170.5882	11747.2155	3342.2741	6545.8167	10710.1276	11331.0588	7485.5645	7744.7479	17072.8793	5121.1794
F11|2160	0	0	0	1.1872	0	1.0959	0	0	0	0	0.6387	0	0.664	0.3987	0	0.3332	0	0.5974	0.4824
F12|2161	0	2.6247	0	2.3744	298.4496	40	85.654	271.7996	2.1708	2.9412	17.2462	11.6618	453.5193	106.8581	165.3489	19.6611	18.9076	14.3369	41.969
F13A1|2162	3775.0323	4536.308	1250	1688.9592	644.186	890.411	490.7173	1461.9666	7818.3792	1985.2941	882.7498	1053.6443	825.3652	622.4083	641.1138	1348.288	169.1176	790.3226	7076.3546
F13B|2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5252	0	0
F2RL1|2150	11.8016	18.3727	9.7173	2.7701	565.8915	676.7123	3395.3586	691.0946	6.5123	170	1955.8465	323.6152	118.1939	888.756	1022.0007	1054.3706	1222.1639	7041.816	1101.8061
F2RL2|2151	16.2272	18.3727	28.2686	34.0324	13.9535	80.5479	42.1941	1.3915	23.8784	12.9412	32.5762	16.3265	46.4807	17.1451	11.6879	28.3254	1.5756	55.5556	41.969
F2RL3|9002	85.5615	19.2476	26.5018	30.0752	29.4574	162.7397	28.692	339.5176	39.0738	164.1176	9.5812	99.7085	749.004	103.2695	44.0014	42.9879	34.1387	48.3871	195.3728
F2R|2149	323.0684	180.2275	542.4028	441.2347	133.3333	1357.8082	274.2616	234.2301	397.974	551.1765	485.4485	330.6122	339.3094	407.496	203.8501	506.5244	112.9202	387.6941	868.3236
F2|2147	2.9504	0	6.1837	0.3957	0	0	0.4219	0	2.1708	1.7647	0.6387	1.1662	0.664	0	0.3438	1.333	2.1008	0	0.4824
F3|2152	511.1562	1264.217	545.9364	3590.0277	4446.5116	7567.6712	2881.0127	12859.9258	179.4501	1744.7059	9906.3436	1058.8921	956.1753	6947.3684	3360.605	2937.1751	689.6008	6332.1386	1054.5307
F5|2153	25.0784	73.4908	61.8375	13.059	5.4264	221.9178	1016.8776	55.1948	40.521	134.1176	347.4789	287.4636	1144.7543	25.5183	179.7869	153.6235	27.8361	215.0538	223.3521
F7|2155	0	0.8749	2.6502	2.7701	0	4.3836	1.2658	3.2468	0	7.0588	3.8325	6.414	9.9602	3.5885	3.4376	1.9994	11.0294	1.1947	8.6832
F8A1|8263	108.4271	81.3648	164.311	45.9042	135.6589	118.3562	107.173	66.7904	146.8886	84.7059	72.1785	111.3703	148.0744	200.1595	90.7528	104.9705	153.3613	37.6344	143.2734
