TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A2LA-11A-11R-A18C-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-GC-A6I3-11A-11R-A31N-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-GD-A3OQ-11A-21R-A220-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-K4-A5RI-11A-11R-A28M-07
ABCA11P|79963	54.4569	61.776	84.4346	77.7681	56.0388	60.789	31.9325	36.3265	76.7149	75.1353	100.1876	72.3848	38.5325	38.2815	60.0481	106.0336	104.7952	53.3453	51.7376
ABCA12|26154	0	0	0	0.3957	894.5736	21.3699	6.7511	291.744	1.4472	0	10.8587	19.242	3.3201	15.949	181.1619	10.3304	2.1008	8.3632	1.9296
ABCA13|154664	0	0	0	0	360.4651	25.2055	11.3924	9.2764	0.7236	1.1765	6.3875	7.5802	13.2802	61.4035	73.5648	143.9596	53.5714	23.8949	3.3768
ABCA17P|650655	1.4752	6.1242	1.7668	2.7701	0.7752	1.0959	7.173	3.2468	3.6179	2.9412	3.1937	5.2478	7.3041	3.1898	1.7188	6.998	9.979	1.7921	1.4472
ABCA1|19	3809.6847	2919.5013	1909.894	4962.6949	1272.093	933.1342	424.0506	444.3414	1884.8625	1829.3882	1176.5739	2116.0058	369.1899	973.2775	713.6404	2414.9818	1008.3981	547.7897	1210.3466
ABCA2|20	1068.7811	832.021	1351.5901	903.8385	458.9147	850.411	384.3882	459.1837	1319.1027	1210	996.447	963.2653	915.0066	326.9537	591.6122	1080.03	788.8655	920.5496	806.5761
ABCA3|21	791.4439	658.7927	1199.6466	510.091	115.5039	240.5479	118.9873	135.436	988.4226	613.5294	158.4095	471.137	355.9097	115.63	115.8474	389.5573	246.3235	80.6452	251.3314
ABCA4|24	26.5536	17.4978	5.3004	12.6632	52.7132	6.0274	10.9705	13.4508	13.7482	12.3529	3.8325	4.0816	59.0969	15.5502	6.8752	0.9997	1.5756	1.1947	77.6667
ABCA5|23461	169.5003	96.238	117.4912	240.6015	812.4031	308.4932	446.4135	611.7811	76.7004	269.4118	897.441	301.4577	163.3466	474.8804	753.1798	707.468	485.8193	770.6093	239.2714
ABCA6|23460	859.303	348.2065	351.5901	284.1314	10.8527	254.7945	329.9578	70.9647	376.9899	682.3529	743.5027	523.0321	101.5936	215.311	105.1908	460.5373	132.8782	960.5735	572.6111
ABCA7|10347	26.5536	55.993	29.1519	43.5299	714.7287	250.9589	244.3038	388.2189	41.9682	124.7059	337.259	303.7901	1367.1979	645.933	621.1757	377.8939	215.3361	441.4576	299.5716
ABCA8|10351	1377.8351	835.5206	539.7527	1054.2145	45.7364	1418.0822	283.9662	289.4249	696.8162	1877.0588	1906.6629	613.4111	205.8433	457.7352	100.0344	1044.7066	480.042	1624.8507	715.8845
ABCA9|10350	1062.8803	710.4112	590.9894	391.3732	13.1783	330.9589	25.7384	25.0464	450.7959	768.2353	234.4205	661.8076	45.1527	78.9474	95.9092	181.6157	33.6134	280.1673	406.1825
ABCB10|23456	500.0922	560.8049	585.689	491.8876	349.6124	422.4658	121.9409	310.7607	753.9797	447.6471	343.6465	463.5569	209.1633	406.2998	343.7607	383.8922	265.7563	266.4277	448.6338
ABCB11|8647	0.7376	0.8749	0	0	0	5.4795	1.2658	2.3191	0	1.1765	3.1937	1.7493	0	0.7974	9.9691	4.6654	0	1.1947	2.8944
ABCB1|5243	58.2703	60.3675	29.1519	164.2264	36.4341	745.2055	186.0759	177.6438	72.3589	211.1765	314.264	148.105	150.0664	217.3046	132.0041	285.2532	297.7941	302.27	215.6337
ABCB4|5244	40.568	38.4952	93.6396	83.1025	13.1783	44.3836	45.9916	12.0594	133.864	69.4118	34.4924	60.6414	61.753	55.0239	23.032	45.6538	11.5546	32.2581	52.0994
ABCB5|340273	72.2847	41.9948	27.3852	80.3324	0	111.7808	5.4852	2.3191	39.7974	61.1765	11.4975	78.1341	11.2882	3.1898	19.9381	8.6642	0.5252	14.3369	29.4265
ABCB6|10058	713.6124	549.825	617.7385	630.4788	3209.7442	589.2329	1390.7342	568.6688	636.8524	707.1706	857.6151	629.6152	603.8977	512.9904	1090.1478	893.3791	949.7059	550.4898	716.3428
ABCB7|22	489.7658	435.6955	431.0954	605.0653	311.6279	372.6027	460.7595	478.2004	506.5123	561.7647	406.8825	550.4373	278.8845	421.8501	376.418	370.2294	402.8361	387.6941	324.1741
ABCB8|11194	326.0188	448.8189	386.9258	422.2398	784.4961	608.2192	383.1224	691.0946	515.1954	464.1176	351.9502	465.3061	1128.8181	283.0941	595.7374	428.5463	337.7101	329.7491	541.7374
ABCB9|23457	46.4687	30.035	46.2014	30.8033	91.0155	60.5534	59.827	65.1623	81.1939	113.3	65.7272	76.0991	275.6773	104.7089	80.8422	84.433	91.313	17.9211	52.0801
ABCC10|89845	362.8988	295.713	397.5265	184.0127	531.0078	426.3014	405.4852	380.7978	295.2243	391.7647	541.6583	478.1341	334.6614	689.7927	700.2406	889.0836	776.2605	414.5759	430.785
ABCC11|85320	0	0	0	0	3.876	0	14.346	1.8553	2.1708	0.5882	3.8325	2.9155	9.2961	2.3923	4.4689	2.9992	11.5546	5.9737	0.9648
ABCC12|94160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13|150000	0	0	0	0	2.3256	0.5479	1.2658	4.1744	0	0	0	5.2478	5.9761	0.3987	0.6875	5.3318	0	0	0.9648
ABCC1|4363	2434.0771	1809.2738	1864.841	1605.8567	5118.6047	2153.4247	1550.211	2048.7013	2002.1708	1388.8235	1476.7855	1716.6181	1555.1129	1578.1499	1309.3847	1892.4685	909.6639	1535.2449	1617.4938
ABCC2|1244	21.3904	9.6238	27.3852	26.5137	31.7829	12.0548	3.3755	6.4935	23.8784	58.2353	22.9949	80.4665	24.5684	7.5758	15.1255	15.329	4.2017	16.7264	36.1801
ABCC3|8714	18.44	29.7463	8.8339	18.9949	954.2636	1295.8904	1796.6245	229.5918	7.2359	348.8235	2796.439	1188.3382	771.5803	1400.7177	1661.3957	3021.4848	3264.7059	5858.4229	2084.4589
ABCC4|10257	736.1239	702.5372	1318.9046	999.6043	141.0853	1364.3836	2284.8101	213.8219	1179.4501	1145.8824	2806.6589	810.4956	306.7729	1491.2281	773.8054	3508.3481	1629.2017	3043.6081	1187.6737
ABCC5|10057	564.2633	363.0796	534.4523	394.539	2877.5194	1032.3288	4321.9409	1405.3803	470.3329	1013.5294	3039.1632	1437.3178	1264.2762	2687.0016	2958.0612	4340.4477	3308.2983	11025.0896	1654.6388
ABCC6P1|653190	1.4752	0	0	0.7915	0	0	0.4219	0	0.7236	1.1765	0	0.5831	1.992	0.7974	0	1.9994	1.0504	0.5974	0
ABCC6P2|730013	0.7376	1.7498	2.6502	6.3316	0	6.5753	5.4852	1.3915	3.6179	4.7059	10.8587	5.8309	3.3201	3.1898	2.7501	7.6645	5.7773	1.7921	3.8592
