TCGA-18-3414-01A-01R-0980-07	TCGA-18-3417-01A-01R-1443-07	TCGA-34-8455-01A-11R-2326-07	TCGA-37-4132-01A-01R-1100-07	TCGA-58-8386-01A-11R-2296-07	TCGA-66-2742-01A-01R-0980-07	TCGA-NC-A5HP-01A-11R-A26W-07
ABCB9|23457	127.7312	137.2727	260.8869	101.7075	289.7101	147.655	121.6545
ABCC10|89845	573.0109	521.2888	893.0968	440.4815	589.5729	458.8775	971.4112
ABCC11|85320	8.861	2.3015	6.7114	4.0125	6.9651	5.6477	0.6083
ABCC12|94160	0.3692	0	0	0	0.4097	0	0
ABCC13|150000	0.3692	0	0.9588	3.1208	1.6388	2.8239	0.6083
ABCC1|4363	2446.7417	3563.8665	9904.1227	1055.2831	2199.7337	7674.3146	4510.3406
ABCC2|1244	3.3229	8.0552	13.9022	1022.2916	6.9651	0.9413	7.2993
ABCC3|8714	245.8926	614.4994	1162.9914	219.7949	729.6937	505.0006	436.1314
ABCC4|10257	393.5758	940.1611	546.5005	621.9349	503.5337	627.8386	284.0633
ABCC5|10057	2473.6939	2421.1738	9590.604	1812.3049	3178.1215	11320.3906	15366.7883
ABCC6P1|653190	1.1076	4.603	6.232	2.675	14.7496	3.2945	0.6083
ABCC6P2|730013	5.9073	9.206	19.6548	7.5791	16.7981	25.4148	9.1241
ABCC6|368	12.1839	36.8239	72.8667	19.6166	190.5152	57.4185	18.8564
ABCC8|6833	0	0	4.3145	15.1583	0.8194	0	0.6083
ABCC9|10060	426.0661	169.16	238.255	119.4828	295.8107	475.35	63.8686
ABCD1|215	404.652	243.9586	308.2454	357.5568	485.5065	286.622	293.7956
ABCD2|225	8.4918	5.7537	8.629	31.654	11.8816	12.7074	1.8248
ABCD3|5825	1342.0713	629.4591	782.838	1483.2813	1077.9474	1311.6837	375.3041
ABCD4|5826	419.7896	416.5708	597.7948	654.4806	527.7066	428.2857	590.6326
ABCE1|6059	2896.8064	1710.0115	1831.7354	3547.0352	1792.4818	2709.0246	1435.5231
ABCF1|23	1693.5573	1716.916	2020.1342	1592.0642	1455.2904	1767.7374	2141.1192
ABCF2|10061	1746.3541	3211.7376	1715.2445	1482.3897	1908.4298	1542.2991	1227.4939
ABCF3|55324	1544.0281	1719.2175	2178.3317	1049.9331	1387.2785	3316.1548	3401.4599
ABCG1|9619	1066.6421	617.9517	544.5829	1102.9871	1066.0658	835.3924	774.9392
ABCG2|9429	82.3334	25.3165	42.186	246.9906	63.0954	49.8882	21.2895
ABCG4|64137	4.0613	5.7537	4.7939	1.3375	98.7401	2.8239	7.2993
ABCG5|64240	0	0	7.6702	0.8917	2.868	0.9413	3.0414
ABCG8|64241	0	0	12.464	0.4458	1.2291	2.8239	17.6399
ABHD10|55347	1024.9215	804.3728	493.2886	1420.8649	564.5806	903.6357	729.3187
ABHD11|83451	914.5283	957.4223	331.7354	387.8734	450.2714	997.7644	696.472
ABHD12B|145447	0.7384	1.1507	1.4382	940.2586	3.6874	3.7651	1.2165
ABHD12|26090	1228.7244	1838.8953	1142.3778	2002.675	1699.4776	1171.9026	1048.6618
ABHD13|84945	625.4384	409.6663	450.6232	807.8466	314.6574	488.9987	519.4647
ABHD14A|25864	125.1615	512.0829	179.9712	311.1904	128.9399	113.4251	127.3297
ABHD14B|84836	1046.3356	1956.2716	697.5072	701.7387	1339.7521	986.9396	789.5377
ABHD15|116236	170.5741	302.6467	232.5024	157.8243	266.3116	460.2894	452.5547
ABHD1|84696	4.7997	35.6732	19.6548	182.7909	1.6388	11.2954	41.9708
ABHD2|11057	2368.1004	3537.3993	5676.4142	12284.8863	5080.4056	2768.7963	2370.438
ABHD3|171586	361.0855	512.0829	241.1314	1301.8279	400.2868	697.4938	192.8224
ABHD4|63874	1443.9727	1165.7077	1146.2128	2510.0312	619.072	1055.183	3177.6156
ABHD5|51099	632.0842	434.9827	356.1841	506.9104	521.1513	554.8888	426.399
ABHD6|57406	87.5023	271.5765	154.3624	223.8074	408.0713	261.2072	270.6813
ABHD8|79575	334.5025	171.4614	324.0652	195.2742	306.8729	147.3114	233.5766
ABI1|10006	3688.3884	3361.9102	2339.3241	1924.1997	2232.0721	3836.0325	3769.781
ABI2|10152	763.5222	945.9148	1106.4238	1204.6366	848.9194	977.0561	676.399
ABI3BP|25890	45.7818	94.3613	644.2953	226.9282	675.2023	197.1997	150.8516
ABI3|51225	191.619	134.6375	96.836	228.7115	334.7332	153.4298	80.9002
ABL1|25	1428.8351	1383.1991	1320.7095	1044.1373	2431.2199	974.2323	1565.6934
ABL2|27	539.0438	483.3142	654.8418	526.527	957.9023	1861.3955	1787.1046
ABLIM1|3983	2413.1438	1582.2785	3461.1697	2440.9273	3381.3377	3927.9915	5586.983
ABLIM2|84448	50.9507	80.5524	50.3356	244.3156	36.4642	16.0019	509.1241
ABLIM3|22885	110.7624	148.4465	278.0441	120.8203	413.8072	81.4213	94.2822
ABO|28	23.6293	14.9597	73.3461	59.2956	45.0681	20.7083	54.1363
ABP1|26	56.858	10.3567	8.629	25.8582	13.5204	15.5312	36.4964
ABRA|137735	0.3692	0	3.8351	2.2292	0	0.9413	0.6083
ABR|29	898.6524	1308.4005	1247.8428	1005.7958	3062.1735	782.2097	1176.399
ABT1|29777	655.3443	577.6755	720.5177	2219.3491	573.1845	936.1101	706.2044
ABTB1|80325	345.2095	185.2704	569.511	254.5698	575.6427	588.3045	361.3139
ABTB2|25841	707.4026	156.5017	103.0681	61.0789	391.6829	37.1808	133.82
ACAA1|30	634.6686	2172.6122	629.9137	495.7646	913.6536	627.8386	756.691
ACAA2|10449	774.2293	994.2463	384.4679	3091.3955	1035.3375	1192.6109	314.4769
ACACA|31	782.3519	966.6283	1441.0355	1161.8368	2257.0931	1852.4532	1463.5036
ACACB|32	71.9956	52.9344	140.9396	48.5956	128.649	73.891	130.7786
ACAD10|80724	343.7327	216.3406	386.8648	472.1355	448.2229	453.2298	454.3796
ACAD11|84129	391.7297	102.4166	421.3806	483.7272	442.8967	535.5924	586.3747
ACAD8|27034	398.7447	228.9988	545.5417	515.3812	445.7646	348.2763	486.618
ACAD9|28976	1350.563	1387.8021	1695.1055	1253.8119	1181.7679	1418.0351	1067.5
ACADL|33	62.027	25.3165	26.8456	4.4583	90.9556	21.179	141.1192
ACADM|34	721.8017	912.5432	674.976	1809.1841	652.6682	1038.7104	518.8564
ACADSB|36	431.235	386.6513	461.6491	451.1815	586.7049	986.469	579.0754
ACADS|35	270.9987	348.6766	446.3087	391.44	397.8285	271.0907	372.871
ACADVL|37	2084.9142	6795.1669	3096.3375	2687.4409	3047.8255	2879.374	3434.8844
ACAN|176	15.1375	17.2612	48.418	105.6621	26.2214	13.6487	99.7567
ACAP1|9744	127.3768	88.6076	91.0834	233.6157	217.1464	135.0747	35.2798
ACAP2|23527	2368.4696	1171.4614	1924.257	1557.7352	1873.1947	4849.9824	1586.983
ACAP3|116983	588.8979	201.3809	732.5455	812.3451	1141.0427	255.583	880.9793
ACAT1|38	471.4787	678.9413	558.4851	1588.9434	548.6019	652.7827	590.0243
ACAT2|39	963.4853	530.6099	709.4871	878.4262	1138.9655	1142.5391	499.1119
ACBD3|64746	1679.5274	2622.5547	2116.4909	1186.3576	1842.8762	2621.0142	4108.8808
ACBD4|79777	80.8566	112.7733	206.1361	141.3286	127.8296	163.784	159.3674
ACBD5|91452	636.5147	558.1128	604.0268	674.543	897.2652	1096.5996	571.7762
ACBD6|84320	594.425	441.8872	548.8974	540.3477	381.0304	967.6433	807.1776
ACBD7|414149	68.3035	33.3717	21.093	440.9273	9.833	8.9422	7.9075
ACCN1|40	1.846	0	1.9175	0	1.6388	0.4706	0
ACCN2|41	155.0674	240.5063	278.5235	146.6786	483.8677	266.8549	125.9124
ACCN3|9311	2.9537	0	2.8763	9.3625	23.3535	2.3532	17.6399
ACCN4|55515	3.3229	0	0.9588	1.3375	5.7359	7.0597	6.691
ACCN5|51802	0.3692	0	0	0	0	0	0
ACCSL|390110	0.3692	0	0	0	0	0	0
ACCS|84680	204.9105	70.1956	94.4391	141.3286	235.1736	83.3039	317.5182
ACD|65057	501.7537	377.4453	423.7776	409.7191	857.933	436.2866	404.5012
ACE2|59272	57.9657	12.6582	71.4286	3.5667	34.8254	42.3579	10.9489
ACER1|125981	0	0	0.4794	0	0.4097	0	0
ACER2|340485	61.2885	44.8792	61.3615	78.0205	59.8177	90.3636	48.0535
ACER3|55331	502.4922	341.7722	644.2953	552.831	858.3427	580.3036	228.1022
ACE|1636	294.2588	571.9217	1076.2224	436.0232	2513.5716	571.3613	255.4745
ACHE|43	185.7116	154.2002	38.3509	31.2082	155.6898	27.2973	47.4453
ACIN1|22985	2086.3947	1491.3694	3838.4468	1933.1253	3642.7328	2109.8953	7625.9124
ACLY|47	2115.5621	4010.3567	3894.0556	2330.807	4994.7762	5097.0702	3784.0633
ACMSD|130013	0	0	0	0	0.4097	0	1.8248
ACN9|57001	572.6417	428.0783	160.5944	1174.7659	280.6514	245.676	222.6277
ACO1|48	918.2204	1951.6686	767.4976	412.8399	1705.2136	808.5657	1274.9392
ACO2|50	6089.8394	1962.0138	3814.837	1049.8395	2986.6025	2260.1906	2840.7908
ACOT11|26027	146.1658	142.6928	254.0652	67.3206	155.4645	275.5336	74.7689
