TCGA-IC-A6RE-11A-12R-A336-31	TCGA-IC-A6RF-11A-21R-A336-31	TCGA-IG-A3I8-11A-11R-A24K-31	TCGA-L5-A43C-11A-11R-A24K-31	TCGA-L5-A4OF-11A-12R-A260-31	TCGA-L5-A4OG-11A-12R-A260-31	TCGA-L5-A4OJ-11A-12R-A260-31	TCGA-L5-A4OM-11A-11R-A260-31	TCGA-L5-A4OO-11A-12R-A260-31	TCGA-L5-A4OQ-11A-12R-A260-31	TCGA-L5-A4OR-11A-11R-A260-31	TCGA-V5-A7RE-11A-11R-A354-31	TCGA-V5-AASX-11A-11R-A38D-31
ARID4A|5926	2.8091	3.6877	11.2845	8.3727	8.467	9.4141	8.9003	9.7309	9.2397	9.6618	8.4862	7.4134	10.1652
ARID4B|51742	3.0498	3.6772	7.8839	8.1971	12.9824	10.2543	10.5533	9.76	9.3904	10.2132	9.7037	9.4003	10.1218
ARID5A|10865	3.4056	8.781	114.2925	4.6353	6.4979	7.7393	5.9973	9.045	34.0769	47.2295	4.4011	8.0986	2.6205
ARID5B|84159	7.1468	6.6826	33.8442	8.781	12.2201	14.9027	11.1424	13.3163	20.4964	33.7521	7.6833	13.1905	40.1173
ARIH1|25820	12.7748	13.984	21.0611	10.2234	16.23	13.9541	12.274	17.0474	19.2226	18.9803	10.1752	18.8506	24.1005
ARIH2|10425	6.5242	12.384	14.6528	8.6575	14.0728	11.1687	10.8352	11.9021	13.0812	13.4569	8.6505	12.3899	12.0192
ARL10|285598	1.2678	1.4213	0.933	0.1459	0.6353	0.7511	0.9535	0.5897	1.1565	1.9701	0.3177	0.3884	0.1741
ARL11|115761	0.394	0.5347	0.0798	0.0308	0.0522	0.2494	0.0453	0.1285	0.0641	0.2853	0.1095	0.7756	0.0601
ARL13A|392509	0.0335	0.0944	0.0567	0.0612	0.2244	0.2729	0.2789	0.2047	0.1561	0.0953	0.1133	0.5182	0.2117
ARL13B|200894	1.0837	3.4052	5.7838	1.5195	4.7255	2.4184	2.133	3.3117	5.2238	6.4643	2.1794	2.3275	1.5973
ARL14|80117	1.2766	0.0666	0.0161	9.2553	58.3712	13.6795	9.0249	82.5872	3.5187	0.1874	21.6255	15.4811	12.4457
ARL15|54622	2.85	2.6884	2.8254	2.9139	8.0623	5.1831	4.6409	6.6003	3.4968	9.1495	4.6286	4.1979	2.6419
ARL16|339231	4.7259	9.65	5.6935	4.7927	7.6923	6.158	6.139	5.6784	5.5597	5.1789	5.5223	5.8478	2.7161
ARL17A|51326	0.2029	0.2487	0.3515	0.3684	0.5021	0.8515	0.4255	1.1984	0.7147	0.5661	0.3945	1.3001	0.1702
ARL17B|641522	0.2517	0.1658	0.0889	0.1224	0.0268	0.6688	0.2816	0.0974	0.4469	0.0366	0.1287	0.7959	0.3636
ARL1|400	15.362	20.7188	32.6015	23.1414	31.3285	30.6352	23.5574	39.2736	26.9415	30.4209	26.1005	29.9461	20.8169
ARL2BP|23568	27.1649	36.6857	26.9142	12.0115	18.3055	16.6261	14.0763	21.3532	18.4625	29.2186	13.8737	20.36	16.5743
ARL2|402	13.5043	12.4025	19.8062	7.9724	13.9602	12.4966	8.3919	11.9651	17.4958	26.1544	9.6763	13.9548	18.4789
ARL3|403	1.9237	3.8776	7.3608	3.2464	3.371	3.6817	4.3953	3.4415	4.974	4.9956	3.6482	4.5522	3.6693
ARL4A|10124	6.1625	10.8091	3.8957	4.1213	5.5149	5.3176	4.6969	4.7579	4.0556	3.9748	3.881	4.4359	9.5065
ARL4C|10123	13.4358	9.4609	3.5082	1.3276	3.5616	5.5232	3.0006	7.1751	1.9425	11.7787	2.7257	3.0824	1.2014
ARL4D|379	16.2208	75.6222	9.468	0.5194	0.9144	1.1954	0.8775	1.408	2.9371	6.037	0.2597	0.8843	0.1809
ARL5A|26225	15.0662	20.3651	15.579	11.9115	18.1818	13.4631	14.0542	16.1876	14.2889	14.7438	13.8096	19.2302	14.7469
ARL5B|221079	4.9361	7.6982	4.701	2.434	7.4627	4.4897	3.7626	10.9134	4.1513	4.9574	3.224	8.6881	10.8577
ARL5C|390790	0	0	0.0229	0	0	0.0295	0	0.0134	0.0024	0.0519	0	0.5987	0
ARL6IP1|23204	33.238	36.7474	26.2859	28.145	90.1092	45.9348	45.1807	91.6	31.4863	30.911	46.2177	196.9499	115.5691
ARL6IP4|51329	35.5579	56.5477	36.7161	51.364	48.374	45.6568	42.6903	33.7059	43.6414	35.4646	42.6471	54.4075	22.9724
ARL6IP5|10550	30.7508	33.9925	53.455	25.3515	49.8336	44.9148	39.8264	62.4585	33.9016	80.843	39.5989	56.9372	70.3414
ARL6IP6|151188	4.1352	6.5151	1.8847	1.8615	4.807	3.1958	3.3016	6.2115	1.7233	2.6502	2.3431	7.3353	8.4585
ARL6|84100	0.8145	0.9343	1.7932	0.8953	1.8668	1.3822	1.5926	2.1662	1.8927	2.1647	1.3305	1.2745	0.6965
ARL8A|127829	12.3906	17.2779	17.2518	12.504	16.5539	15.9708	13.3138	13.7821	14.3162	16.7854	15.6954	14.3032	15.7949
ARL8B|55207	54.1134	56.4858	34.1783	16.5503	30.0252	24.4306	19.4804	31.6314	30.505	33.6542	21.5699	29.9288	33.3927
ARL9|132946	0.0715	1.3624	0.2035	0.0414	0.0298	0.2123	0.123	0.1315	0.1737	0.6312	0.034	1.3714	0.2151
ARMC10|83787	6.436	11.9235	8.3885	6.4887	9.6587	6.6949	6.7329	7.7608	7.1291	9.6125	6.8561	7.4641	5.9964
ARMC1|55156	5.0921	7.971	15.2479	7.2415	12.7195	9.09	8.6904	9.7828	10.8794	11.6379	9.0349	12.1592	14.0436
ARMC2|84071	0.1936	0.208	0.4663	0.3615	0.7265	0.7513	0.5609	0.8513	0.7956	1.1399	0.5256	1.3382	0.7767
ARMC3|219681	0.0123	0.0327	0.0105	0.0026	0.03	0.012	0.0346	0.07	0.0214	0.0104	0	0.3092	0.2936
ARMC4|55130	0.0183	0.0338	0.2501	0.0118	0.0069	0.0272	0.0141	0.0463	0.1287	0.4891	0.0065	0.2918	0.0035
ARMC5|79798	3.5271	4.6053	2.9904	1.9593	3.5514	2.6559	2.7121	3.1386	3.4812	2.957	2.0894	4.1766	3.6941
ARMC6|93436	7.7031	11.9423	4.5571	3.6891	9.1224	5.2161	5.0104	7.2713	5.2525	4.7812	4.78	7.3416	15.3317
ARMC7|79637	3.906	7.7699	1.3603	3.4327	8.0453	5.0939	5.1345	8.6228	2.1677	2.3627	5.5393	6.8097	4.6575
ARMC8|25852	3.9339	6.0423	8.6261	2.7037	5.7507	4.4433	4.1472	6.9045	6.0589	8.7647	3.358	5.3932	5.8785
ARMC9|80210	0.2376	1.3766	6.1561	0.3839	1.2937	1.034	1.1849	2.1062	2.7369	7.3548	0.619	3.3783	2.4865
ARMCX1|51309	2.1332	1.3364	12.5747	2.815	4.1389	4.7919	3.6105	3.1252	6.5384	10.0086	3.5226	0.4749	0.3533
ARMCX2|9823	1.2137	1.2135	10.7414	4.5668	5.8716	5.7726	5.1259	4.7319	9.3461	14.8083	3.5473	0.9505	1.514
ARMCX3|51566	1.9109	5.0309	21.5462	14.2749	16.431	17.9801	13.7343	16.8403	18.784	20.4384	13.4495	14.275	25.1081
ARMCX5|64860	2.9076	6.1984	1.968	4.0164	4.9317	4.9152	3.5261	5.4234	2.8003	3.514	4.3722	6.3378	7.0628
ARMCX6|54470	1.4082	1.4147	1.7045	1.2979	1.4	1.9314	1.1295	1.6383	0.9343	1.8328	1.5509	2.4699	3.2398
ARMS2|387715	0	0.0152	0.0064	0.0146	0.0747	0	0	0.0156	0.0262	0.0726	0.0351	0.2926	0
ARNT2|9915	0.5464	0.4607	4.1553	1.1047	3.1842	1.591	5.4273	2.9397	3.4374	4.5713	1.0092	2.4046	0.3387
ARNTL2|56938	10.1542	13.5353	1.5451	1.6746	7.4009	3.5438	1.8587	11.5621	1.2859	2.3355	1.8619	6.7603	2.6894
ARNTL|406	4.6265	12.079	2.3751	2.2729	2.6851	6.2887	0.8596	2.9492	2.0106	8.1228	0.8649	4.3941	3.9532
ARNT|405	8.8367	7.1027	11.3875	6.4326	11.2987	11.9524	9.0371	13.2948	13.4184	16.0895	7.6525	13.0931	16.1548
ARPC1A|10552	52.8029	68.2847	27.0232	32.5519	91.8214	44.5225	31.763	73.7649	31.842	34.7256	40.3373	66.5549	43.7003
ARPC1B|10095	18.9613	41.6916	27.6475	16.8874	57.5794	34.9208	15.7	59.5334	23.8672	63.9873	20.5021	105.1101	69.6394
ARPC2|10109	142.0501	113.9426	39.8918	39.4402	75.4023	53.3178	49.2238	77.4945	40.3273	46.2488	53.6564	111.2494	66.0202
ARPC3|10094	174.4908	162.9045	43.1659	57.0636	115.8524	88.9716	66.0164	149.7018	50.9487	58.4865	92.5103	165.1529	74.8634
ARPC4|10093	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPC5L|81873	24.7803	25.5495	8.3117	10.2495	23.6785	11.7942	11.7354	17.6222	10.0036	8.0802	12.378	17.8374	14.1363
ARPC5|10092	41.2337	69.0423	28.8024	20.9255	64.1337	39.5838	28.4095	69.6681	29.8611	49.3353	30.9152	76.6066	63.4242
ARPM1|84517	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPP19|10776	15.7931	52.2841	70.0024	20.8171	48.1467	30.9386	29.787	41.2244	52.4373	53.0792	28.6556	37.5248	41.6715
ARPP21|10777	0.2867	0.0057	0.0929	0.4202	0.1812	0.6276	0.1335	0.2018	0.1796	0.1213	0.2734	0.7451	0.0926
ARR3|407	0.0882	0.1909	0.0335	0.0707	0.1163	0.1509	0.0652	0.2813	0.1045	0.1582	0.128	0.207	0.0859
ARRB1|408	2.5818	2.9016	20.6254	11.0108	20.0888	12.9898	13.9312	8.6771	27.954	23.0297	11.7613	12.8834	15.3071
ARRB2|409	3.8486	6.4886	7.3118	14.2016	17.0801	16.3558	13.9871	8.4868	9.0963	10.329	18.4533	18.5567	8.4992
ARRDC1|92714	12.3366	18.7279	2.8	12.6318	21.4808	17.4192	15.4749	25.8052	8.6361	3.647	16.5769	18.1631	23.3454
ARRDC2|27106	3.2237	5.1206	3.8782	5.8802	11.923	11.9254	8.0838	17.78	8.1869	8.7064	7.7723	10.3164	11.0669
ARRDC3|57561	22.3073	15.2348	24.9293	5.9435	25.5076	15.1148	9.8604	12.6843	17.4202	33.8346	14.9587	12.9786	8.9936
ARRDC4|91947	3.8568	6.2763	30.9444	12.404	61.2771	20.7605	46.2386	12.4598	24.7964	18.4572	48.6793	7.1618	15.133
ARRDC5|645432	0.2146	0.0449	0.0253	0.1405	0.1397	0.5304	0.1304	0.2063	0.2299	0.1321	0.1467	1.7964	0.0831
ARSA|410	9.129	6.309	3.8299	9.1962	6.2962	10.396	8.3368	8.4726	4.8003	7.5537	9.7007	10.0931	10.4368
ARSB|411	0.6075	1.266	9.158	2.4125	2.4448	2.6527	2.5063	1.6956	4.5692	11.0903	1.76	2.2344	1.1817
ARSD|414	5.6995	3.1653	3.2977	29.5053	20.5211	40.4553	43.2848	25.3859	14.5224	4.0165	24.9128	19.243	49.7346
ARSE|415	0.0687	0.0328	0.8129	2.1207	0.8035	1.5176	2.334	2.8744	0.6435	0.1778	1.8095	10.6031	11.0447
ARSF|416	2.2201	0.3959	0.0462	0	0	0.0278	0.0523	0.0296	0.0496	0.0183	0	0.071	0
ARSG|22901	2.3944	1.1204	0.9283	1.4085	0.8256	1.4138	1.2535	0.868	1.32	1.8486	1.1371	1.5785	1.4687
ARSH|347527	0.1007	0.0145	0	0.0121	0.0505	0.0234	0	0.0299	0.0125	0	0.0084	0.3844	0.0352
ARSI|340075	1.2679	1.4952	2.6127	0.1828	0.1287	0.3307	0.1357	0.9079	0.2873	0.7778	0.0627	0.1036	0.0492
ARSJ|79642	0.8458	7.9387	4.1167	1.2764	1.866	2.6257	2.6673	2.4884	3.3292	3.0149	1.7516	2.2879	1.278
ARSK|153642	0.5984	0.7359	1.7333	2.3684	2.6366	2.8975	3.4389	1.4223	3.0394	2.4764	3.4359	1.1355	1.002
ART1|417	0.0022	0	0.0134	0.0127	0.0284	0	0.0157	0.0086	0	0.008	0	0.2709	0.0158
ART3|419	0.0479	0.0542	0.7226	0	0.0121	0.0284	0.0992	0.0736	0.3875	0.176	0.0228	0.223	0.007
ART4|420	0.0684	0.0337	0.1166	0.0937	0.1141	0.2762	0.0907	0.352	0.2866	0.1665	0.0975	0.0534	0
ART5|116969	0.0116	0.0145	0.0976	0.2282	0.0893	0.1517	0.1634	0.1077	0.1627	0.125	0.0168	0.2263	0.023
ARTN|9048	0.2756	13.4336	0.2347	0.1251	0.3495	0.2616	0.1399	0.4235	0.5157	0.849	0.1903	0.0853	0.4233
ARV1|64801	5.4954	14.2845	7.0161	10.1098	10.6833	9.6224	11.6828	10.0097	6.0916	6.1513	12.7323	11.0648	16.3187
ARVCF|421	0.9637	2.8647	7.8699	2.6479	4.6075	3.8921	3.1983	3.0355	2.5916	1.9364	2.8028	1.3575	3.0439
ARX|170302	0.0069	0.0498	0.0036	0.4297	0.3631	0.7094	0.648	0.3739	0.2297	0	0.429	1.2584	0.6988
AR|367	0.7575	0.2162	0.8939	0.7261	0.6984	1.1738	1.1433	0.6993	1.8998	3.8407	0.5625	0.0367	0.0225
AS3MT|57412	0.9841	1.3329	5.9732	2.3101	3.0635	2.8961	3.4142	1.5436	5.4443	4.74	2.7302	1.9652	2.3582
ASAH1|427	44.4216	37.978	31.9479	27.2265	27.6122	33.7775	29.7086	36.8042	27.209	60.0584	27.1083	47.5006	72.1919
ASAH2B|653308	0.2093	0.4098	0.1147	0.215	0.4273	0.4673	0.3137	0.3096	0.1739	0.1363	0.1781	0.3106	0.6047
ASAH2|56624	0.0013	0	0.0104	0.8367	0.6703	2.0407	2.7487	0.3016	1.4117	0.0103	3.1299	0.2102	0.005
ASAM|79827	0	0	0	0	0	0	0	0	0	0	0	0	0
ASAP1IT1|29065	0	0	0	0	0	0	0	0	0	0	0	0	0
ASAP1|50807	2.3885	6.8488	10.9486	1.7991	5.6914	5.0029	4.6811	5.2495	7.6271	15.9297	2.6663	3.4906	2.2178
ASAP2|8853	5.0682	9.0476	10.8503	6.0109	27.2452	16.326	9.6613	46.1804	14.1581	9.4167	9.7485	21.0663	38.7311
ASAP3|55616	16.2475	5.8008	4.5656	11.418	13.7632	15.1674	13.454	13.3372	6.9155	7.4121	12.6167	4.0152	4.964
ASB10|136371	0	0	0.0022	0	0	0.0085	0	0	0.0091	0	0	0.021	0
ASB11|140456	0	0	0.0018	13.4229	5.8593	11.699	4.0007	0.6933	6.7188	0.0564	8.3497	0.1086	0
ASB12|142689	0	0	0	0	0	0	0	0	0	0	0	0	0
ASB13|79754	4.4286	7.3899	2.5625	2.1583	3.6966	4.2137	4.3114	6.7685	5.8273	6.3709	2.748	15.6988	11.6135
ASB14|142686	0.5539	0.6052	0.8759	0.9531	2.0019	1.0523	1.1722	1.2311	1.1658	1.3164	1.2878	1.3585	1.7721
ASB15|142685	0	0	0.0021	0	0.0582	0.0364	0.0079	0.0081	0	0.0057	0.0136	0.1088	0
ASB16|92591	0.9953	0.8701	2.4007	1.7582	1.76	2.1827	2.1309	1.6715	2.1503	1.8766	1.9453	1.7281	1.219
ASB17|127247	0	0	0	0	0	0	0.0185	5e-04	0	0	0.0092	0.0915	0
ASB18|401036	0	0.0367	4e-04	0.0124	0	0	0	0	0	0	0	0.127	0.0143
ASB1|51665	2.0621	4.3649	7.4565	3.0153	5.3707	4.3868	3.7125	4.9366	6.456	5.9042	2.5054	5.5799	6.9916
ASB2|51676	1.5293	1.2146	31.4221	0.5713	0.7115	1.8464	0.5452	1.2332	8.0317	15.1341	0.4545	1.0486	0.3151
ASB3|51130	0	0	0	0	0	0	0	0	0	0	0	0	0
ASB4|51666	0.0115	0.0085	0.0274	0.0786	0.0189	0.0201	0.071	0.0336	0.0196	0.015	0	0.0435	0.0072
ASB5|140458	0.4209	0.3019	33.9136	0.0079	0	0.0304	0.0312	0.051	5.4637	27.4611	0.0131	0.0312	0
ASB6|140459	4.3087	5.4834	4.3894	3.6538	6.4945	5.4368	4.9743	7.345	7.3132	6.3719	4.4172	5.4882	6.9321
ASB7|140460	1.5587	3.3405	2.462	1.8618	4.029	3.0611	2.8969	4.3567	2.5961	4.0907	2.6463	4.9278	6.4165
ASB8|140461	7.1798	8.2917	10.0131	9.1995	11.519	11.4573	8.4307	11.1377	8.6157	9.2573	10.5034	11.1833	7.0556
ASB9|140462	0.1056	1.0077	0.261	2.7866	0.9234	2.6492	4.1458	0.4095	1.428	1.0783	2.2273	1.2366	0.1135
ASCC1|51008	4.9879	8.8968	5.5839	3.8475	7.7011	5.5688	5.3771	7.2314	5.4926	6.7539	5.3283	7.6439	8.7498
ASCC2|84164	43.3805	20.3976	8.1377	17.2468	27.1594	22.8023	17.057	39.492	13.8892	11.1766	21.5943	19.2832	22.6861
ASCC3|10973	4.3099	7.0312	3.3374	2.2223	5.6085	3.9859	2.6619	5.8672	3.1492	4.8318	2.3415	12.7151	10.6857
ASCL1|429	0.012	0.0197	0.0604	0.4402	0.1823	0.3818	0.2389	1.706	0.1383	0.0474	0.4799	1.0147	0.1348
ASCL2|430	0.5739	0.126	0.0618	0.389	0.0082	0.384	0.426	1.2978	0.372	0.1275	0.2686	24.6298	36.9431
ASCL3|56676	0	0	0.0162	0	0.0316	0	0.0087	0	0.0326	0.0576	0.0437	0.1872	0.024
ASCL4|121549	0	0	0	0.0683	0	0.0743	0.1087	0	0.0562	0	0.0126	0.0945	0.0138
ASF1A|25842	4.0765	8.058	5.081	6.1116	9.4384	8.7929	8.8285	6.1852	5.5362	5.8124	8.6464	11.5367	13.1258
ASF1B|55723	3.3029	3.9234	0.1253	0.4011	20.0994	1.6867	1.8573	5.5701	0.437	0.5302	1.3442	8.7032	15.5636
ASFMR1|100126270	0	0	0	0	0	0	0	0	0	0	0	0	0
ASGR1|432	0.2614	0.0894	0.0643	0.2414	0.1929	0.2237	0.1567	0.1594	0.3713	0.3052	0.0958	0.936	0.062
ASGR2|433	0.1013	0.0148	0.0564	0.1539	0.0183	0.2732	0.0434	0.0709	0.0384	0.1759	0.0508	0.7378	0.0094
ASH1L|55870	7.967	7.9887	12.7034	5.7482	11.2833	10.8722	9.4364	13.4861	15.4785	14.3493	6.5535	17.6378	20.0715
ASH2L|9070	11.4534	11.8097	12.3679	12.0301	16.7456	13.9634	14.4613	14.2034	12.291	10.8041	12.5802	14.7667	23.1171
ASIP|434	0.0853	0.3558	0.1585	0.1049	0.1538	0.3153	0.1537	0.1249	0.0341	0.1213	0.1944	1.5219	0.0699
ASL|435	6.9509	9.6739	3.1597	7.2905	19.195	14.9083	6.6881	18.1889	7.1393	4.1976	10.1107	19.6309	17.7163
ASMTL|8623	4.2197	7.4958	12.1311	6.5735	7.4438	6.5153	5.7019	8.1152	9.1829	11.7698	5.4775	3.954	8.8284
ASMT|438	1.0161	1.133	1.0208	1.493	2.195	1.3424	1.7333	2.0544	1.5134	1.3306	1.3317	2.5389	0.7904
ASNA1|439	29.8208	34.9172	16.073	15.1872	25.1485	18.578	16.3894	26.7108	17.0014	24.0802	20.2159	24.684	28.888
ASNSD1|54529	5.1873	14.1153	14.126	9.2231	14.9218	9.9598	9.3364	12.6857	12.5665	16.3822	9.1633	16.3606	17.218
ASNS|440	3.0861	11.2634	7.6024	30.3358	11.1302	30.5686	16.0268	10.7388	14.4043	5.9014	16.566	2.4579	4.7735
ASPA|443	0.4355	0.5395	3.2134	0.9	1.8418	5.105	0.9889	4.5278	4.1889	3.9851	1.0252	1.0186	0.0735
ASPDH|554235	0.0257	0.1588	0.1772	0.466	0.1277	0.3906	0.4676	0.1273	0.3025	0.262	0.1779	0.2925	0.0432
ASPG|374569	9.3304	16.155	0.0384	0.1138	0.1618	0.3504	0.1449	0.8673	0.1263	0.0043	0.0524	0.1641	0.8568
ASPHD1|253982	0.0614	0.1837	0.1532	9.7284	8.1563	5.0107	7.161	4.3141	3.9634	0.2288	10.2425	7.3076	7.3037
ASPHD2|57168	0.7762	2.8781	0.341	1.9681	7.8147	7.4524	1.8092	14.462	1.2563	0.7379	4.2466	4.6653	2.3454
ASPH|444	5.3739	8.9898	14.3519	13.0314	80.7446	21.5643	18.0759	32.1202	16.162	20.5998	21.4516	19.3155	16.7047
ASPM|259266	0.9043	1.0851	0.0225	0.0604	2.1127	0.5392	1.493	1.6599	0.0684	0.2589	0.1031	4.0386	5.3635
ASPN|54829	0.7359	0.4276	18.9085	0.8764	3.7627	2.6405	2.5287	2.3739	10.786	6.1232	1.6236	1.1238	0.9474
ASPRV1|151516	0.5177	18.6594	0.5477	0.4021	0.7222	0.6489	0.4716	0.7511	0.5654	0.8033	0.5478	1.2353	0.9353
ASPSCR1|79058	4.849	7.2082	2.9956	8.1987	9.0015	8.2979	6.8836	7.7123	5.3975	3.1642	6.7548	6.6463	5.5577
ASRGL1|80150	0.206	0.1869	0.4831	1.5657	3.9863	2.7044	1.6683	3.4723	1.6422	2.1199	1.4733	3.3446	1.265
ASS1|445	9.2258	26.9029	17.2919	10.8975	20.5959	11.049	10.066	31.6895	14.0209	16.211	13.2402	60.145	70.8007
ASTE1|28990	2.1196	3.6524	1.6179	2.9377	3.8512	3.3514	3.0332	5.6328	2.5962	2.7142	3.2911	5.1175	5.5214
ASTL|431705	0.1593	0.2133	0.1119	0.0397	0.0691	0.0362	0.0779	0.0259	0	0.0182	0.0657	0.2911	0.038
ASTN1|460	0.0219	0.008	1.0951	0.1411	0.1259	0.2232	0.3088	0.1481	0.6669	0.8382	0.0514	0.0663	0.0051
ASTN2|23245	0.1514	1.3759	1.612	3.4652	1.0741	1.6096	2.1822	0.4715	2.2666	0.5997	1.481	0.3265	0.4752
ASXL1|171023	4.6523	7.6579	9.1318	4.9742	12.9114	10.9641	11.1864	10.5162	11.0999	16.0236	6.4816	14.8662	18.5574
ASXL2|55252	6.3808	6.3929	4.6921	2.2915	8.0922	5.5375	4.5525	8.5861	5.5961	7.6777	3.1551	8.4459	15.8813
ASXL3|80816	0.0387	0.0032	0.1319	0.5423	1.0928	1.4212	1.3306	0.4015	0.562	0.2684	0.7281	0.1553	0.0101
ASZ1|136991	0	0	0	0	0	0	0	0	0	0	0	0.1049	0
ATAD1|84896	6.9788	12.2351	16.803	8.9798	17.3776	13.6348	13.1524	14.0144	13.1576	13.263	13.8915	11.3897	18.3533
ATAD2B|54454	2.6579	1.9777	1.2544	1.1695	2.3784	2.3276	2.0651	3.3233	1.9259	2.1877	1.3913	3.1437	3.1631
ATAD2|29028	2.0346	2.3157	1.9879	3.5877	7.8682	3.9459	7.7737	3.9576	5.3854	2.8774	5.0502	6.0085	7.7146
ATAD3A|55210	3.5436	9.7312	2.284	2.6449	6.1124	3.1802	2.9082	3.8795	2.434	2.276	2.4573	6.7649	5.6984
ATAD3B|83858	2.4924	5.5163	1.2613	1.9803	6.5507	2.8686	2.9064	4.5058	2.9344	2.2546	1.9885	6.7061	1.8989
ATAD3C|219293	0.1108	0.7213	0.246	0.1422	0.2064	0.0895	0.1312	0.1497	0.1766	0.324	0.0694	0.8496	0.5096
ATAD5|79915	0.4635	0.9116	0.2292	0.345	2.2924	0.8472	1.1432	1.1785	0.6145	0.7407	0.332	3.3924	2.5748
ATCAY|85300	0	0	0.8004	0.0398	0.0933	0.053	0.0513	0.0386	0.6811	0.2162	0.0165	0.448	0
ATE1|11101	5.3579	8.3545	6.7903	3.0203	7.0937	4.4581	3.8817	6.706	5.0853	7.2926	3.48	6.2963	14.6861
ATF1|466	4.4715	8.1578	5.4782	4.9042	7.7968	6.8515	5.3064	8.6194	5.733	6.7117	5.2822	10.8743	6.0397
ATF2|1386	3.8752	4.5458	10.3613	6.8402	12.0351	10.5921	9.1166	10.6178	11.0639	13.2522	7.6925	15.1689	22.4492
ATF3|467	5.338	10.9121	108.019	4.1547	14.9676	4.6677	7.2333	46.2022	28.0302	14.7065	7.5605	3.5621	2.6702
ATF4|468	58.2548	109.0674	158.1691	158.5693	110.6067	128.5768	98.2286	114.6155	114.4623	85.4365	107.7831	84.0078	79.0444
ATF5|22809	4.2367	6.1091	9.077	6.6256	7.6617	10.3413	11.7659	7.2547	10.7965	6.3733	6.5398	20.5955	15.8388
ATF6B|1388	19.2029	20.9429	8.5634	10.3326	19.9068	19.2158	15.9908	29.0675	13.0594	21.5775	14.6805	37.6063	36.2314
ATF6|22926	4.0678	5.7851	5.9102	5.2891	8.7508	6.8592	5.8553	7.918	6.5153	8.0325	5.9425	7.891	9.7289
ATF7IP2|80063	0.7431	0.4403	0.4238	2.9534	7.0167	3.0145	2.7649	4.9531	1.692	1.1522	1.3592	10.6062	10.8686
ATF7IP|55729	10.3282	4.3385	5.6786	3.2612	7.479	6.3624	5.8617	8.3928	6.3344	6.7676	4.0243	13.4357	18.0938
ATF7|11016	9.3285	8.6119	14.1662	6.1832	12.9927	11.4429	10.0196	13.4162	13.4818	22.7274	8.1593	13.3091	12.589
ATG10|83734	0.8386	0.8026	1.2477	0.5614	1.2833	1.2157	0.9978	1.1214	0.926	0.9972	0.7653	1.6203	0.7631
ATG12|9140	2.5917	5.1483	7.7685	4.9342	6.9422	6.7009	5.656	8.0487	7.4071	9.4249	4.6895	9.9753	5.1405
ATG16L1|55054	4.9507	11.5473	5.9865	5.6351	12.5918	8.4765	6.4262	12.9947	6.5224	8.3261	6.7403	13.9005	12.1025
ATG16L2|89849	4.0285	5.0947	2.0648	2.131	4.372	4.5806	3.4823	5.1802	3.3065	3.3892	2.1983	2.7879	1.4661
ATG2A|23130	6.7631	5.2969	6.1602	6.5527	13.5211	8.7521	9.5794	10.2077	9.4665	8.4932	7.5551	17.1653	14.9032
ATG2B|55102	3.704	4.0973	4.2415	4.1479	6.5152	7.4407	6.3183	6.5431	6.8215	7.1696	4.7401	6.0314	9.7335
ATG3|64422	10.9691	13.2249	7.0975	10.546	16.8143	11.8522	11.1402	12.5516	9.0244	8.379	14.7201	19.63	13.2924
ATG4A|115201	4.286	3.3629	3.9579	9.6819	8.3628	9.0922	8.2954	7.0526	5.5675	3.9878	10.1117	7.6539	3.351
ATG4B|23192	7.7384	11.3778	8.2279	5.7731	11.4308	8.9012	9.2806	13.6258	8.5427	7.5787	6.5919	15.443	10.6942
ATG4C|84938	1.4492	1.6821	2.8004	3.834	5.0904	4.2724	3.6937	4.3722	2.5678	2.9671	4.3854	3.8354	2.8946
ATG4D|84971	14.5699	18.5075	4.4415	7.2461	12.1612	6.855	7.0491	10.2392	5.2861	3.8683	9.2494	10.8243	7.889
ATG5|9474	5.7667	8.7475	8.0547	7.3613	12.9243	9.5147	7.7144	12.6107	8.3883	7.5974	8.7454	23.4143	17.6674
ATG7|10533	7.3305	14.6878	8.1768	6.8877	13.3022	10.2511	10.043	13.3445	10.1598	12.329	10.0547	17.597	21.1792
ATG9A|79065	23.6873	27.2059	16.8663	8.3395	19.0885	13.7674	12.9685	18.356	12.3717	16.7367	11.8402	38.5016	45.3822
ATG9B|285973	15.0812	6.1599	1.6474	0.2881	0.9343	0.6648	0.6685	1.6157	1.3631	2.2686	0.4055	0.4822	1.0556
ATHL1|80162	1.1099	1.5557	1.1737	1.7939	3.1441	3.6551	2.267	2.8616	3.0389	4.5046	1.0673	14.7979	1.3096
ATIC|471	10.0712	22.5302	11.6902	9.0231	17.1124	10.2451	10.4972	14.7569	10.3905	13.9496	11.0034	42.4892	42.7616
ATL1|51062	1.7849	3.3429	5.7347	1.7104	3.3136	2.651	2.0783	2.631	3.8431	6.7381	1.9958	1.5364	3.4927
ATL2|64225	16.1116	20.1525	39.0115	7.3644	14.0407	10.0426	12.296	14.4604	29.9177	28.9053	7.7762	13.5801	14.7265
