TCGA-IC-A6RE-11A-12R-A336-31	TCGA-IC-A6RF-11A-21R-A336-31	TCGA-IG-A3I8-11A-11R-A24K-31	TCGA-L5-A43C-11A-11R-A24K-31	TCGA-L5-A4OF-11A-12R-A260-31	TCGA-L5-A4OG-11A-12R-A260-31	TCGA-L5-A4OJ-11A-12R-A260-31	TCGA-L5-A4OM-11A-11R-A260-31	TCGA-L5-A4OO-11A-12R-A260-31	TCGA-L5-A4OQ-11A-12R-A260-31	TCGA-L5-A4OR-11A-11R-A260-31	TCGA-V5-A7RE-11A-11R-A354-31	TCGA-V5-AASX-11A-11R-A38D-31
ABCA10|10349	0.1003	0.1205	0.3048	0.3801	0.3708	0.9184	0.6342	0.8254	1.9657	1.0782	0.2315	0.2761	0.2146
ABCA11P|79963	1.5754	3.5054	1.7526	2.5314	4.0275	3.8195	4.3278	3.59	3.0793	3.2	2.7737	6.3224	5.7283
ABCA12|26154	1.4943	17.0104	0.0031	0.0063	0.0442	0.0129	0.0727	0.875	0.0158	0.013	0.0151	0.5932	0.0115
ABCA13|154664	0.0854	1.1796	0.0019	0.0028	0.0039	0.0134	0.0183	0.0738	0.003	0.0014	0	0.8104	0.4729
ABCA17P|650655	0.0018	0.005	0.0425	0.0095	0.0201	0.0191	0.0638	0.0166	0.0296	0.0524	0	0.3411	0.028
ABCA1|19	0	0.0401	0.006	0.0233	0.0546	0	0	0.0684	0.0383	0.0426	0.1006	0.0574	0
ABCA2|20	2.7115	2.3828	10.7978	12.1989	14.564	20.507	25.7979	8.3744	14.2804	12.1759	19.5775	6.9916	14.8586
ABCA3|21	2.111	0.9824	8.169	2.7627	3.3987	3.5385	3.8726	2.8471	7.145	8.6589	1.9242	0.7149	0.422
ABCA4|24	0.0161	1.636	0.0349	0.006	0.0551	0.0944	0.0242	0.0678	0.1122	0.0553	0.0198	0.2874	0.0065
ABCA5|23461	2.8146	2.171	1.5222	3.2479	5.3631	5.2305	5.1608	3.7122	3.4474	2.649	3.5784	3.1407	3.1846
ABCA6|23460	0.2277	0.2859	3.0703	0.7125	1.3716	2.9269	1.2199	1.9646	4.1445	8.0777	0.4643	0.2499	0.1662
ABCA7|10347	6.1147	3.3989	1.0842	2.2203	4.3347	3.1713	2.9537	3.1141	1.8873	0.9146	3.1301	2.9374	9.0624
ABCA8|10351	0.4026	0.4523	10.5056	4.1582	4.1101	8.2927	3.8436	6.1753	9.7845	20.6964	3.179	0.6429	0.6057
ABCA9|10350	0.1545	0.2039	5.6887	0.4108	0.6031	1.8371	0.7717	1.2308	4.7452	7.2142	0.1535	0.2245	0.2473
ABCB10|23456	3.078	6.0262	6.1065	3.0207	6.8369	4.8748	4.3902	6.9225	5.409	5.8661	3.9093	3.7285	8.4724
ABCB11|8647	0.0503	0.0182	0	0	0.038	0.0784	0.0215	0.0545	0.023	0.006	0.0834	0.2274	0
ABCB1|5243	0.4319	2.8545	2.1501	0.3963	0.9111	1.96	0.7325	1.0468	1.4567	3.4905	0.3781	0.9771	0.5909
ABCB4|5244	0.154	0.0877	0.4047	0.0363	0.0444	0.0951	0.2336	0.2329	0.3101	0.2875	0.0125	0.2189	0.0615
ABCB5|340273	0	0	0.0149	0.0084	0.0051	0.0412	0.0058	0.084	0.1857	0.1634	0	0.1833	9e-04
ABCB6|10058	11.9154	20.7849	7.2267	4.0863	11.0028	8.0923	7.4569	9.9201	5.938	8.5215	7.0647	20.4432	18.7281
ABCB7|22	6.175	12.0809	7.6848	7.5337	12.1564	8.7449	9.5259	7.8411	7.3247	7.6773	9.334	16.8166	10.4782
ABCB8|11194	5.7933	4.1359	3.2302	2.8537	6.4026	4.6587	4.3748	6.7729	4.2791	3.8078	4.063	3.6781	3.2555
ABCB9|23457	0.9895	1.0835	0.5471	1.3086	0.9838	1.5079	1.0497	0.9663	0.8309	0.9825	1.0947	1.6983	0.3164
ABCC10|89845	3.8872	4.8443	1.8802	2.5236	4.6197	4.3535	3.4419	5.7464	2.7186	2.4649	2.706	6.1967	8.1407
ABCC11|85320	0.0363	0.0079	0.001	0.0395	0.0694	0.029	0.0493	0.1102	0.002	0.0117	0.0591	0.1865	0.2569
ABCC12|94160	0	0	0.0034	0.0627	0.1408	0.0753	0.2841	0.026	0.0398	0	0.1714	0.0696	0.0051
ABCC13|150000	0.0078	0	0.0019	0	0	0.011	0	0	0	0.0048	0	0.5484	0.0058
ABCC1|4363	26.3026	37.1138	24.0604	5.7339	21.9658	12.4453	13.3266	25.8503	13.1249	17.7024	8.5882	30.7262	30.0398
ABCC2|1244	0.058	1.0359	0.047	0.1815	0.2121	0.2595	0.1725	0.2089	0.2267	0.241	0.078	1.9203	4.3942
ABCC3|8714	3.4154	13.479	0.055	5.9089	47.2636	18.6652	13.1533	56.2398	5.304	1.4488	13.3211	54.9539	30.8889
ABCC4|10257	0.6445	2.884	0.9418	1.9549	3.7356	2.9902	2.1714	3.3072	2.104	3.0116	2.3715	3.4734	0.7132
ABCC5|10057	3.5323	19.4471	2.3462	6.3677	31.6466	16.774	21.4939	30.8427	7.6049	6.2869	15.174	8.1837	3.1746
ABCC6P1|653190	0	0	0.0036	0.2434	0.5108	0.7643	0.29	1.0819	0.154	0	0.2998	2.8199	0.2113
ABCC6P2|730013	0.0282	0	0.0733	0.2524	0.213	0.5052	0.1848	0.924	0.3298	0.0895	0.2607	2.3203	0.2427
