TCGA-2H-A9GO-01A-11R-A37I-31	TCGA-L5-A4OT-01A-11R-A28J-31	TCGA-L5-A8NF-01A-11R-A37I-31	TCGA-L5-A8NH-01A-11R-A37I-31	TCGA-LN-A5U5-01A-21R-A28J-31	TCGA-R6-A8W5-01B-11R-A37I-31	TCGA-VR-A8EU-01A-11R-A36D-31	TCGA-VR-A8EX-01A-11R-A36D-31	TCGA-VR-AA7B-01A-31R-A406-31
FBXO30|84085	8.6135	10.3574	4.151	5.2631	13.0104	6.599	8.418	4.8878	6.4724
FBXO31|79791	4.6147	6.4737	9.4672	10.517	5.2278	6.3487	6.2669	7.6566	7.7463
FBXO32|114907	8.9961	11.5642	1.9387	2.844	5.1796	3.0697	7.0099	17.1832	25.9744
FBXO33|254170	6.7241	7.6633	4.4889	4.1864	3.7157	3.8013	2.9408	6.5501	4.067
FBXO34|55030	4.433	6.7764	8.8213	10.2241	7.3184	4.8441	3.864	9.0761	5.2344
FBXO36|130888	0.9749	0.2308	2.0971	0.6344	2.0161	0.4769	0.6372	0.5446	1.0658
FBXO38|81545	7.674	8.9507	12.9179	6.7393	12.8927	8.6347	5.7637	6.6335	11.0648
FBXO39|162517	0.0488	0.0755	0.14	0.0581	0.4533	0.0783	0.217	0.2154	0.1569
FBXO3|26273	5.1926	5.8925	5.7812	3.2048	8.1465	2.8592	6.8317	3.5821	4.7954
FBXO40|51725	0.0115	0.0087	0.003	0.005	0.0013	0.0043	0	0.0063	0
FBXO41|150726	5.2172	2.6165	0.7684	6.6791	1.146	6.5598	2.5219	3.29	8.2784
FBXO42|54455	5.0727	4.1699	5.9009	4.2867	4.4669	5.5198	4.4302	5.6551	5.2607
FBXO43|286151	0.2939	0.3488	0.1542	0.0588	0.449	0.1067	0.3129	0.7516	0.4315
FBXO44|93611	5.5503	1.8111	5.7911	1.492	2.9453	2.1941	2.0191	1.8937	4.1457
FBXO45|200933	12.024	6.0437	8.9875	6.2264	14.4467	6.7728	14.9928	5.2438	8.94
FBXO46|23403	14.1748	10.24	10.5474	11.3403	7.5403	7.5308	10.9904	25.3168	5.6769
FBXO47|494188	0.0054	0.0072	0	0	0	0.004	0.0068	0.0279	0.0051
FBXO48|554251	1.8527	1.1279	1.7169	0.8979	1.2134	0.9411	1.0916	0.8989	1.0173
FBXO4|26272	16.8627	7.0706	2.977	5.7273	5.6482	2.2276	1.8955	3.1789	2.3537
FBXO5|26271	16.7287	5.7544	5.8943	6.6179	8.7686	6.7601	7.3349	4.6977	8.2485
FBXO6|26270	11.8237	5.562	7.392	4.2486	15.1377	15.7319	11.6701	8.2455	14.1218
FBXO7|25793	9.4858	7.4904	7.2893	8.5718	11.8632	7.2288	8.9358	10.606	14.2807
FBXO8|26269	4.9826	5.4736	5.628	4.0206	5.8373	5.3078	6.9122	7.2668	4.4653
FBXO9|26268	11.9247	9.1499	8.5449	9.3011	12.4345	10.2988	5.9863	10.0053	7.6924
FBXW10|10517	0.9402	0.0281	0.0358	0.0396	2.017	0.0403	0.0226	0.0705	0.0037
FBXW11|23291	5.3137	12.3883	17.7152	6.5394	8.9968	12.3437	6.9175	6.8876	15.4088
FBXW12|285231	0.0167	0	0.0228	0	0	0	0	0.0057	0.0084
FBXW2|26190	6.6148	9.4549	6.4021	9.1988	17.9527	7.3947	5.745	5.9944	4.6582
FBXW4|6468	12.0706	11.9966	16.8823	15.9297	25.5719	7.3733	14.1741	19.523	21.4543
FBXW5|54461	42.8422	27.6302	27.6116	31.7109	57.874	56.2718	28.8282	34.3402	28.7088
FBXW7|55294	5.1555	4.4235	3.9383	5.0005	2.1543	3.4355	3.4292	6.8841	1.905
FBXW8|26259	4.714	4.488	7.6371	5.9365	5.6025	5.2347	4.2347	2.9469	5.7979
FBXW9|84261	3.505	2.9811	2.4019	4.9985	4.4094	5.012	3.1968	6.3964	3.93
FCAMR|83953	0.5121	0.2809	0.4033	1.6453	0.1045	0.0469	0	2.3329	0
FCAR|2204	0.0864	0.1436	0.1183	0.1772	0.0218	1.0141	0.0032	0.0046	0.0658
FCER1A|2205	0.0846	2.8765	0.1479	0.2926	0.5873	0.2071	0.1573	1.0467	0.2846
FCER1G|2207	9.288	86.18	18.1485	35.3341	56.9237	58.7428	109.3169	18.8582	16.5526
FCER2|2208	0.0489	0.0586	0.0034	0.0873	0.2667	0.0515	0.0418	2.4523	0.0188
FCF1|51077	8.0851	9.3625	13.3633	9.2999	15.8568	22.3329	15.3079	13.1255	14.524
FCGBP|8857	1.9916	4.8464	5.3661	49.7567	0.5805	52.8225	0.2465	6.2033	0.1752
FCGR1A|2209	0.2548	1.176	0.3788	0.3085	0.7544	1.0888	0.8487	0.2682	0.3956
FCGR1B|2210	0.0215	0.1856	0.0425	0.0278	0.0817	0.1635	0.0581	0.0524	0.3545
FCGR1C|100132417	0	0.1079	0.0269	0.0139	0.0354	0.0887	0.0374	0.0097	0.0185
FCGR2A|2212	2.6148	33.4366	5.548	9.5119	13.8114	29.8183	26.8364	2.0967	9.1178
FCGR2B|2213	0.0146	2.0538	0.2612	0.404	0.74	1.5028	1.6403	0.8616	0.4333
FCGR2C|9103	0.0233	2.2913	0.1933	0.2564	0.5165	0.2828	0.351	0.1622	0.1801
FCGR3A|2214	1.539	18.5713	2.5435	5.9636	12.2331	23.5582	19.5674	2.1223	5.4351
FCGR3B|2215	1.9481	0.5269	1.7571	0.5898	0.1411	5.4105	0.1609	0.0242	0.1356
FCGRT|2217	63.6014	29.1668	16.8404	34.9471	17.0454	22.4554	8.7451	6.4568	12.3252
FCHO1|23149	4.6767	1.8995	1.0183	2.2545	0.9942	4.1856	2.2907	1.5802	7.4797
FCHO2|115548	5.6504	12.6363	11.9155	7.8037	5.3021	8.9015	8.2896	11.5202	3.9885
FCHSD1|89848	2.5645	2.8712	4.5337	2.3443	2.5668	2.7461	6.2141	2.2328	5.6318
FCHSD2|9873	4.2115	9.2443	18.288	5.7445	6.254	8.1749	18.9827	3.5055	31.3456
FCN1|2219	0.5635	1.1316	0.7065	0.5992	0.1659	2.2453	0.4525	0.2321	0.3534
FCN2|2220	0	0	0.012	0	0	0	0	0	0
FCN3|8547	0.3767	0.4407	0.4478	0.9298	0.4922	0.6964	1.1273	0.4136	0.3243
FCRL1|115350	0.0174	0.1278	0.0238	0.0717	0.2612	0.0828	0.01	1.1688	0.0186
FCRL2|79368	0.0372	0.1783	0.0049	0.0841	0.0926	0.3216	0.0045	0.9695	0.0053
FCRL3|115352	0.0445	0.2391	0.0075	0.3435	0.1417	0.0994	0.0593	1.4135	0.0425
FCRL4|83417	0.0047	0.0482	0.005	0.0744	0.051	0.0552	0.0092	0.1761	0.0068
FCRL5|83416	0.0191	0.5568	0.0729	1.9418	0.1187	2.581	0.028	0.7099	0.0301
FCRL6|343413	0.0202	0.2224	0.0726	0.0806	0.0407	0.278	0.146	0.0871	0.0648
FCRLA|84824	0.052	0.2823	0.051	0.2041	0.4848	0.259	0.0807	5.0183	0.1002
FCRLB|127943	0.0113	0.6384	0.1336	0.0646	0.317	0.4401	0.2811	0.2288	0.5388
FDFT1|2222	367.3849	264.561	31.223	115.3304	49.7313	28.3574	19.2506	47.6761	14.5054
FDPSL2A|619190	0	0	0	0	0	0	0	0	0
FDPS|2224	42.2871	22.4786	60.0798	73.172	65.5191	52.6096	40.1171	57.7678	29.5201
FDX1L|112812	5.5927	3.0235	2.1941	3.4277	5.6044	2.554	2.5796	4.208	3.2656
FDX1|2230	26.4817	15.4348	6.2379	8.4691	18.4616	6.7898	3.7471	5.5642	4.0547
FDXACB1|91893	1.4875	0.9027	0.5578	1.2865	1.3368	2.2642	0.5455	1.4187	0.5313
FDXR|2232	1.7586	2.2218	4.8321	5.8886	6.167	6.0131	3.9842	10.7281	9.1957
FECH|2235	2.3413	1.7382	1.703	2.6374	11.4875	3.4205	2.2367	2.3038	5.4941
FEM1A|55527	6.7665	10.1599	8.492	12.3923	7.998	9.5829	10.7766	21.2529	11.4881
FEM1B|10116	7.2228	9.8993	10.6883	8.4313	14.5593	11.6567	11.9465	17.303	16.7109
FEM1C|56929	2.7744	18.5402	10.8863	8.6674	6.254	6.6333	8.2912	5.999	14.7971
FEN1|2237	24.234	9.3624	40.6731	15.7488	19.735	25.4038	21.081	20.8844	17.72
FER1L4|80307	4.2134	6.6358	3.9259	1.0991	0.2961	4.5998	0.1087	0.2276	0.7142
FER1L5|90342	0.0124	0.0308	0.0104	0.0643	0.0045	0.0217	0.025	0.0159	0.0293
FER1L6|654463	1.5521	3.8554	10.9597	4.2553	1.2074	9.0905	0.4766	4.9221	0.2497
FERD3L|222894	0	0	0	0.0205	0	0.0387	0.0249	0	0
FERMT1|55612	5.5578	7.1984	15.2856	25.7854	8.2903	38.7926	29.6527	12.2949	13.1883
FERMT2|10979	7.4693	16.4221	7.7514	4.0128	7.9732	8.1796	3.7134	2.8504	12.1029
FERMT3|83706	1.6328	6.3319	2.645	11.6283	3.8689	11.4165	4.9352	4.7667	2.1763
FER|2241	0.6407	1.6566	1.3548	1.3132	0.8898	1.9845	3.6829	1.1602	3.6291
FES|2242	2.3726	4.2093	4.2941	2.8656	3.1123	2.6562	2.9682	0.9808	2.0167
FETUB|26998	0	0	0.0097	0	0.1474	0	0.0193	1.7972	0.091
FEV|54738	0.0349	0.1316	0.0504	1.2477	0.0162	0.0098	0	0.0127	0.0756
FEZ1|9638	2.3769	2.4814	2.088	1.0191	2.8758	1.1265	5.7657	0.6945	2.8083
FEZ2|9637	12.7588	11.6362	9.0172	11.0036	10.2187	8.3846	14.4915	12.4497	9.9101
FEZF1|389549	4.1986	4.5252	0.2515	2.7201	1.2416	0.5923	0.153	0.3364	0.0927
FEZF2|55079	0.0073	0	0	0	0	0	0	0.0107	0
FFAR1|2864	0	0.0179	0	0	0	0	0	0.0259	0
FFAR2|2867	0.3733	0.3673	0.2339	1.1507	0.0829	1.9923	0.3137	0.8901	0.1044
FFAR3|2865	0	0	0.0077	0	0	0.0112	0	0	0
FGA|2243	3.5182	0.0148	0.0351	0.1292	1.2302	2.0208	0	0.3085	0
FGB|2244	1.1774	0.0039	0.028	0.8112	0.4768	9.2967	0	6.0194	0
FGD1|2245	1.7874	2.8073	2.3962	0.869	6.4121	1.9894	6.496	4.7404	12.7851
FGD2|221472	0.1371	1.8886	0.2494	0.7204	1.941	1.1312	0.924	1.0033	0.5309
FGD3|89846	0.4193	2.7709	0.5507	1.1776	1.1584	1.8523	1.8069	1.6528	1.1519
FGD4|121512	6.1332	8.445	15.6643	7.8634	2.6524	4.7411	4.4551	1.3816	2.3441
FGD5|152273	1.3184	4.8398	3.2531	3.0398	1.0686	4.4611	1.2732	0.3571	2.4897
FGD6|55785	2.3294	7.1552	2.8079	7.0686	6.3733	6.3976	8.4612	4.4063	4.0948
FGF10|2255	0.0523	1.6954	0.5296	0.293	0.0301	0.3422	0	0	0.0566
FGF11|2256	1.6239	0.4567	0.2436	0.3814	2.791	0.4323	2.2973	5.9798	1.9368
FGF12|2257	1.6304	0.1064	0.5713	0.3696	3.044	0.1766	0.6513	0.584	0.6949
FGF13|2258	0.4754	1.254	0.4739	0.2168	0.2524	0.1444	2.3879	1.621	1.3409
FGF14|2259	0.0561	0.6573	0.1018	0.0819	0.0928	0.0246	0.0315	0.0079	0.2294
FGF16|8823	0	0	0	0	0	0	0.0454	0.0259	0.1052
FGF17|8822	0.0832	0.0963	0.0226	0.0187	0.062	0.0214	0.012	0.0269	0.0206
FGF18|8817	1.7663	0.4092	4.3373	0.3816	0.0883	0.3863	0.0884	0.2414	0.1897
FGF19|9965	0.1801	0.0465	0.1043	0.02	0.4947	0	0.3166	0.14	0.9041
FGF1|2246	0.2352	0.5504	0.2742	0.3118	0.2621	0.2213	0.2364	1.1489	1.0566
FGF20|26281	1.7294	13.3882	0.3151	0.3883	0.1837	0.409	0	0	0.0324
FGF21|26291	0.0823	0.0063	0	0	0.0116	0	0	0.0092	0
FGF22|27006	0.058	0.0759	0.0268	0	0	0.2001	0.021	0.0917	0.0515
FGF23|8074	0.0217	0	0	0.0165	0	0.0082	0	0.0139	0.0118
FGF2|2247	0.3855	3.9664	0.5662	0.5799	0.4532	0.7686	0.1655	0.5798	0.9483
FGF3|2248	5e-04	0.0028	0.0013	0.0092	0	0	0	0.0192	0.1509
FGF4|2249	0.014	0	0.0115	0.0363	0.003	0	0	0.0196	0.047
FGF5|2250	0.0091	0.0122	0	0.0053	0.0141	0.0811	0.0148	0.0089	0.1574
FGF6|2251	0	0	0	0	0	0	0	0	0
FGF7|2252	0.3405	4.0326	2.125	0.8664	0.7241	1.4231	0.1169	0.1314	0.8357
FGF8|2253	0.0236	0.0298	0.0083	0.0704	0.0343	0.0169	0.0281	0.015	0
FGF9|2254	0.0398	0.0037	0.2068	0.0533	0.0218	0.0737	0.0035	0.0596	0.1018
FGFBP1|9982	0	0.2496	5.1873	2.6975	116.3057	7.8328	275.5194	280.4736	14.1988
FGFBP2|83888	0.0456	0.1414	0.2191	0.2103	0.3828	0.1109	0.0816	0.0817	0.0253
FGFBP3|143282	1.8844	0.3328	0.4296	1.3773	0.3467	0.8892	0.108	1.0934	0.5467
FGFR1OP2|26127	9.8418	8.2145	11.141	6.1155	12.0552	5.971	10.199	6.2485	7.9898
FGFR1OP|11116	21.9064	7.3881	9.421	8.9151	6.027	11.2981	5.6997	3.3683	5.9216
FGFR1|2260	0.8839	10.9854	3.0906	2.2113	1.8158	4.2333	2.0493	1.1244	8.731
FGFR2|2263	1.0162	3.1057	6.3379	2.3736	3.4519	1.4985	1.9779	8.0157	5.2587
FGFR3|2261	13.5981	1.5776	16.0426	2.5234	63.0801	7.6761	38.1969	96.3838	9.4844
FGFR4|2264	19.5652	7.4247	18.1117	12.996	3.8115	35.7964	2.2996	1.1473	6.3365
FGFRL1|53834	27.7016	11.6335	40.757	12.9197	11.9235	20.0522	3.865	5.5508	16.297
FGGY|55277	0.5495	0.4132	1.8751	0.5375	1.8327	1.0688	1.4398	1.9852	1.8094
FGG|2266	2.1785	0.0167	0.0087	0.1536	1.6913	1.2309	0.0761	1.1714	0.0179
FGL1|2267	0	0.1098	0	0.4561	1.3479	0.2881	0	0.0105	0.0052
FGL2|10875	0.3972	12.2729	1.5652	3.7804	4.0303	6.9548	5.6438	1.1191	1.6684
FGR|2268	0.7493	2.0543	1.3623	1.2839	1.1226	5.2915	2.1191	0.8744	0.8694
FHAD1|114827	0.4962	0.5685	0.3483	0.1379	0.5084	0.3928	0.3788	0.1501	0.2576
FHDC1|85462	5.0289	6.5602	5.0967	3.1892	1.834	2.2436	3.0619	6.158	3.4886
FHIT|2272	0.4846	1.6408	0.94	0.9114	0.3903	1.411	0.2492	0.4772	0.6052
FHL1|2273	4.9028	16.0612	6.9971	2.7851	2.7107	2.971	4.9829	18.1351	7.3549
FHL2|2274	15.7146	15.4774	14.1262	9.7167	7.233	14.1946	13.3876	14.8112	17.6395
FHL3|2275	9.8297	8.4878	4.7182	8.712	11.8069	28.3149	15.9842	8.7713	31.2164
FHL5|9457	0.3351	1.7391	0.499	1.1728	0.2394	1.0546	0.2794	0.1063	0.4742
FHOD1|29109	7.8504	5.9553	6.0082	8.4849	6.4521	9.1481	13.631	5.4693	12.9728
FHOD3|80206	0.1063	0.6683	0.3191	0.0894	0.3783	1.6061	2.4044	0.2862	11.5078
FH|2271	72.2528	30.001	41.9403	38.6262	63.0484	57.0581	36.9527	36.9668	31.847
FIBCD1|84929	0.0434	0.8552	0.1433	0.0854	0.45	0.2206	0.1154	0.1671	4.015
FIBIN|387758	0.2248	2.2809	2.4741	0.2656	0.4186	0.9379	0.777	0.3608	4.3328
FIBP|9158	13.8799	14.8562	10.9106	10.4055	22.2358	18.0035	12.4743	24.7821	23.8888
FICD|11153	1.395	2.758	2.7382	1.6743	1.2056	2.9664	0.9786	0.9087	1.194
FIG4|9896	4.7573	3.5896	5.7718	5.6528	5.3581	3.5021	1.947	3.6413	5.3597
FIGF|2277	5.4644	1.1826	3.1502	1.3574	15.0831	1.5259	1.8902	5.5355	5.3397
FIGLA|344018	0	0.0459	0	0	0	0	0.0441	0	0.0252
FIGNL1|63979	10.2283	6.8784	5.772	10.2854	3.8729	6.7532	4.8703	5.1267	7.037
FIGNL2|401720	0.6281	0.1798	0.1737	0.0787	0.0356	0.137	0.115	0.2361	0.2359
FIGN|55137	0.3572	0.3608	0.0911	0.0407	0.7821	1.5821	0.0738	0.1055	1.0887
FILIP1L|11259	2.7256	32.2623	10.3598	7.8629	3.3251	10.6686	4.4095	1.1274	12.777
FILIP1|27145	0.7044	1.7809	0.9363	0.7342	0.4161	0.5359	1.4888	0.2808	0.743
FIP1L1|81608	15.1536	11.9288	19.4373	14.3991	10.6661	12.4868	12.5384	13.1201	16.0131
FIS1|51024	139.7665	42.3855	108.2802	23.4807	31.4472	20.3337	40.343	31.6455	36.757
FITM1|161247	0.3887	0.2584	0.2758	0.4087	0.2921	0.1268	0.1492	0.4848	0.1744
FITM2|128486	4.5153	3.3949	3.6318	7.6209	1.8967	5.878	1.9074	2.0413	5.6365
FIZ1|84922	5.0653	2.3952	3.3637	2.9749	2.8602	1.9188	1.6517	3.9126	2.3377
FJX1|24147	1.2175	3.0459	1.7749	1.8412	26.0695	3.3217	14.1111	5.5784	7.2553
FKBP10|60681	74.9916	33.5344	4.7511	6.1958	9.5625	52.8731	6.6735	0.4439	46.5397
FKBP11|51303	21.7774	14.8306	8.4436	15.9636	11.9599	18.0357	5.3542	4.4436	3.84
FKBP14|55033	8.6093	14.2271	4.4486	6.7954	5.297	6.4666	4.8745	5.1472	11.9304
FKBP15|23307	5.1707	8.3473	14.9868	7.9269	15.5542	7.26	10.8904	5.6961	5.5143
FKBP1AP1|2282	1.5393	0.9906	0.9568	0.5631	0.265	0.2536	0.6155	0.321	0.1236
FKBP1A|2280	129.1786	99.4717	80.9399	118.7555	125.0606	96.3771	102.2781	106.8345	82.5903
FKBP1B|2281	8.2824	5.0206	9.1802	6.4155	1.596	2.3426	1.6522	3.341	2.4711
FKBP2|2286	69.0913	33.7419	34.7648	39.2413	49.1895	47.6648	31.9379	70.2132	37.2111
FKBP3|2287	31.7457	15.4749	15.1814	21.4453	57.6534	19.2054	28.1435	27.578	28.0305
FKBP4|2288	55.5173	55.2692	28.7059	26.4877	71.0875	56.0664	68.7593	42.8427	40.0775
FKBP5|2289	1.7487	8.0187	2.5478	4.9451	12.5914	4.2943	38.9055	4.6584	13.1123
FKBP6|8468	0.0393	0.0939	0.3254	0.1013	0.1149	0.0179	0.0824	0.3005	0.1663
FKBP7|51661	6.6778	8.3679	2.7333	1.8556	2.1236	1.9282	1.914	1.6859	4.2784
FKBP8|23770	84.6603	70.24	54.8109	69.7872	140.3414	65.8162	109.8344	133.7961	114.1412
FKBP9L|360132	4.11	6.6577	1.5184	3.1211	0.8323	0.9727	0.4959	0.7629	1.2377
FKBP9|11328	66.4203	37.484	31.4172	42.6404	32.6392	26.0381	33.1886	16.0613	37.5634
FKBPL|63943	7.0154	2.6993	2.4278	2.5753	3.6142	3.0418	3.7022	6.5085	2.5201
FKRP|79147	3.5739	3.4969	4.0706	3.934	4.9158	3.2096	4.8415	4.1351	5.6684
FKSG29|100131561	0.1035	0.2107	0.7244	0.2533	0	0.1358	0.0786	0.0394	0.2741
FKSG73|440888	0	0	0	0	0	0	0	0	0
FKSG83|83954	0	0	0	0	0	0	0	0	0
FKTN|2218	3.1746	5.6075	11.3703	6.2974	6.3903	5.4718	4.1541	2.0358	3.3491
FLAD1|80308	17.7282	6.9485	8.7337	14.7719	14.1189	9.8312	12.3879	15.351	8.6141
FLCN|201163	8.7706	9.1184	6.1827	8.7028	4.328	3.9956	3.1027	3.1967	4.3436
FLG2|388698	0	0.0036	0.0038	0.0016	0.0037	0.0014	0	0.0733	0.0311
FLG|2312	0.0116	0.0123	0.0472	0.0284	0.2293	0.0442	0.0943	2.2502	0.685
FLI1|2313	1.2255	3.3367	1.2258	2.2984	4.9412	3.1355	1.4411	1.0044	2.2738
FLII|2314	53.2065	26.0353	54.1702	44.4477	67.5437	52.1529	38.4504	52.829	51.292
FLJ10038|55056	2.1488	1.1881	0.9571	1.5666	1.4016	0.9337	2.105	1.8596	1.3114
FLJ10213|55096	0	0	0	0	0	0	0	0	0
FLJ10357|55701	0	0	0	0	0	0	0	0	0
FLJ10661|286042	0	0	0	0	0	0	0	0	0
FLJ11235|54508	0.173	0.3086	0.5054	0.5657	1.3622	0.1673	0.0855	0.7024	0.7442
FLJ12825|440101	0.2695	0.043	0.312	0.124	0.0582	0.0547	0.0626	0.0061	0.0515
FLJ13197|79667	0.7932	1.8232	3.1553	3.5446	1.2308	1.1111	1.4215	1.0926	1.1398
FLJ13224|79857	0.3464	0.2507	0.4093	0.2051	0.1867	0.1177	0.1458	0.3449	0.235
FLJ14107|80094	0.5083	0.4204	0.3933	0.2103	0.0083	0.0553	0.1337	0.0887	0.0703
FLJ16779|100192386	0.0225	0.0236	0	0.0074	0.011	0.0222	0.0212	0.0188	0.0801
FLJ22536|401237	0	0	0	0	0	0	0	0	0
FLJ23867|200058	16.4155	9.3779	21.3657	14.0731	5.8745	30.2026	14.9768	19.2463	13.0598
FLJ25328|148231	0.0341	0	0.0096	0	0	0.0069	0	0	0
FLJ25363|401082	0.7135	0.0036	0.358	0.0238	0	0	0	0	0.2051
FLJ25758|497049	0.0448	0	0	0	0	0	0.0163	0.0818	0
FLJ26850|400710	0	0.109	0	0.0721	0.0106	0.0086	0.0111	0.0337	0.1058
FLJ30679|146512	0.058	0.0251	0.0434	0.0287	0.1153	0.129	0.0991	0	0.2301
FLJ32063|150538	0.0304	0	0	0.0075	0	0	0.0042	0	0.0094
FLJ33360|401172	0.1266	0.0683	0.3503	0.0764	0.1172	0	0.1093	0.0366	0.022
FLJ33630|644873	1.8171	1.802	6.5772	1.4671	2.4754	2.3331	2.7195	2.7361	3.6223
FLJ34503|285759	0.0082	0.0431	0.0638	0.0177	0	0.0123	0	0.018	0.0931
FLJ35024|401491	0.0153	0.1196	0.0347	0.0228	0.0854	0.021	0.0917	0.191	0.0291
FLJ35220|284131	0	0	0	0	0	0	0	0	0
FLJ35390|255031	0.687	0.4067	0.4681	0.4235	0.1937	0.3482	0.2128	1.0867	0.5567
FLJ35776|649446	0	0	0	0	0	0	0	0	0
FLJ36000|284124	0.1683	0	0	0	0.004	0	0	0	0.8789
FLJ36031|168455	0	0	0	0	0	0	0	0	0
FLJ36777|730971	0.5536	0.0895	0.177	0	0.2937	0.0212	0.0482	0.0662	0.0712
FLJ37201|283011	0.4366	0.0573	0.3957	0.0875	0.3223	0.245	0.1746	0.0951	0.2732
FLJ37307|283521	0	0	0	0	0	0	0	0	0
FLJ37453|729614	3.2601	1.0203	1.0096	1.1404	1.8438	0.7079	0.5962	2.158	2.0085
FLJ37543|285668	0	0	0	0	0	0	0	0	0
FLJ39582|439931	0	0	0	0	0	0	0	0	0
FLJ39609|100130417	0	0	0	0	0	0	0	0	0
FLJ39653|202020	0	0	0	0	0	0	0	0	0
FLJ39739|388685	0.1075	0.038	0.0819	0.1398	0.1223	0.0751	0.0905	0.0359	0.0863
FLJ40292|643210	0.2819	0.3526	0.1987	0.2398	0.0217	0.0106	0.0963	0.1073	0.1384
FLJ40330|645784	0	0	0	0	0	0	0	0	0
FLJ40434|163742	0	0	0	0	0	0	0	0	0
FLJ40504|284085	0	0	0	0	0	0	0	0	0
FLJ40852|285962	1.3066	0.3801	0.0325	0.1795	0.9964	0.395	0.0318	0.3215	0.1171
FLJ41941|100192420	0	0.0209	0	0.006	0.0192	0.0347	0	0.0402	0.2132
FLJ42289|388182	0.0618	0.1043	0.0981	0.0237	0.2678	0.0388	0.1102	0.5179	0.2407
FLJ42393|401105	2.6009	1.464	4.9536	0.7703	0.4098	0.1884	0.5712	0.5287	0.3056
FLJ42627|645644	0.6093	0.4692	0.3445	0.5513	0.3491	0.2578	0.0914	0.5291	0.3315
FLJ42709|441094	0.0804	0.3712	0.1096	0.1071	0.3718	0.2076	0.2526	0.1488	0.6499
FLJ42875|440556	2.913	1.7039	4.3973	1.0525	0.483	0.7804	0.167	0.0193	1.2972
FLJ43390|646113	0	0.0025	0.0207	0.0043	0	0.0056	0	0.0162	9e-04
FLJ43663|378805	3.0219	2.4999	1.0341	1.407	1.2316	0.3673	0.854	0.4756	0.5604
FLJ43859|389761	0	0	0	0	0	0	0	0	0
FLJ43860|389690	0.0526	0.0361	0.0133	0.0362	0.0047	0.0065	0.0044	0.0218	0.0517
FLJ43950|347127	0	0	0	0	0	0	0	0	0
FLJ44054|643365	0	0	0	0	0	0	0	0	0
FLJ44082|389762	0	0	0	0	0	0	0	0	0
FLJ44606|401207	0	0	0	0	0	0	0	0	0
FLJ44635|392490	2.6333	2.2823	2.3397	1.7744	2.6757	0.938	1.2715	1.7249	1.8217
FLJ45079|400624	0.011	0.0116	0.0073	0.0051	0	0.0013	0	0.0055	0.0086
FLJ45244|400242	0	0	0	0	0	0	0	0	0
FLJ45340|402483	5.0652	6.0347	5.3792	8.7499	3.8856	2.6806	5.9964	5.79	3.9765
FLJ45445|399844	1.2799	1.5463	1.8216	1.3379	2.2311	0.5741	0.5643	5.4224	1.7798
FLJ45983|399717	0.0272	0	0.0107	0.0059	0	0	0.0066	0	0.0538
FLJ46111|283102	0	0	0	0	0	0	0	0	0
FLJ46321|389763	0	0	0	0	0	0	0	0	0
FLJ46361|375940	0.0121	0.0171	0	0	0	0	0.0085	0	0
FLJ90757|440465	4.2394	2.6227	3.2773	2.2258	2.2428	1.8291	1.8973	1.3922	5.783
FLNA|2316	31.5104	135.3381	53.4096	52.9325	83.8632	249.3871	467.2916	101.5182	588.0295
FLNB|2317	9.295	36.7267	29.0079	72.7092	15.7657	84.5786	84.2699	32.6796	46.3349
FLNC|2318	0.4939	9.0457	2.933	0.9329	1.8494	9.4433	2.9465	0.5002	14.9472
FLOT1|10211	79.2163	49.3165	94.9734	50.668	59.1219	43.8923	55.1865	44.7157	63.8693
FLOT2|2319	30.7274	20.3553	40.3189	36.5898	110.7553	33.9375	79.4051	45.2103	30.4773
FLRT1|23769	0.1402	0.2528	0.054	0.1317	0.1125	0.262	0.0343	0.214	0.2711
FLRT2|23768	0.0964	1.5454	0.3643	0.1957	1.2149	1.0948	3.8621	2.1751	1.1757
FLRT3|23767	5.5674	20.1391	13.1211	7.7578	5.1092	1.9106	0.3004	1.3938	0.0618
FLT1|2321	1.6257	9.982	2.4523	5.3559	1.677	6.958	2.0201	0.9799	3.0032
FLT3LG|2323	1.0997	3.0486	0.8173	4.1624	4.7767	3.67	5.6885	6.1446	5.4269
FLT3|2322	0.0361	0.3212	0.0065	0.1296	0.0608	0.1125	0.0328	0.0409	0.0513
FLT4|2324	1.4752	4.242	1.4768	3.5111	0.8987	2.2377	1.009	0.2722	1.7818
FLVCR1|28982	10.1005	13.2461	7.5536	7.0769	7.6163	7.5155	2.8251	2.9747	2.4186
FLVCR2|55640	1.0654	2.1165	0.6692	3.074	1.1084	2.8277	2.6586	1.2208	2.2179
FLYWCH1|84256	5.6541	4.7031	6.6104	3.7549	11.4819	3.0524	6.8477	9.7656	5.2936
FLYWCH2|114984	23.3574	12.7043	16.7867	5.4333	17.0505	9.0233	9.7432	15.1233	16.5808
FMN1|342184	0.0072	0.2421	0.0328	0.0431	0.0194	0.1905	0.1387	0.0355	1.0583
FMN2|56776	0.0658	0.0062	0.0566	0.006	0.0065	0.0401	0.011	0.005	0.0176
FMNL1|752	1.7167	7.7589	2.0795	4.3634	2.8157	11.1268	3.1776	3.6216	9.0337
FMNL2|114793	7.1168	18.6015	6.6701	9.8708	8.9086	11.6171	25.2772	4.5342	17.0653
