TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-BW-A5NP-01A-11R-A27V-07	TCGA-DD-A119-01A-11R-A131-07	TCGA-DD-A1EK-01A-11R-A213-07	TCGA-DD-A3A9-01A-11R-A266-07	TCGA-FV-A2QQ-01A-11R-A22L-07
FGG|2266	50706.7521	22019.5217	242956.3081	151711.2971	79497.5912	133406.387
FGL1|2267	40929.0291	1885.3099	76906.1239	50506.2762	11310.3923	95525.9862
FGL2|10875	536.7176	148.8531	291.2792	267.7824	275.9807	370.0689
FGR|2268	94.135	29.7706	82.1197	169.8745	41.9821	90.7952
FHAD1|114827	15.2785	2.9283	0.7019	29.2887	2.7529	2.774
FHDC1|85462	12.3213	37.0913	41.4108	10.8787	44.0468	31.3087
FHIT|2272	32.5283	74.1825	277.2416	167.364	33.7233	137.7583
FHL1|2273	409.5614	208.8824	274.4341	240.1674	428.7681	278.0213
FHL2|2274	320.8477	110.7857	578.3471	203.3473	561.5967	163.4314
FHL3|2275	220.3056	251.8302	369.1876	274.477	720.5781	211.0207
FHL5|9457	0.9857	2.9283	0.7019	7.5314	7.5705	1.8785
FHOD1|29109	355.8403	98.0966	227.4083	158.9958	419.1328	164.6838
FHOD3|80206	10.8428	13.6652	21.0563	18.41	19.9587	21.9161
FH|2271	4825.5298	3693.9971	8164.2393	7380.7531	5270.4749	12943.6443
FIBCD1|84929	1.9714	0	7.0188	35.9833	22.0234	0
FIBIN|387758	28.0927	5.8565	96.1572	110.4603	52.3056	58.8604
FIBP|9158	1243.4697	853.0991	1404.4569	1253.5565	2147.9697	1340.0125
FICD|11153	87.7279	67.838	13.3357	284.5188	83.9642	61.9912
FIG4|9896	339.0833	185.4563	163.5375	152.3013	518.2381	143.3939
FIGF|2277	45.3425	83.9434	25.2676	22.5941	11.6999	44.4584
FIGLA|344018	0	0.488	0	0	0	0
FIGNL1|63979	337.6047	300.1464	80.7159	87.8661	72.2643	106.4496
FIGNL2|401720	37.9497	148.8531	75.8028	39.3305	247.075	196.6187
FIGN|55137	116.3135	245.9736	9.8263	205.0209	6.8823	19.4114
FILIP1L|11259	215.377	250.8541	100.3685	127.1967	221.6105	199.7495
FILIP1|27145	25.6284	20.0098	35.7958	35.1464	59.1879	24.4208
FIP1L1|81608	403.7506	1022.8941	335.5957	448.6192	282.1679	498.5848
FIS1|51024	2762.9768	2457.0717	6842.9338	2402.2092	8167.3228	5662.799
FITM1|161247	5.9142	12.2011	41.4108	8.3682	50.2409	15.0282
FITM2|128486	126.6634	13.6652	78.6103	68.6192	28.2175	64.4959
FIZ1|84922	235.0912	503.6603	451.3072	309.6234	519.6146	341.2649
FJX1|24147	50.7639	24.8902	59.6596	117.9916	97.7288	60.7389
FKBP10|60681	299.655	356.2714	572.0302	216.7364	1096.3524	325.6105
FKBP11|51303	1079.8423	1340.1659	2512.0197	965.6904	1384.7213	1979.3363
FKBP14|55033	88.2208	83.9434	13.3357	81.1715	12.3882	39.449
FKBP15|23307	671.9271	830.1611	316.0765	542.9372	518.9264	485.6982
FKBP1AP1|2282	28.0927	31.7228	4.9131	0	1.3765	1.2523
FKBP1A|2280	3964.6033	5269.8878	5273.2269	1974.8954	5546.4556	4038.923
FKBP1B|2281	69.9852	242.0693	33.6901	25.9414	75.7054	56.3557
FKBP2|2286	1557.9103	2084.9195	7712.2302	2869.4561	3531.3145	2856.6061
FKBP3|2287	1523.9034	1738.409	2387.0855	1042.6778	1483.1383	2056.3557
FKBP4|2288	1679.1523	4013.6652	3571.8547	4122.1757	3589.1259	4479.0232
FKBP5|2289	2340.069	1845.7784	2917.7049	1787.4477	1618.0317	2726.3619
FKBP6|8468	0.5175	1.9522	0.7019	0	0	0
FKBP7|51661	165.106	167.8868	153.7112	297.0711	135.5816	87.6644
FKBP8|23770	7216.8556	7020.0098	8254.0797	8282.0084	10419.8211	12655.6043
FKBP9L|360132	19.7141	16.5935	3.5094	46.0251	28.9057	18.7852
FKBP9|11328	1905.865	1348.4627	879.4525	2316.318	2262.9043	1094.5523
FKBPL|63943	146.8704	213.7628	513.0725	148.1172	239.5045	128.9919
FKRP|79147	222.277	240.1171	167.0469	283.682	214.0399	316.2179
FKSG29|100131561	0	0	0	0	0	0
FKSG73|440888	0	0	0	0	0	0
FKSG83|83954	0	0	0	0	0	0
FKTN|2218	293.7408	489.019	149.4999	149.7908	112.8699	185.9737
FLAD1|80308	1114.8349	1482.6745	1833.3041	1125.523	2574.6731	2409.5178
FLCN|201163	488.4179	936.2274	363.5726	1049.3724	775.6366	605.5103
FLG2|388698	0	0	0	0	0	0
FLG|2312	0.4929	2.0742	2.1056	2.5105	0	16.9067
FLI1|2313	228.6841	93.7042	181.7863	238.4937	302.1335	245.4602
FLII|2314	2189.7486	1785.2611	970.6966	1920.5021	2179.6284	3355.6669
FLJ10038|55056	311.6806	232.2694	220.4106	350.7113	364.6456	149.7057
FLJ10213|55096	12.3213	6.3446	0.7019	1.6736	0	0
FLJ10357|55701	2430.7541	4227.9161	640.8142	2765.6904	2126.6345	1230.4321
FLJ10661|286042	11.8285	5.8565	2.1056	10.0418	0	11.2711
FLJ11235|54508	19.2213	4.3924	16.1432	22.5941	10.3235	7.5141
FLJ12825|440101	2.4643	2.4402	0	0	21.3352	2.5047
FLJ13197|79667	20.7344	10.7369	3.5094	4.1925	2.7529	4.3832
FLJ13224|79857	1.9714	0.9761	1.4038	0.8368	0	1.8785
FLJ14107|80094	0	0	0	0	0	0
FLJ16779|100192386	0	0	0	0	0	0
FLJ22536|401237	3.45	0.9761	1.4038	0.8368	4.1294	0
FLJ23867|200058	26.6141	434.8463	40.7089	48.5356	1054.3703	46.9631
FLJ25328|148231	0	0	0	0	0	0
FLJ25363|401082	0	0	0	0	0	0
FLJ25758|497049	0	0	0	0	0	0
FLJ26850|400710	1.9714	0	1.4038	0.8368	1.3765	1.2523
FLJ30679|146512	0.9857	0	1.4038	4.1841	0	0
FLJ32063|150538	0	0	0	0	0	0
FLJ33360|401172	2.4643	0.488	0.7019	0	0	9.3926
FLJ33630|644873	195.17	111.7618	192.3144	462.7615	79.1466	381.34
FLJ34503|285759	0.4929	0	0	0	0	0
FLJ35024|401491	0	0.488	3.5094	0	0	1.2523
FLJ35220|284131	232.6269	117.1303	609.9316	279.4979	320.0275	218.5348
FLJ35390|255031	29.8916	38.0771	58.9577	30.5021	10.3304	8.1403
FLJ35776|649446	179.8916	70.7662	379.7157	35.1464	116.3111	85.1597
FLJ36000|284124	0.4929	0	0	0.8368	0	0
FLJ36031|168455	742.2376	78.0869	207.7557	870.2929	280.1101	378.8353
FLJ36777|730971	3.9428	12.2011	7.0188	1.6736	9.6352	0.6262
FLJ37201|283011	7.8857	9.7609	0.7019	4.1841	0.6882	3.757
FLJ37307|283521	4.9285	17.5695	4.2113	0	0	13.7758
FLJ37453|729614	67.0281	34.163	68.0821	194.1423	78.4584	26.2993
FLJ37543|285668	0.4929	0.9761	0.7019	0	0	4.3832
FLJ39582|439931	36.2346	23.9141	91.946	52.7197	80.5231	43.1246
FLJ39609|100130417	0	0	0	0	0	0
FLJ39653|202020	41.8926	99.0727	58.9577	29.2887	33.0351	31.9349
FLJ39739|388685	1.9714	4.3924	2.8075	4.1841	0	1.2523
FLJ40292|643210	0	0.488	0.7019	0	1.3765	1.2523
FLJ40330|645784	0.9857	0.488	0	0	0	3.757
FLJ40434|163742	0	0	0	0	0	0
FLJ40504|284085	0	0.488	0	0	1.3765	0
FLJ40852|285962	4.9285	36.6032	3.5094	9.205	13.0764	4.3832
FLJ41941|100192420	2.9571	0	0	1.6736	0	0.6262
FLJ42289|388182	80.828	30.2587	120.0211	217.5732	37.1645	86.412
FLJ42393|401105	0	1.9522	2.1056	0	0	0.6262
FLJ42627|645644	31.0498	31.8009	11.23	9.205	8.947	4.3832
FLJ42709|441094	22.1784	198.6335	32.2864	8.3682	35.0998	25.047
FLJ42875|440556	3.9428	40.0195	36.4976	0	39.2292	1.2523
FLJ43390|646113	0	0	0	0	0	0
FLJ43663|378805	55.6925	26.8424	75.1009	27.6151	82.5877	43.206
FLJ43859|389761	0	0	0	0	0	0
FLJ43860|389690	0	0.488	0	0	0	0
FLJ43950|347127	0	0	0	0	0	0
FLJ44054|643365	0	0.488	0	0	0	0
FLJ44082|389762	0	0	0	0	0	0
FLJ44606|401207	67.0281	87.3597	45.622	13.3891	35.788	55.7295
FLJ44635|392490	12.3213	97.6086	15.4413	3.3473	35.0998	29.4302
FLJ45079|400624	0.9857	0	0	0	0	0
FLJ45244|400242	31.0498	37.0913	39.3051	56.9038	30.9704	21.9161
FLJ45340|402483	706.7521	352.367	160.0281	290.3766	207.8458	365.0595
FLJ45445|399844	23.1641	3.9043	5.615	2.5105	8.2588	80.7765
FLJ45983|399717	0	0	0	0.8368	4.1294	1.2523
FLJ46111|283102	1.9714	0	0	3.3473	3.4412	5.6356
FLJ46321|389763	1.9714	0	0	0	0	0
FLJ46361|375940	0	0	0	0	0	0
FLJ90757|440465	337.1119	1090.2879	366.3801	473.6402	876.8066	383.8447
FLNA|2316	11687.5308	1887.2621	1928.7594	7014.2259	7800.4129	3089.5429
FLNB|2317	8559.1868	4080.9907	1972.2688	3610.8703	3803.159	5386.3118
FLNC|2318	682.6023	22.938	1026.8468	100.4184	66.7584	32.5611
FLOT1|10211	4263.6767	7406.5398	3797.8593	4745.6067	6365.4508	5479.0232
FLOT2|2319	3747.6589	2533.919	3957.8873	5540.5858	2552.6497	2448.3406
FLRT1|23769	21.1927	18.0576	0	3.3473	58.4997	13.7758
FLRT2|23768	70.4781	25.3782	84.2253	5.0209	144.5286	64.4959
FLRT3|23767	357.8117	682.7721	73.6971	175.7322	14.4529	159.0482
FLT1|2321	545.589	1346.9985	549.5701	2913.8075	1010.3235	716.3431
FLT3LG|2323	108.4278	6.8326	138.2699	41.841	172.746	123.3563
FLT3|2322	1.9714	1.4641	6.3169	0	13.0764	9.3926
FLT4|2324	260.7196	139.5803	306.7205	263.5983	718.5134	345.0219
FLVCR1|28982	111.3849	280.6247	397.9646	179.9163	51.6173	56.9818
FLVCR2|55640	213.8985	551.4885	396.5608	874.477	255.3338	381.9662
FLYWCH1|84256	737.8019	353.3431	409.8965	597.4895	564.3496	438.948
FLYWCH2|114984	176.9345	161.0542	530.6194	124.6862	249.8279	538.5097
FMN1|342184	0.9857	4.3924	0	46.0251	0.6882	0
FMN2|56776	0	0	0	1.6736	0	0
FMNL1|752	270.0838	42.9478	70.8896	269.4561	227.1163	306.8253
FMNL2|114793	405.1257	773.06	156.5187	154.8117	267.722	68.253
FMNL3|91010	421.8137	164.9976	188.398	293.6653	599.181	348.1778
FMO1|2326	20.207	50.2684	7.0188	341.4226	27.5292	32.5611
FMO2|2327	51.2568	13.1772	48.4295	46.8619	64.6937	53.851
FMO3|2328	11179.3987	478.2821	4793.8235	3871.9665	392.98	13324.9843
FMO4|2329	885.658	173.2552	201.4388	1600	166.552	561.6781
FMO5|2330	4269.0981	4632.0156	6370.2404	3341.4226	3342.0509	3981.841
FMO6P|388714	0.4929	0.488	0	0.8368	0	0
FMO9P|116123	0	0	1.4038	0.8368	0	0
FMOD|2331	201.0843	138.6042	560.0983	151.4644	1741.2251	365.0595
FMR1NB|158521	3.45	0	0	0	0	0
FMR1|2332	1926.072	978.0381	1084.4008	1169.0377	516.1734	1095.8046
FN1|2335	279799.9014	37738.409	97072.4689	134110.4603	127671.0255	102922.9806
FN3KRP|79672	975.3573	1624.2069	743.9902	1155.6485	1927.7357	979.9624
FN3K|64122	1752.5875	1377.2572	3275.6624	5906.2762	1836.201	2021.2899
FNBP1L|54874	805.3228	939.4827	477.2767	627.6151	491.3971	414.5272
FNBP1|23048	838.344	1294.2899	787.5066	520.5021	997.9353	876.6437
FNBP4|23360	954.1646	830.6491	317.2486	424.2678	478.3207	420.1628
FNDC1|84624	119.7634	11.713	66.6784	6.6946	304.8864	26.2993
FNDC3A|22862	1675.7023	3021.9619	1735.0412	1364.0167	629.7316	1445.8359
FNDC3B|64778	1651.0596	3622.7428	1756.7994	2737.2385	2004.1294	1601.7533
FNDC4|64838	1216.8556	309.9073	742.5864	2044.3515	2823.1246	1066.3745
FNDC5|252995	113.3563	46.3641	92.6478	248.5356	67.4467	95.8046
FNDC7|163479	0.4929	0	0	0	0	0
FNDC8|54752	9.3642	1.9522	0	0	1.3765	14.402
FNIP1|96459	922.622	885.798	1243.0251	1256.0669	475.5678	643.0808
FNIP2|57600	1295.7122	259.1508	11.23	2571.5481	45.4233	251.0958
FNTA|2339	792.0158	2019.0337	334.0937	522.1757	849.2774	703.8197
FNTB|2342	417.3484	460.7321	440.1263	473.8326	349.1328	476.5686
FOLH1B|219595	17.7427	0.9761	37.9014	150.6276	0	7.5141
FOLH1|2346	223.7555	109.8097	89.8403	538.0753	166.552	87.6644
FOLR1|2348	2.9571	101.0249	16.8451	65.272	0	12.5235
FOLR2|2350	428.7827	88.3358	271.6266	1066.9456	437.7151	797.1196
FOLR3|2352	0	0.9761	0	0	0	0
FOLR4|390243	0	0	0	0	1.3765	0.6262
FOSB|2354	58.1567	23.4261	938.4102	127.1967	26.1528	26.2993
FOSL1|8061	6.9	9.2728	52.6408	35.1464	17.894	16.2805
FOSL2|2355	501.2321	142.0205	339.0068	734.728	462.4914	742.6425
FOS|2353	783.6373	836.9937	2575.1886	1327.1967	979.3531	1168.4408
FOXA1|3169	1127.1562	1290.8736	468.8542	1136.4017	99.7935	546.0238
FOXA2|3170	1346.969	2639.3363	899.1051	1322.1757	1192.7047	1008.7664
FOXA3|3171	646.1311	2408.0039	2977.3644	307.9498	4706.1253	1458.9856
FOXB1|27023	0	0	0	0	0	0
FOXB2|442425	0	0	0	0	0	0.6262
FOXC1|2296	43.3711	17.0815	58.2558	42.6778	193.393	45.0845
FOXC2|2303	4.9285	0.9761	0.7019	7.5314	3.4412	1.2523
FOXD1|2297	1.9714	0.488	0.7019	4.1841	0.6882	0.6262
FOXD2|2306	178.9059	23.9141	57.554	189.9582	47.488	31.3087
FOXD3|27022	0	0	11.23	0	0	0
FOXD4L1|200350	0.4929	2.4402	0	0	2.7529	5.0094
FOXD4L2|100036519	0.4929	0	0	0	0	0
FOXD4L3|286380	0	0.488	0	0	0.6882	0
FOXD4L5|653427	0	0	0	0	0	0
FOXD4L6|653404	0	1.4641	0	0	2.0647	3.1309
FOXD4|2298	3.9428	10.7369	2.1056	4.1841	2.7529	6.8879
FOXE1|2304	0	3.9043	22.4601	0	2.7529	0
FOXE3|2301	0	0	1.4038	0.8368	0.6882	0.6262
FOXF1|2294	27.5998	18.0576	83.5234	22.5941	141.0874	38.8228
FOXF2|2295	13.7999	10.2489	22.4601	1.6736	64.6937	10.0188
FOXG1|2290	0	0	0	0	0	3.1309
FOXH1|8928	5.0567	6.8765	18.0383	4.0418	0.8809	7.8334
FOXI1|2299	0	0	0	0	0	0
FOXI2|399823	0.4929	3.9043	0	0	5.5058	6.2617
FOXI3|344167	0	0	0	0	0	0
FOXJ1|2302	8.8714	55.1489	129.8473	6.6946	17.2058	5.0094
FOXJ2|55810	299.655	399.2191	303.2111	488.7029	338.6098	304.3206
FOXJ3|22887	836.3726	585.6515	389.542	733.8912	407.4329	361.9286
FOXK1|221937	859.0439	627.6232	258.9928	266.1088	269.7866	690.67
FOXK2|3607	1065.0567	818.448	793.8235	1224.2678	1072.9525	793.3626
FOXL1|2300	21.1927	17.5695	29.4789	10.8787	109.4288	6.8879
FOXL2|668	0.9857	0	0	0	0	0
FOXM1|2305	918.7629	470.6198	87.3346	445.4644	203.916	209.9562
FOXN1|8456	0	0.488	0	0	1.3765	0
FOXN2|3344	901.4293	1075.1586	760.1334	1012.5523	445.9738	693.8009
FOXN3|1112	2326.2691	1970.7174	1233.1988	2696.2343	1873.3655	1206.0113
FOXN4|121643	131.0991	0.9761	0	35.9833	2.7529	23.1684
FOXO1|2308	367.1759	597.3646	580.4527	357.3222	361.3214	527.2386
FOXO3B|2310	444.0611	489.5071	295.4904	194.9791	640.0551	332.4984
FOXO3|2309	1156.2346	1241.5813	576.9433	545.6067	1778.3895	887.9148
FOXO4|4303	537.7033	373.3529	188.1032	374.0586	300.7571	224.7965
FOXP1|27086	1004.4357	1623.2308	1885.9449	539.749	1452.8562	1118.3469
FOXP2|93986	0	0.9761	0	0	0	0.6262
FOXP3|50943	30.1281	20.8736	4.2323	104.2845	31.2319	108.015
FOXP4|116113	1668.8024	3741.3372	1926.6538	1953.9749	3898.1418	1887.9148
FOXQ1|94234	149.3346	403.1235	341.1125	244.3515	214.7281	3.757
FOXR1|283150	0	0	0	0	1.3765	0
FOXR2|139628	0	0	0	0	0	0
FOXRED1|55572	1253.3268	731.0883	979.1191	1260.251	1028.2175	2781.4652
FOXRED2|80020	1132.5776	433.8702	517.2837	1937.2385	212.6635	628.0526
FOXS1|2307	68.5067	54.6608	193.7182	22.5941	497.5912	36.3181
FPGS|2356	871.8581	571.4983	1605.1939	1027.6151	1698.5547	1875.3914
FPGT|8790	687.8314	228.4041	308.8261	269.3975	184.4253	421.9537
FPR1|2357	61.6067	11.225	25.2676	62.7615	19.9587	20.0376
FPR2|2358	1.4786	1.9522	0.7019	9.205	0	3.757
FPR3|2359	330.2119	56.613	145.9905	320.5021	120.4405	201.6281
FRAS1|80144	28.5855	4187.8965	30.1807	3.3473	253.9573	16.9067
FRAT1|10023	387.3829	326.5007	744.6921	513.8075	668.9608	473.3876
FRAT2|23401	761.4588	566.6179	1104.7552	765.6904	740.5368	695.0532
FREM1|158326	3.45	200.5857	3.5094	2.5105	4.1294	0
FREM2|341640	6.9	0.9761	0.7019	73.6402	2.7529	0.6262
FRG1B|284802	216.8556	125.9151	26.6713	215.0628	220.9222	258.6099
FRG1|2483	392.8043	495.8516	804.3516	380.7531	1185.1342	703.1935
FRG2B|441581	0	0	0	0.8368	0	0
FRG2C|100288801	0	0	0	0	0	0
FRG2|448831	0	0	0	4.1841	0	0
FRK|2444	270.5766	39.5315	41.4108	77.8243	81.2113	118.9731
FRMD1|79981	0.4929	13.1772	1.4038	0.8368	1.3765	0
FRMD3|257019	5.9142	3.4163	0	4.1841	0	1.8785
FRMD4A|55691	1034.347	1641.2884	182.5162	1055.3808	299.8624	304.8278
FRMD4B|23150	572.6959	600.2928	226.7064	529.7071	175.499	384.4709
FRMD5|84978	0.4929	0	0	0	0	0
FRMD6|122786	606.7028	460.2245	219.6877	580.7531	100.4818	366.3118
FRMD7|90167	3.9428	0.488	0	9.205	0	0
FRMD8|83786	849.6796	481.6984	610.6334	574.8954	794.9071	645.5855
FRMPD1|22844	116.3135	110.2977	2.1056	280.3347	24.0881	32.5611
FRMPD2L1|728798	0	0	0	0	0	0
FRMPD2|143162	0.9857	0.9761	0	4.1841	0	0
FRMPD4|9758	13.7999	0	0	0	0	0.6262
FRRS1|391059	605.2242	82.4793	47.7277	1146.4435	15.8293	111.459
FRS2|10818	479.0537	487.0669	312.3355	437.6569	250.5162	411.3964
FRS3|10817	95.1207	195.2172	141.0774	71.9665	166.552	73.8885
FRYL|285527	425.3327	525.6223	320.758	471.1297	379.9036	314.9656
FRY|10129	580.0887	571.9863	666.7836	469.4561	460.4267	592.6863
FRZB|2487	219.8127	165.9346	344.6219	46.0251	696.49	203.5066
FSCB|84075	0	0	0	0	0	0
FSCN1|6624	540.1676	325.0366	683.6287	688.7029	1916.724	673.7633
FSCN2|25794	2.9571	0.488	4.2113	4.1841	2.0647	0.6262
FSCN3|29999	0.9857	1.9766	0.7159	2.569	0.702	1.2962
FSD1L|83856	38.4426	44.4119	15.4413	25.1046	4.8176	14.402
FSD1|79187	0.9857	0	1.4038	0	2.0647	0.6262
FSD2|123722	0	0	0	0	0	0
FSHB|2488	0	0	0	0	0	0
FSHR|2492	0.4929	0	0	0	0	0
FSIP1|161835	11.8285	1.9522	2.1056	46.8619	1.3765	2.5047
FSTL1|11167	750.6161	697.9014	2344.2709	1902.9289	2183.7577	920.4759
FSTL3|10272	164.6131	286.4812	1352.518	1855.2301	748.1074	416.4058
FSTL4|23105	31.5426	0.9761	41.4108	288.7029	92.223	46.3369
FSTL5|56884	38.3489	0.488	0	282.0084	0	155.9173
FST|10468	1298.6693	100.5368	7107.9137	2215.8996	825.1893	4392.6111
FTCD|10841	1572.2031	5330.8931	7982.4531	4058.5774	8911.2182	6036.3181
FTH1|2495	87968.4574	53633.9678	158177.926	54343.9331	162973.8472	122898.5535
FTHL17|53940	0.4929	0	0	3.3473	0	0
FTHL3|2498	1366.6831	619.3265	435.1641	591.6318	1273.916	1263.6193
FTLP10|100130017	0	0	0	0	0	0
FTL|2512	374230.6555	400299.1703	724708.8963	232320.5021	486328.2863	788056.3619
FTMT|94033	0	0	0	0	0	0
FTO|79068	773.7802	423.1332	393.7533	717.1548	436.3386	506.5748
FTSJ1|24140	553.9675	534.407	527.8119	473.6402	773.5719	564.1828
FTSJ2|29960	814.687	643.2406	441.481	482.0084	802.4776	752.6612
FTSJ3|117246	1548.0532	1019.5364	896.2976	1175.7322	1411.5623	1118.3469
FTSJD1|55783	686.0522	244.9976	342.5162	615.0628	126.6345	380.7138
FTSJD2|23070	1421.8827	1148.3651	892.7882	928.0335	934.618	981.841
FUBP1|8880	1513.5535	905.8077	416.9152	590.795	333.7922	680.6512
FUBP3|8939	1076.8852	1660.3221	1049.3069	1075.3138	463.8679	1016.2805
FUCA1|2517	2676.688	1112.2499	1878.2242	3365.6904	1361.3214	1751.4089
FUCA2|2519	3120.2563	1467.0571	1873.3111	1324.6862	3313.1452	3721.3525
FUK|197258	938.8862	291.3616	708.8963	762.3431	542.3262	785.8485
FUNDC1|139341	221.7841	265.4954	191.6126	117.1548	274.6043	184.0952
FUNDC2P2|388965	43.864	10.2489	7.0188	9.205	0.6882	6.2617
FUNDC2|65991	944.2878	2592.9722	1386.91	1882.0084	1792.1542	775.8297
FURIN|5045	21260.7196	9396.7789	10570.2755	31593.3054	38203.0282	24259.8622
FUS|2521	3509.1178	4471.9375	3103.0005	2779.0795	3373.7096	4378.8353
FUT10|84750	51.7496	23.9141	18.2488	47.6987	19.9587	43.206
FUT11|170384	55.6925	91.7521	23.8638	96.2343	67.4467	21.9161
FUT1|2523	107.9349	181.0639	134.0586	138.0753	98.4171	122.1039
FUT2|2524	13.7999	18.0576	3.5094	102.9289	26.1528	11.2711
FUT3|2525	10.8428	8.2967	7.0188	30.9623	15.8293	31.9349
FUT4|2526	246.9197	320.1415	147.3943	30.9623	155.5403	74.5147
FUT5|2527	0.4929	1.4641	1.488	12.1925	5.5058	8.1403
FUT6|2528	111.8778	125.427	1101.2458	379.9163	469.3737	1751.4089
FUT7|2529	9.0685	5.8565	3.5094	5.4393	10.8259	11.8973
FUT8|2530	46.1853	105.4173	56.1502	40.1674	92.223	61.2586
FUT9|10690	0	0	0	0	0	0
FUZ|80199	79.2361	133.3138	249.3911	193.0544	84.8933	62.1039
FXC1|26515	413.5042	741.8253	1272.5039	755.6485	704.0606	639.3237
FXN|2395	238.5412	516.3494	508.1593	450.2092	197.5224	886.0363
FXR1|8087	2752.0946	2795.998	1340.5861	1332.2176	1520.9911	1469.6306
FXR2|9513	593.8788	1061.4885	703.9832	728.8703	479.0089	758.923
FXYD1|5348	155.2489	493.8995	2022.1091	1324.6862	221.6105	461.4903
FXYD2|486	68.9995	4814.0556	2264.2569	10.0418	156.9167	125.861
FXYD3|5349	3.9428	26.3543	1.4038	128.0335	12.3882	3.757
FXYD4|53828	0	0	0	0	0	0
FXYD5|53827	1748.6447	985.3587	609.9316	1287.8661	1432.2092	890.4195
FXYD6|53826	395.2686	289.4095	900.5089	132.2176	1847.9009	621.7909
FXYD7|53822	0.4929	0	2.1056	0	11.0117	1.8785
FYB|2533	259.241	59.0532	84.2253	140.5858	81.8995	147.7771
FYCO1|79443	2040.9069	832.6013	263.2041	1295.3975	766.0014	745.1472
FYN|2534	443.0754	125.427	232.3215	339.749	463.1796	707.5767
FYTTD1|84248	1381.9616	802.8306	964.3797	1018.41	423.9504	894.1766
FZD10|11211	0.4929	1.4641	24.5657	0	28.2175	4.3832
FZD1|8321	193.6915	247.4378	74.399	175.7322	321.404	107.0758
FZD2|2535	30.5569	4.8804	38.6033	18.41	81.2113	28.1778
FZD3|7976	35.4855	13.1772	25.2676	3.3473	17.894	35.6919
FZD4|8322	1127.3534	231.9571	508.2857	1087.3724	2164.7213	641.7282
FZD5|7855	1474.618	4857.4915	1373.5743	2193.3054	3249.8279	1293.0495
FZD6|8323	171.0202	24.4021	193.0163	160.6695	59.1879	274.8904
FZD7|8324	95.1207	137.1401	75.8028	23.431	123.8816	136.5059
FZD8|8325	54.2139	146.4129	172.6619	338.0753	89.4701	77.6456
FZD9|8326	1.4786	102.001	30.1807	5.8577	14.4529	2.5047
FZR1|51343	994.0858	961.4446	1160.9054	866.1088	1031.6586	1658.7351
G0S2|50486	1923.1148	664.7145	1317.4241	17697.0711	459.0502	454.6024
G2E3|55632	298.6693	299.6584	198.6313	148.1172	77.7701	153.4126
G3BP1|10146	2886.6437	2271.8399	4313.7393	1540.5858	869.9243	1374.4521
G3BP2|9908	1102.0207	2163.4944	1466.924	1871.1297	1320.7158	1284.283
G6PC2|57818	0	0	0	0.8368	0	0
G6PC3|92579	377.5259	477.306	772.7672	389.9582	1359.2567	502.1916
G6PC|2538	3388.3687	6788.1894	7981.0493	3570.7113	2414.3152	10008.1403
G6PD|2539	2399.7043	576.8668	291.2792	615.8996	488.6442	470.8829
GAA|2548	5460.3253	664.2265	4490.6124	6284.5188	5171.3696	2768.3156
GAB1|2549	260.2267	192.777	151.6055	461.0879	176.8754	145.2724
GAB2|9846	831.4441	466.5691	164.2393	991.6318	196.8341	600.5009
GAB3|139716	67.5209	18.0576	23.8638	31.7992	37.1645	50.7201
GAB4|128954	0.9857	0	0	0	0	0
GABARAPL1|23710	671.7595	447.0473	1738.5506	1367.364	1847.2127	2312.4609
GABARAPL2|11345	1464.761	1072.7184	2514.1253	1287.8661	1772.8837	1458.9856
GABARAPL3|23766	0	1.4641	0	0	0	1.2523
GABARAP|11337	4021.1927	7749.1459	7853.3076	5177.4059	5164.4873	8168.4408
GABBR1|2550	89.6994	29.7706	24.5657	10.0418	159.6696	36.3181
GABBR2|9568	46.8211	2.4402	0	5.0209	55.0585	0
GABPA|2551	674.2287	824.7731	449.2157	763.9833	408.1211	444.6462
GABPB1|2553	456.1557	465.4563	367.6785	333.9079	315.8568	333.9386
GABPB2|126626	58.6496	206.9302	120.0211	48.5356	95.6641	169.067
GABRA1|2554	0	0	0	0	0	0
GABRA2|2555	0.4929	0	0	1.6736	0	0
GABRA3|2556	12.3213	0	0	144.7699	0	22.5423
GABRA4|2557	0.4929	0	0	0	0	0
GABRA5|2558	0	0.488	1.4038	0	0.6882	0
GABRA6|2559	0	0	0	0	0	0
GABRB1|2560	0.4929	0	0	0	0	0
GABRB2|2561	2.4643	3.4163	3.5094	19.2469	2.0647	1.8785
GABRB3|2562	125.1848	87.3597	1.4038	0	1867.1714	3.757
GABRD|2563	102.0207	97.6086	276.5397	46.8619	618.7199	244.2079
GABRE|2564	616.067	610.5417	101.7722	185.7741	557.4673	159.6744
GABRG1|2565	1.9714	0	1.4038	0	2.0647	2.5047
GABRG2|2566	0.4929	0	0	15.0628	0	33.1872
GABRG3|2567	0	1.4641	0	0	0	0.6262
GABRP|2568	103.0064	0.488	6.3169	0	10.3235	18.7852
GABRQ|55879	2.4643	1.4641	0	4.1841	0	0
GABRR1|2569	0	0.488	0	1.6736	2.0647	1.8785
GABRR2|2570	0.9857	0	0	0	0	0
GABRR3|200959	2.9571	0	1.4038	1.6736	0	5.0094
GAD1|2571	0.4929	0.488	3.5094	0.8368	4.1294	0
GAD2|2572	0	0	0	0	0	0
