TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
CLEC4F|165530	10.5949	3.2303	0.2813	0.8775	0.8917	2.2245	0.998	5.415	151.0815	0.416	0	1.9624	0.3187	6.7873	0.5436	2.4462	11.7656	16.9881	2.6705	1.4472
CLEC4GP1|440508	3.26	0.4615	0	0	0	0.3178	0.6653	0	0	4.5762	0	0	0	0	2.7178	4.8925	3.0962	0.9183	0.4451	4.3415
CLEC4G|339390	5.705	0.4615	0.5626	1.3162	0	0.3178	1.3307	2.0827	0	4.5762	0	0.5607	0	0.3232	0	2.7957	10.2175	2.7548	0.8902	0
CLEC4M|10332	0.815	0	0	0.4387	0	0.3178	0	0	0	2.4961	0	0.841	0.3187	0.6464	0	0.3495	0.9289	0	0	0
CLEC5A|23601	51.3447	519.1509	239.9566	28.5172	85.1538	354.6516	111.4438	55.3994	223.6273	45.7618	66.0264	121.9512	85.086	16.1603	64.6827	224.7052	22.912	29.8439	170.4685	10.1302
CLEC6A|93978	0.815	0	0.8439	5.2647	0	1.9067	0.3327	0	0.6656	0	1.8007	0	1.2747	0	0.5436	0	0	0	0	0
CLEC7A|64581	397.718	50.7614	326.0371	254.4616	158.2702	156.6696	210.9115	52.9001	129.4509	66.5627	12831.9328	112.9801	95.2836	14.5443	2006.7944	130.35	130.6603	265.3811	108.1562	379.8842
CLEC9A|283420	13.8549	1.3844	0.2813	2.1936	0.8917	0.3178	0.3327	2.0827	0	0	1.2005	6.7283	0.3187	2.9089	0.5436	0.3495	11.1464	10.101	37.3873	1.4472
CLECL1|160365	7.335	12.9211	2.2505	18.8653	8.025	0.9534	9.3147	8.7473	1.9967	0.832	2.401	2.2428	5.7361	0	11.4146	1.7473	10.2175	25.7117	4.0058	0.7236
CLGN|1047	1050.5297	68.2972	64.1384	1433.3206	9.8083	943.1954	124.7505	1298.3443	230.9484	165.9906	42.617	67.2834	525.8126	1235.2941	94.0345	271.8828	98.7693	40.8632	164.2372	421.8524
CLIC1|1192	6260.7987	6439.317	7031.5994	8624.4926	13096.7454	4986.0968	9444.7771	4758.513	3742.4293	15806.5523	6213.0852	6352.9577	5724.9841	7873.9496	6935.1814	8301.5103	4552.984	8928.8338	6411.4833	16201.8813
CLIC2|1193	414.0179	75.6807	180.3191	296.1406	196.1658	116.6283	131.7365	162.4492	146.7554	61.1544	810.3241	243.0614	162.8426	78.2159	254.3824	118.1187	570.942	410.9275	123.2892	74.5297
CLIC3|9022	24.4499	29.0725	29.5374	51.331	485.5105	90.5696	20.9581	29.5741	22.9617	190.1196	1.8007	17.1012	8.6042	172.5921	190.2432	91.909	9.9079	481.6345	13.3526	15.1954
CLIC4|25932	2058.6797	2766.036	4359.1641	6129.0142	6366.4735	5058.2347	4762.475	5623.2427	5582.3627	1939.0536	7552.2209	6332.4923	2660.9305	1894.6348	3686.914	4456.3612	9077.4828	5103.7649	796.2613	985.5282
CLIC5|53405	106.7645	32.7642	28.1309	240.4223	58.8498	46.7149	30.6055	100.8018	70.5491	12.4805	35.4142	191.1971	73.2951	27.7957	19.5679	138.7371	416.4409	133.1497	40.948	5.7887
CLIC6|54102	104.3195	4634.9792	70.6086	120.2112	13.3749	75.3158	692.6148	2940.3311	693.178	19.1368	8609.2437	72.3297	36.9662	18.4228	8.1533	42.6346	988.3118	128.0992	3350.6176	5.7887
CLINT1|9685	1127.9544	1208.5833	1425.9553	2536.7187	1688.8096	2364.9797	1805.0566	2381.7557	1633.9434	566.1986	2088.2353	2012.0549	1877.6291	902.3917	5445.8486	1907.0234	1926.7745	1537.1901	1148.7704	1007.9595
CLIP1|6249	1048.0848	2314.7208	1188.5305	1546.9509	1430.2274	3128.9426	1413.839	2359.2627	2058.9018	523.765	1632.6531	2697.5049	2549.3945	1175.1778	3295.0129	2186.2449	2845.7311	1213.4986	2236.1188	641.0999
CLIP2|7461	683.7816	323.4887	575.2769	316.7608	376.2818	544.689	358.6161	408.2058	209.3178	460.1144	1137.455	518.9235	209.6877	1072.075	179.3722	661.8843	687.6693	546.3728	504.284	787.2648
CLIP3|25999	353.7082	366.8666	360.3568	300.0892	225.1449	315.5637	285.7618	286.5771	261.2313	189.2876	875.1501	553.4062	154.8757	542.34	921.8644	467.5824	742.1627	413.6823	185.1563	75.2533
CLIP4|79745	212.7139	67.3743	277.3707	147.851	296.9238	70.2312	91.151	337.8111	885.8569	38.6895	725.09	106.2518	121.7336	21.978	1686.6422	161.4522	563.5111	419.6511	12.9075	14.4718
CLK1|1195	1851.6707	409.7831	1014.4002	1309.5997	838.1632	672.4398	892.2156	1760.6998	1367.3877	886.5315	1273.7095	1112.1391	1474.1874	607.9509	721.2937	889.3851	1501.045	2443.067	1158.1173	662.0839
CLK2P|1197	13.0399	11.0752	12.6589	13.1618	22.2916	11.4404	11.3107	3.7488	12.3128	10.4004	18.0072	15.1388	26.7686	18.746	13.5888	29.355	9.5983	16.0698	12.9075	11.5774
CLK2|1196	897.3105	706.0452	975.0169	787.5147	1500.2229	715.0234	569.1949	703.9467	1082.5291	605.7202	743.0972	806.2798	1397.3869	965.7401	376.6816	1448.8765	513.0428	831.4968	778.0127	988.4226
CLK3|1198	822.3309	479.0032	677.9547	531.2982	2252.7864	638.4365	882.9009	641.4662	631.614	853.6661	522.8091	793.6641	1040.7903	604.7188	921.3208	539.2225	688.2886	876.4922	1440.3027	985.5282
CLK4|57396	397.718	170.2815	483.2888	415.0356	220.2407	120.1239	304.3912	638.5505	341.4309	237.5455	151.2605	271.9372	384.6399	113.1222	448.4305	251.9633	458.2398	683.6547	329.3646	134.5876
CLLU1OS|574016	0	0	3.3757	1.3162	1.3375	0	0	0	1.9967	0	0	0	0.3187	0	0	0	1.5481	1.3774	0	20.2605
CLLU1|574028	0	0	1.6879	0.4387	2.2292	0.9534	0.6653	0	0	0.416	7.2029	1.6821	3.5054	0	2.1742	0	1.8577	0	2.6705	2.1708
CLMN|79789	2304.8085	1483.1564	470.9112	588.7714	1222.0241	895.8449	806.3872	1410.3926	3539.1015	458.4503	346.9388	1758.901	2989.1651	1832.5792	556.5974	1638.6353	1532.0071	1700.1837	955.6025	528.22
CLN3|1201	1610.4319	2013.844	3185.2617	3500.6016	3852.8756	2639.4407	1905.1896	887.6393	2122	3335.2054	598.4394	1763.1063	1246.0166	3105.0065	873.4882	1517.3714	985.8348	2938.3333	1056.9089	5354.8336
CLN5|1203	806.846	629.4416	422.8074	426.4425	375.3901	563.7563	795.4092	479.4335	643.594	723.0369	500.6002	894.5893	628.1071	245.9599	976.2196	605.9701	707.4851	587.6951	757.9838	808.9725
CLN6|54982	910.3504	829.257	1285.8634	680.9041	1509.1395	890.4425	792.4152	546.4959	1044.9251	2396.6719	674.0696	722.7362	608.6679	1403.0381	1239.2988	635.6745	606.2389	1050.0459	1280.5163	919.6816
CLN8|2055	467.8077	242.7319	326.3184	274.643	339.7236	179.8681	329.0086	439.0295	309.4842	671.0348	537.2149	284.8332	393.8815	384.9386	450.6047	204.4363	398.4829	255.7392	203.85	104.9204
CLNK|116449	0.815	0	0.5626	1.3162	0	0.6356	0.3327	0.4165	0.3328	0	0	0.2803	0	0	1.0871	0	0.6192	0	0.4451	1.4472
CLNS1A|1207	1705.7865	2790.0323	2229.655	2386.2354	1294.2488	1142.7663	1118.7625	1722.795	1429.9501	2247.7379	2638.0552	896.2714	4089.2288	1921.7841	3865.1991	1787.5068	1053.0227	1555.5556	1016.1344	1772.0695
CLOCK|9575	101.0595	100.5999	204.5116	265.8685	244.3156	773.4965	310.0466	953.8686	949.4176	18.3047	153.0612	707.5974	533.1421	160.3103	697.3774	453.9534	769.0998	92.7456	149.1043	177.2793
CLP1|10978	337.4083	286.5713	230.9547	234.2801	218.0116	258.044	499.6673	349.8907	272.8785	287.4675	566.0264	206.0555	237.0937	314.4796	795.7603	252.6623	221.689	346.6483	150.8846	408.1042
CLPB|81570	242.8688	278.2649	337.8521	342.2069	226.0366	337.4911	241.1843	344.0591	345.7571	495.0598	370.3481	194.8416	371.8929	348.0931	1309.417	595.8356	303.7387	165.2893	182.9309	261.9392
CLPP|8192	865.5257	1120.9045	1148.5846	923.9588	813.6424	761.7383	685.9614	399.875	646.589	4147.6859	669.2677	908.887	560.5481	1014.5443	599.538	754.1427	391.3616	1118.9164	542.1164	1138.9291
CLPS|1208	1.63	0	0	0	6.6875	0	3.992	0	0.9983	0	0	0	1.912	0.3232	3.2613	0	0	0	0	1.4472
CLPTM1L|81037	2077.4246	2261.6521	3751.818	3522.5379	1583.5934	3576.0705	2408.1836	2050.1926	1469.218	3652.6261	3348.1393	1694.4211	2415.5513	1760.181	4883.2722	2547.9399	1612.1991	2857.6676	4702.3478	3829.233
CLPTM1|1209	2145.0693	3724.9654	3287.6581	4170.9762	6569.3268	4068.0067	4318.0306	3733.0001	2491.8469	3408.0083	2531.2125	3454.1632	3405.0351	3580.8016	2475.3363	2871.1938	2421.8593	2783.2874	2781.3508	3157.0188
CLPX|10845	533.8223	513.6133	595.5311	413.7194	492.1979	688.0114	936.1277	843.0699	952.4126	289.5476	480.1921	915.8957	675.9082	340.6593	887.6206	411.3188	1055.4997	645.0872	968.5101	272.0695
CLRN1OS|116933	0.815	1.8459	0.2813	6.1422	0	0.6356	0	0	0.9983	0	0.6002	0	0.3187	5.1713	0	0	0	0	37.3873	0
CLRN1|7401	0	0	0	0	0	0	0	0	0.6656	0	0	0	0.3187	0.3232	0	0	0	0.4591	0.4451	0
CLRN2|645104	0	0	0.2813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLRN3|119467	2.445	7.3835	0	0	0	0.6356	0	0.4165	2.995	0.832	0	0.5607	1.2747	4.8481	2.7178	1.7473	1.2385	4.1322	1.7803	0
CLSPN|63967	11.4099	11.5367	174.4116	261.9199	34.7749	459.8395	133.7325	112.8814	58.9018	81.1232	551.0204	127.2778	135.1179	64.6412	491.9147	84.5702	47.0625	58.3104	15.133	48.4805
CLSTN1|22883	4873.6756	4592.515	4833.451	6048.7272	6228.2523	9787.5586	7846.9727	4530.251	5671.5474	5555.8981	14897.9592	6876.647	4214.4678	4881.0601	3555.3744	6756.1818	6305.7512	4786.9605	12093.9134	9206.2229
CLSTN2|64084	753.8712	4346.1006	60.2001	1012.5816	193.9367	2522.9205	518.6294	4778.5067	492.5125	2351.7421	4.8019	9191.7578	1415.5513	2363.9302	4.3484	333.0389	1389.5812	110.652	47.6243	20.9841
CLSTN3|9746	2362.6732	2227.9649	1188.5305	1410.5069	812.3049	1242.5518	1804.3912	1003.853	874.5424	896.0998	2091.8367	2306.1396	986.9344	2229.7996	16706.6177	4366.1995	2031.7362	1465.1056	1793.2569	2408.1042
CLTA|1211	3370.0081	3368.251	2367.7777	2852.1633	6563.531	2182.8871	2482.3686	1554.0977	1992.6789	3206.6563	1146.4586	1881.9736	1702.9955	3092.437	3742.8999	2242.5086	1689.9141	3903.1221	3117.8369	3765.5572
CLTB|1212	1423.7979	1414.8593	2602.9521	1569.326	1829.6924	829.1094	1403.8589	778.9233	721.797	3097.2439	912.9652	885.6182	1244.4232	1011.6354	2451.9636	1111.9935	731.9452	1974.7475	2256.1478	1172.2142
CLTCL1|8218	66.0147	43.3779	63.8571	43.8727	32.9915	27.9654	311.7099	27.9079	67.8869	34.1134	10.8043	66.162	14.3403	9.0498	40.2229	68.8443	103.7232	28.4665	13.3526	32.5615
CLTC|1213	8514.2624	10952.4689	13740.2562	19772.9808	9437.8065	26362.7552	75893.5462	17804.4361	14505.4908	48950.182	8400.9604	48415.1948	22423.1995	10017.4531	24921.8644	17656.3042	38132.6728	6705.2342	10342.4947	6111.4327
CLUAP1|23059	492.1516	896.1698	616.0695	434.2782	587.6059	563.3844	437.4584	540.4269	677.8702	823.7129	604.4418	336.9779	384.6399	878.4745	545.3241	434.3834	426.6584	435.6933	494.492	262.6628
CLUL1|27098	86.3896	108.9063	3.3757	13.1618	294.6946	53.0706	11.6434	60.3978	190.6822	6.6563	181.2725	1.9624	16.8897	348.0931	22.2856	87.7154	49.5394	88.1543	25.8151	2.8944
CLU|1191	7533.0073	65555.1454	8752.0852	3994.608	101008.4708	14731.7073	25688.2901	6696.2408	16263.228	68415.1846	7941.1765	17831.5111	31066.2843	6680.0259	114956.3799	3745.9014	11181.98	20015.1515	25951.708	11303.1838
CLVS1|157807	1.6463	2.3719	1.0183	0	13.0272	1.4872	41.3972	2.141	0.5025	7.039	3.8535	2.9885	3.2091	2.0847	2.0927	1.8277	5.3503	4.1598	17.5542	1.3459
CLVS2|134829	0	0	0	0.4387	0	0.3178	0	0.8331	0.9983	0	0	0.2803	0	0	0.5436	0	0	0	0	0
CLYBL|171425	51.3447	28.611	63.2945	28.956	35.2207	37.8168	60.2129	28.3245	156.0732	59.4904	81.0324	37.5666	36.6475	63.0252	234.271	52.0701	52.0164	129.0174	114.3874	121.563
CMA1|1215	1.63	0	3.657	2.1936	0.4458	0	0	6.6646	0	5.8242	0	9.5318	2.8681	0.6464	0	0	63.4724	28.4665	0	0
CMAH|8418	132.8443	37.8403	234.6117	390.9056	125.7245	389.2905	154.0253	77.8923	927.787	51.5861	186.0744	312.3073	91.4595	36.8455	38.5922	193.2534	366.5918	673.0946	57.4163	44.1389
CMAS|55907	731.0513	892.0166	904.971	690.1173	1329.9153	872.3286	1239.8536	935.9575	614.6423	709.3084	1617.6471	488.6459	686.7431	693.6005	2763.9625	702.422	665.9958	893.9394	1268.4989	726.4834
CMBL|134147	1562.3472	1473.9271	756.1586	2881.1193	138.6536	2694.2083	3260.479	3020.7227	1870.5491	1751.014	1316.3265	2175.2173	5790.3123	1555.5915	1398.5596	1833.2866	983.0482	630.3949	2143.5407	2287.2648
CMC1|152100	167.0742	242.2704	243.6136	142.5862	122.6037	161.7542	333.666	159.1169	136.4393	284.9714	90.036	57.7516	146.9089	136.393	246.2291	117.0703	86.0748	202.0202	277.7345	311.8669
CMIP|80790	906.2755	1164.2824	1529.1957	1253.0039	952.296	3748.6295	749.501	815.995	987.0216	302.0281	2523.4094	1974.208	864.8821	1031.0278	974.0454	982.3425	1870.4234	928.8338	3972.4046	1103.4732
CMKLR1|1240	617.7669	225.1961	566.5563	781.3725	149.3535	583.1413	408.849	151.2027	255.574	577.8471	219.0876	915.335	249.8407	106.0116	350.0476	236.9364	332.5335	285.5831	269.2778	165.7019
CMPK1|51727	2480.0326	2509.9216	2459.7658	3604.5799	6547.9269	2193.3741	2266.4671	4122.0452	3262.8952	2915.8606	4672.2689	2788.3375	2575.2071	2287.9767	9229.5149	3341.5719	3641.4583	3969.697	1498.164	4225.7598
CMPK2|129607	254.2787	204.8916	782.6016	347.0329	236.7365	123.6196	788.0905	97.8861	81.5308	54.9142	40.8163	151.1074	111.536	73.3678	1515.4233	272.2322	274.3246	1301.1938	273.7287	1065.123
CMTM1|113540	107.5795	51.6844	78.7665	135.1279	61.0789	275.2046	128.4098	185.3587	89.5175	54.9142	138.0552	247.547	156.4691	49.4505	99.47	71.9895	167.8148	78.5124	53.8556	66.5702
CMTM2|146225	4.89	0.4615	0.2813	0.8775	1.7833	4.449	1.6633	4.9984	0.3328	6.2402	1.8007	3.3642	4.7801	0.3232	0	4.1936	2.477	4.1322	3.1156	5.0651
CMTM3|123920	2885.9006	2707.8911	1573.0799	1166.5747	847.0798	1147.2154	1488.3566	1445.7982	1025.2912	1763.4945	1203.4814	2141.2952	521.3512	622.8184	451.6918	1540.0865	1673.8138	1492.6538	563.9257	240.2315
CMTM4|146223	1211.8989	647.9003	938.7281	848.059	1372.7151	1718.9163	1434.7971	1938.5609	2824.2928	1017.1607	1650.06	1340.0617	5163.1612	977.3756	1797.5268	1895.4911	1493.3044	903.1221	847.0012	1535.4559
CMTM5|116173	1.63	0	0.2813	0	0.4458	0	0	0.4165	0	0	2.401	0	0.6373	0.3232	0	0	16.7196	17.9063	0.4451	0.7236
CMTM6|54918	1664.2217	5404.2455	1967.4751	2475.2969	1841.7298	3050.4489	2680.3061	4342.8095	2969.3844	1198.1279	3729.2917	2801.7942	2030.2741	2452.4887	2803.0982	2128.234	2920.3499	2125.8035	1583.6208	886.3965
CMTM7|112616	415.6479	1240.886	295.0931	345.7168	2246.099	140.4624	176.9794	401.9577	119.8003	173.4789	965.7863	138.4917	130.6565	285.7143	483.2178	318.3614	375.8805	672.6354	195.8384	98.4081
CMTM8|152189	204.564	491.9243	160.3461	70.1963	225.1449	237.3878	782.7678	366.1356	102.8286	246.2819	151.8607	137.931	37.6036	413.0575	242.4242	319.4098	126.0159	148.7603	778.4578	295.9479
CMYA5|202333	215.9739	203.9686	305.7829	196.5496	215.7824	470.9621	172.6547	1013.8498	238.2696	208.0083	39.0156	1633.3053	409.4965	395.2812	213.616	167.0437	1485.8735	527.5482	110.3817	38.3502
CN5H6.4|150384	10.5949	7.3835	15.7533	19.304	15.6041	7.6269	15.9681	2.0827	15.3078	5.8242	7.8031	13.737	16.2524	43.3096	11.4146	6.2903	15.4811	5.9688	4.4509	3.6179
CNBD1|168975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4591	0	0
CNBP|7555	5588.4271	7541.7628	6985.4648	5955.2784	10892.5546	6824.1837	6190.9514	5374.987	8644.2596	8018.7207	8362.545	6501.2616	4803.3779	5069.8125	6878.652	5281.7944	6917.5633	7691.4601	8804.2728	5666.4255
CNDP1|84735	0.815	3.2303	1.9692	0.8775	0	0.6356	0.998	0	0.6656	0.416	0	0	1.5934	0.9696	12.5017	0.6989	1.8577	2.7548	0.4451	4.3415
CNDP2|55748	7238.7938	5207.6604	5978.9412	5065.1016	6105.2162	2765.7107	4914.5043	3178.1735	6572.0466	3234.5294	2070.8283	2486.6835	2798.5978	7401.4221	11649.4089	4462.302	2676.9874	4770.8907	4279.9599	6136.0347
CNFN|84518	55.4197	91.832	69.202	121.0886	168.9701	55.2951	58.5496	47.0686	39.6007	388.9756	27.611	34.7631	57.9987	159.3407	36.9615	93.6563	41.7989	253.9027	5.7861	63.6758
CNGA1|1259	3.26	1.3844	1.6879	1.3162	178.3326	0.3178	2.3287	3.7488	25.624	0.416	12.0048	3.3642	4.4614	0.9696	11.9581	1.7473	42.7278	78.9715	3.5607	5.7887
CNGA2|1260	0	0	4.2196	0.4387	4.9041	0	1.6633	0	2.3295	0	0	0	0.6373	0	89.6861	0.3495	5.8828	52.8007	0	7.9595
CNGA3|1261	14.6699	69.2201	17.4412	1.3162	0	4.1312	16.9661	1.6661	215.9734	2.0801	0.6002	8.4104	14.9777	0	2.1742	5.5914	16.4099	1.8365	1.3353	0
CNGA4|1262	6.52	18.4587	9.8458	0.8775	24.5207	2.2245	1.6633	6.6646	1.9967	0	2.401	2.5231	0.3187	25.5333	4.892	2.4462	1.5481	2.2957	4.896	1.4472
CNGB1|1258	0	0	1.1252	0.4387	5.35	0	0	1.2496	0	0	1.2005	0.2803	0.3187	0	4.3484	0	1.2385	1.8365	0	3.6179
CNGB3|54714	0	0	0	0	0	1.2712	28.9421	0	1.6639	0.416	0	0.2803	3.8241	0	0	0	0.6192	0	0	0
CNIH2|254263	26.8949	40.6091	62.7319	115.3852	52.6081	17.1606	73.8523	36.6552	29.6173	364.0146	108.6435	70.0869	63.4162	189.0756	20.655	196.0491	28.4852	37.6492	23.1445	232.2721
CNIH3|149111	319.4784	44.7623	137.5601	26.7623	42.354	214.507	91.4837	134.5413	175.0416	185.9594	19.8079	68.4048	58.6361	34.2599	9.7839	78.9788	299.7136	88.1543	37.8324	73.0825
CNIH4|29097	1074.9796	1055.8376	1829.071	1786.9345	1116.8078	1183.4432	1155.356	881.3912	1427.2879	1006.3443	2357.1429	768.1525	1472.2753	3053.6522	1138.7417	685.2983	512.4236	1213.0395	434.8503	2669.3198
CNIH|10175	1025.2649	1190.1246	820.5783	1403.0485	897.9046	897.4339	1972.0559	983.4427	1378.3694	1253.0421	714.2857	955.4247	1887.1893	909.1791	1195.8146	1311.8867	885.2078	1342.9752	729.9433	1333.5745
CNKSR1|10256	757.1312	511.306	630.6947	501.9035	1594.7392	522.7616	343.646	536.0825	784.6922	871.5549	467.587	557.0507	647.5462	514.8675	359.8315	621.6959	364.7341	551.8825	811.3942	596.9609
CNKSR2|22866	0.815	0.9229	1.1252	0.8775	5.7958	2.8601	0.998	2.4992	2.3295	0	111.6447	14.5781	1.2747	0	40.2229	0.3495	14.8618	4.1322	0	0
CNKSR3|154043	324.3684	86.2944	46.9786	213.66	196.1658	64.511	20.9581	72.8939	684.5258	20.3848	150.06	40.9308	28.6807	151.5837	355.4831	227.1514	273.0862	247.0156	76.1099	42.6918
CNN1|1264	303.9935	91.3706	476.2561	112.3141	389.2109	121.3951	219.5609	669.7907	178.7022	456.7863	226.8908	358.5646	158.0625	92.1138	9.2404	351.5605	1191.7331	1678.1451	152.2199	34.0087
CNN2|1265	4582.7221	3757.7296	4794.6304	3037.7448	6698.1721	3377.1351	3035.5955	2522.9616	2405.6572	3763.2865	5795.3181	3540.7906	3118.5468	1811.894	363.0928	2513.343	4016.1003	5256.6575	832.7584	3358.1766
CNN3|1266	4313.7734	3131.0568	5288.0463	3691.4478	5708.4262	2171.1289	4678.31	3079.0378	2418.3028	1510.9724	6827.7311	5882.5343	4886.2333	870.3943	2260.0897	4629.3457	6732.1	4193.7557	1350.8401	2825.6151
CNNM1|26507	6.52	3.2303	2.5318	2.6324	29.8707	0.9534	13.9721	8.7473	1.6639	8.7363	16.2065	1.9624	2.2307	0.9696	156.543	10.4839	33.7487	80.8081	0.4451	4.3415
CNNM2|54805	112.4694	89.9862	84.9553	97.3974	144.0036	479.2246	93.4797	144.9547	234.9418	86.1154	191.4766	325.2033	180.051	298.9657	139.1493	386.1574	175.2458	123.9669	120.1736	167.1491
CNNM3|26505	684.5966	871.712	650.3864	793.2182	534.1061	1243.823	1017.6314	1120.4832	1147.0882	1053.3541	858.9436	1475.1892	1335.5641	1217.1946	599.538	1043.8481	1349.0208	654.27	1359.7418	335.7453
CNNM4|26504	724.5314	785.8791	1427.3618	660.2839	348.6402	1309.6051	1506.6534	1156.3053	1166.7221	975.975	1521.0084	2983.7398	3506.3735	762.7666	1055.0347	1265.4081	1539.438	555.0964	361.4109	532.5615
CNOT10|25904	809.291	864.3286	881.0597	411.5258	575.5684	698.8162	811.7099	681.4537	740.7654	576.183	652.461	351.5559	522.3072	521.3316	1379.5353	461.991	467.8381	613.4068	931.5678	746.7438
CNOT1|23019	2251.5729	2260.2123	4645.7954	5137.2063	2169.3	7374.2306	3535.4491	3900.8435	4198.7221	2565.429	5106.9448	5352.9745	7693.5086	2812.0136	6282.7667	3217.1629	5251.3167	2661.9651	4381.1238	2571.0637
CNOT2|4848	1347.1883	1845.8699	1027.3404	1873.8024	1108.337	1290.8556	1644.3779	1921.4829	1337.1048	969.3188	1279.1116	1476.3106	1372.5303	1167.4208	983.2858	1554.764	1569.1617	1005.0505	1418.0483	675.1085
CNOT3|4849	1390.383	1081.6797	864.4625	1118.7535	1939.3669	1202.1927	1052.5615	1300.4269	985.3577	960.9984	1265.9064	1312.0269	1433.0784	1167.4208	750.1019	1396.1075	812.4468	942.1488	1252.4758	869.754
CNOT4|4850	484.1076	550.5307	412.1177	738.816	503.3437	515.7702	604.4578	618.5567	536.1065	291.2116	521.6086	552.8455	483.1103	479.638	1259.9538	551.4537	625.745	440.3122	786.0243	526.0492
CNOT6L|246175	786.4711	614.2132	717.6192	1135.8638	602.7642	1485.342	1262.1424	1856.0866	2098.1697	627.7691	689.0756	1394.4491	1331.4213	667.0976	893.5997	1053.6331	1762.0559	780.5326	521.6424	580.3184
CNOT6|57472	1034.2298	1113.521	1926.1226	1161.31	559.9643	1545.404	1218.5629	2035.6139	1635.9401	602.3921	1112.8451	1215.0266	1636.3926	752.1008	2427.5037	1671.4849	1257.6825	1398.9899	741.5155	832.8509
CNOT7|29883	1453.1377	1753.1149	975.8609	2279.186	2925.1003	682.2913	1440.1198	2363.8446	1048.9185	2079.6672	2989.1957	976.7311	1522.9446	2303.1674	3329.2567	1257.0209	1485.5639	1346.6483	1557.8057	476.1216
CNOT8|9337	1206.194	1321.6428	1257.7325	1520.1886	967.0085	2021.4507	1077.5116	1780.277	1502.1631	1185.6474	1301.3205	1508.2703	1386.5519	1514.2211	2126.3759	1695.9474	1319.9164	1392.562	1194.1694	991.3169
CNO|55330	330.8883	235.3484	243.3323	316.3221	433.3482	223.4051	409.847	492.7627	398.6689	679.3552	123.0492	247.547	256.2141	315.4493	179.9157	300.1893	243.0529	362.7181	337.3762	413.8929
CNPY1|285888	0	0	0	0.4387	0	0	0	0	0.3328	0	0	0	0	0	4.3484	0	0	0	0	0
CNPY2|10330	1618.5819	1762.3443	1353.0962	2212.0608	2339.2778	1802.8124	1825.0166	1150.0573	1202.3295	2648.778	1084.6339	1296.3274	1189.2925	2301.2282	891.969	1922.0504	967.2575	1751.1478	1997.552	1604.1968
CNPY3|10695	2060.3097	1458.2372	1401.7627	1817.6454	1533.2144	1108.1274	1264.1384	756.4303	1107.8203	2601.3521	896.7587	1316.5125	1100.0637	2033.6134	1001.7665	1784.7111	934.4376	1453.168	3087.5709	1287.2648
CNPY4|245812	604.727	560.2215	427.5897	382.0828	498.4396	345.3373	421.4904	344.0591	244.2596	400.624	308.5234	413.2324	197.8967	778.927	200.0272	604.2227	502.8253	364.5546	525.6482	396.5268
CNP|1267	3232.3309	2283.3041	3251.9403	1469.3006	2530.4637	2795.7925	2185.0466	1760.5832	1089.7438	2927.9875	4857.8872	1811.3541	1500.1976	2356.6484	6781.3942	1590.2031	1903.4074	4107.8466	2615.4712	3087.7931
CNR1|1268	16.2999	2.3073	3.3757	25.4462	3.5667	2.5423	61.2109	15.4119	19.3012	490.4836	1.8007	32.5203	26.7686	31.9974	7.0662	0	114.2503	25.7117	676.5328	0
CNR2|1269	11.4099	0	1.1252	7.8971	0	1.2712	0.998	0.4165	2.3295	0	0	0.2803	0.956	0	0.5436	0	1.5481	3.214	0.8902	0.7236
CNRIP1|25927	292.5835	179.5108	177.506	157.5029	112.3495	109.9547	154.6906	152.8689	136.1065	158.9184	101.4406	316.7928	63.7349	70.459	17.3937	161.8017	459.1687	283.7466	145.0985	37.6266
CNST|163882	770.1711	878.6341	949.6991	654.5805	177.8868	1260.6658	851.9627	985.9419	1354.4093	629.0172	528.8115	1541.0709	1816.7623	1077.8927	626.7156	1046.6438	932.5799	500.9183	818.9607	884.9493
CNTD1|124817	63.6023	193.5579	77.7172	39.8759	14.9309	97.9932	47.2688	52.6419	58.9384	140.884	21.8547	24.7267	44.9108	64.108	12.7191	17.931	46.2079	48.0762	119.6795	16.4038
CNTD2|79935	131.2143	209.9677	92.5507	375.1115	49.0415	447.7636	78.5096	150.3697	32.2795	834.5294	118.2473	268.2927	17.2084	84.0336	89.6861	53.1185	13.933	27.0891	738.845	327.7858
