TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
A2M|2	15406.6259	3978.2187	11888.9477	10045.5201	13834.9889	12277.7183	7189.2149	12080.3291	8226.1231	7551.0764	9939.3157	14806.5097	6598.7317	3997.6988	1828.9224	8938.2122	32207.1027	28597.2911	10545.3611	3530.3763
A4GALT|53947	263.2437	270.4199	380.8924	200.0594	168.0785	248.5104	173.32	255.7534	199.6672	2772.7509	96.6387	296.8881	100.3824	510.3426	428.8626	395.5929	278.6593	468.7787	140.6476	62.9522
A4GNT|51146	0.815	0.9229	0.8439	0	0	0.3178	0.998	0	0.3328	0.416	0	1.1214	1.2747	1.2928	0.5436	0.3495	1.2385	0.4591	1.7803	0
AAA1|404744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7803	0
AAAS|8086	791.361	1030.4569	777.2567	1058.6479	619.2599	889.8069	658.35	696.0325	593.3444	875.715	640.4562	639.7533	810.3888	937.6212	374.5074	742.6104	452.357	615.2433	1259.1521	505.0651
AACSL|729522	0	0.4615	0	0	0	23.8341	0	0.8331	0	1.248	10.8043	0.2803	102.6131	0.3232	11.4146	0.6989	0	0.4591	0.4451	0
AACS|65985	934.8003	1266.2667	1080.2265	696.2595	1185.0201	1188.5278	1758.8157	999.2711	1041.9301	1065.4186	2193.8776	942.2484	732.6322	1366.839	1429.5421	871.9119	701.6023	1033.517	1610.7711	2227.9305
AADACL2|344752	0	0	0	0	0.4458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3|126767	0	0	0	0.4387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4|343066	0	0	0	0.4387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC|13	0	0	0	1.7549	12.0374	0.9534	0	2.0827	0	0	1.2005	2.8035	0	2.9089	0	0	13.6233	2.7548	0	65.123
AADAT|51166	32.5998	20.3046	40.2272	18.8653	24.5207	26.0586	100.7984	48.7348	36.2729	19.1368	261.1044	115.2229	11.1536	4.2017	64.1391	14.6775	146.7606	89.5317	89.4626	10.1302
AAGAB|79719	2127.9544	1834.7946	2164.11	920.4489	1327.2403	2429.4907	2502.994	2222.6388	1573.3777	2600.936	625.4502	1700.8691	1984.0663	1311.5708	1796.9833	1153.5797	1822.1225	1362.7181	3390.6754	1267.0043
