TCGA-2Z-A9J7-01A-11R-A38C-07	TCGA-A4-A57E-01A-11R-A26U-07	TCGA-AL-3466-01A-02R-1351-07	TCGA-AL-7173-01A-11R-2139-07	TCGA-BQ-5877-01A-11R-1592-07	TCGA-BQ-5889-01A-11R-1592-07	TCGA-BQ-5893-01A-11R-1592-07	TCGA-BQ-5894-01A-11R-1592-07	TCGA-F9-A8NY-01A-11R-A36F-07	TCGA-G7-6789-01A-11R-1965-07	TCGA-G7-6793-01A-11R-1965-07	TCGA-G7-A8LB-01A-11R-A36F-07	TCGA-GL-6846-01A-11R-1965-07	TCGA-SX-A7SM-01A-11R-A355-07
DGCR8|54487	724.8712	775.7615	527.5565	807.1023	539.0011	745.0264	801.7018	906.8958	494.4576	382.0339	425.4572	1123.2389	679.7235	485.3273
DGCR9|25787	131.0263	502.2683	64.9888	311.3434	42.508	15.4283	121.7166	96.5828	91.6994	62.8612	73.7842	286.3158	54.312	23.1377
DGKA|1606	388.3239	72.5859	237.0182	387.614	448.8842	928.1364	396.5964	935.5433	506.5943	641.5898	943.8633	489.7166	241.6063	198.6456
DGKB|1607	0	0.6481	0	3.4151	13.0358	15.8343	0.37	9.822	4.9446	0.4056	1.2776	3.2389	0.9875	6.2077
DGKD|8527	424.2504	511.9896	643.517	610.7339	375.2037	593.5851	694.7836	801.3096	844.1739	596.9786	534.3767	858.2996	462.1461	659.1422
DGKE|8526	143.1779	29.164	825.7407	73.4247	44.4917	146.9752	359.9704	208.717	436.4712	137.4835	390.9606	41.4575	26.3331	22.009
DGKG|1608	52.3048	189.2417	230.6467	126.9279	26.6383	114.9005	145.024	166.1551	9.4396	62.8612	83.3666	9.0688	48.3871	29.3454
DGKH|160851	13.2083	57.0318	150.3664	15.368	37.9738	21.9245	90.64	38.0602	15.7327	17.8445	36.413	25.9109	233.7064	42.3251
DGKI|9162	2.1133	7.7771	0	0.5692	1.4169	10.1502	14.4284	9.4127	0	1.6222	3.8329	0.6478	4.2791	1.1287
DGKK|139189	0	0	0	0	0	0.406	0	0.4092	0	0	0	0	0	0
DGKQ|1609	356.0956	292.9358	305.8299	493.4821	347.1484	737.3122	325.5642	496.8283	415.3444	708.101	752.8547	283.0769	359.1178	263.544
DGKZ|8525	509.8402	714.8412	369.5444	623.256	397.5912	1995.9399	481.687	995.2936	638.2998	437.5951	538.8485	680.1619	432.8506	882.6185
DGUOK|1716	1105.2701	517.1743	1400.446	1203.254	453.135	1100.6902	1935.2571	1399.2224	1840.2812	1026.8681	677.7929	1009.8785	551.3496	552.4831
DHCR24|1718	2342.6232	11248.8658	7218.8595	5348.0486	5615.8696	4451.0759	1008.879	859.423	1340.4295	5611.2745	6901.5412	1434.8178	6642.528	7608.9165
DHCR7|1717	1215.1631	1233.3117	847.4036	772.3821	450.3011	693.8693	1658.5276	2099.0383	1472.5846	998.4792	1979.3979	876.4372	835.418	638.2619
DHDDS|79947	626.6015	855.4763	252.3097	719.448	508.6787	708.8916	486.8664	480.8676	801.9203	532.4952	992.414	529.2308	984.5293	1257.9007
DHDH|27294	58.1165	359.0408	8.92	35.8586	4.5342	4.0601	3.6996	4.0925	28.3189	34.0667	49.5089	310.9312	100.0658	97.6298
DHDPSL|112817	769.2511	2036.2929	352.9787	1106.4928	1344.3571	905.8059	3442.8413	915.4901	2933.9315	326.8782	453.5654	2705.1012	1468.871	3325.6208
DHFRL1|200895	116.7613	139.987	387.3845	165.0632	123.8399	167.2757	168.7014	175.1586	84.5612	94.089	160.9838	293.4413	325.5431	155.1919
DHFR|1719	74.3416	416.7077	631.1054	147.8853	169.7088	253.5851	457.1735	369.8179	116.2964	98.7164	398.2432	63.6113	189.1442	135.1185
DHH|50846	1.0567	1.9443	0	5.1227	4.8176	28.0146	6.2893	24.1457	21.5763	0	6.0688	0.6478	4.2791	3.9503
DHODH|1723	324.3957	383.6682	118.5091	261.8244	118.1722	154.6894	275.2497	186.6176	257.1179	235.6281	113.7108	410.6883	198.815	225.1693
DHPS|1725	1711.2667	1093.9728	387.3845	1237.2969	774.7616	855.4608	592.3048	784.9396	871.0589	1337.5241	875.7678	1669.9595	776.7413	972.5451
DHRS11|79154	978.4705	228.127	224.2752	159.3714	80.1984	168.0877	493.5257	154.2869	187.4444	137.8891	222.3109	380.8907	152.7321	208.8036
DHRS12|79758	453.3087	635.7745	254.8582	342.6485	192.9862	363.378	119.8668	170.2476	303.8667	129.3724	60.0495	999.5142	377.551	303.6117
DHRS13|147015	989.4598	921.2184	285.7471	686.6346	389.0018	348.3069	515.6271	349.0608	646.3145	867.1601	630.4592	875.7895	536.0072	266.7664
DHRS1|115817	771.8927	363.5774	158.0121	358.5856	211.1229	520.0974	767.6656	544.3012	535.3627	121.2613	309.8299	449.5547	555.6287	418.7359
DHRS2|10202	8.9816	0.6481	8.92	1290.3391	1.9837	4.0601	4.4395	127.6857	201.3791	0.4056	26.1918	22.6721	3.95	3.9503
DHRS3|9249	1237.8814	2500.324	2523.0965	4519.8866	3496.989	2887.5355	4260.4514	1075.0972	993.4102	4595.7619	6556.8953	1330.5263	1557.9329	2617.9458
DHRS4L1|728635	29.0582	69.3454	0	2.8459	13.6026	6.4961	4.4395	3.274	24.2734	0.4056	3.8329	11.6599	8.5583	34.9887
DHRS4L2|317749	460.7053	574.4913	138.5919	99.6071	365.2058	358.6642	351.4243	239.4475	554.6915	281.1964	196.4833	549.3182	642.3041	1154.746
DHRS4|10901	766.9634	1248.989	159.5922	165.0632	876.656	630.6537	633.7514	480.8799	1465.4824	455.1232	410.6364	669.0915	1035.9217	2194.3567
DHRS7B|25979	1630.4319	497.0836	430.7104	1129.8293	815.3029	700.3654	710.6918	592.1833	932.7268	710.9399	410.4448	1588.3401	707.0441	876.9752
DHRS7C|201140	0	0	0	0	0	0	0	0.4092	0	0.4056	0	0	0	0
DHRS7|51635	1416.4575	2341.5424	1044.9188	908.9861	2614.8069	1266.7479	3694.0437	2034.7862	2838.1865	1954.7805	1020.5222	1251.498	2014.4832	2200.3386
DHRS9|10170	5.8116	9.0732	983.7528	10.2453	54.977	9.7442	135.7751	51.9746	7.6416	3.2444	58.4524	1.2955	8.2291	11.851
DHRSX|207063	502.4435	899.5463	1146.8621	537.8785	480.6235	433.6175	532.7414	476.3659	1082.8621	873.9734	591.2321	338.7854	434.1672	532.7314
DHTKD1|55526	926.1656	1395.9819	986.3014	824.1778	920.1559	694.6813	736.589	1001.0231	956.5507	641.1842	667.5717	2690.2024	1731.7314	2589.1648
DHX15|1665	1635.1869	2555.4115	3682.7015	1295.4618	1740.2763	1397.4827	2230.4846	1752.4043	1336.8335	1765.3858	2128.5634	1462.6721	1581.6327	1967.2686
DHX16|8449	871.7475	695.3986	356.8015	502.5891	841.091	608.2014	661.1173	768.5697	719.211	514.6507	408.5283	1662.834	622.7781	968.9616
DHX29|54505	523.5768	1036.2929	375.9159	406.3971	575.2745	532.2777	469.8483	429.3022	368.1461	227.517	514.2538	307.6923	555.2995	834.0858
DHX30|22907	2482.6311	939.7278	806.6263	1734.8715	1400.4959	1606.1713	1601.1839	2114.999	1319.7522	1973.8416	2101.094	2894.8988	2619.1573	1917.0429
DHX32|55760	1202.3141	1023.2275	737.0755	1119.7206	878.464	658.1527	985.9637	747.7635	1326.8634	579.2477	907.182	932.9749	677.6169	1019.7517
DHX33|56919	327.0374	153.5969	277.7955	87.6543	423.3794	84.8559	606.7333	423.1635	310.1598	180.4725	271.8199	221.5385	473.3377	173.8149
DHX34|9704	752.3445	702.5275	742.9118	460.4695	284.2366	650.0203	592.3048	708.4101	428.8296	299.706	374.0318	1046.8016	393.0217	598.7585
DHX35|60625	370.3606	323.396	271.424	191.2457	306.9075	298.4166	195.3385	349.0894	184.2978	186.5558	200.5909	323.2389	196.5109	313.2054
DHX36|170506	487.1219	354.5042	640.9685	391.5983	468.7212	483.5566	930.0777	952.7317	678.7554	422.995	721.5523	514.332	845.6221	623.5892
DHX37|57647	667.8114	826.3124	280.3441	1014.8543	890.4003	1137.637	877.5435	1263.761	1167.8189	720.2677	537.2515	489.0688	998.6833	1154.6275
DHX38|9785	1481.9707	1635.7745	1117.5534	852.637	1736.0255	1078.7657	1645.579	1358.7068	1648.3418	2585.4203	803.0025	1865.587	2139.5655	1523.702
DHX40P1|653645	1.585	0	12.7429	0	1.1335	0	0	0	2.697	0	1.9165	0	0	0.5643
DHX40|79665	2443.0062	1822.4238	5583.9439	2101.4257	3121.7853	1112.4645	3100.259	1790.0552	2162.5777	5433.2353	4206.6597	3724.6964	3527.6498	1797.9684
DHX57|90957	498.2169	249.5139	877.9866	556.6615	603.0464	382.4604	706.6223	624.9233	515.5844	413.6672	489.659	503.9676	628.7031	550.2257
DHX58|79132	459.6487	257.9391	971.0099	482.6676	237.7612	684.9371	314.8354	364.2316	345.2213	724.7288	317.8152	1364.8583	731.7314	336.3431
DHX8|1659	1089.9485	744.6533	725.0717	569.1835	1224.2295	621.1937	1219.3859	994.0659	995.6578	1691.9801	1283.718	499.4332	1319.6182	763.544
DHX9|1660	2659.0939	3162.6701	3030.2644	2400.8162	3666.7375	2357.2879	3887.5324	3482.3	2413.852	2921.6263	3252.8947	1378.4615	3254.4437	3199.7743
DIABLO|56616	1093.4883	1560.512	776.0433	2099.7181	1447.6401	1294.4336	1224.2767	1013.452	1458.7263	1217.0577	1094.8048	1164.0486	1172.1231	2165.1185
DIAPH1|1729	3375.5118	3348.0233	3236.6996	3309.2332	3542.0475	3817.702	3327.044	4493.1451	4692.8519	3081.8209	6138.4652	2234.17	5587.5576	4432.8442
DIAPH2|1730	89.8164	127.0253	36.9544	144.5726	289.0542	145.7572	279.3193	203.806	225.203	522.3563	462.8284	41.4575	224.819	184.5372
DIAPH3|81624	24.3033	159.4297	85.3775	96.192	136.5923	86.4799	163.522	231.2257	152.3828	39.3389	99.6566	22.6721	74.0619	40.6321
DICER1|23405	646.1498	780.9462	925.1354	327.2805	1537.3716	1147.3812	1488.7162	1093.1042	785.738	426.2395	896.5903	1145.9109	1171.1652	1178.3296
DIDO1|11083	2043.059	1524.3033	2395.6674	1188.4553	1744.2437	1260.2517	901.5908	1791.283	881.483	1635.2023	845.4843	1530.0405	1750.8229	1878.1038
DIMT1L|27292	386.7389	440.0518	208.9838	277.1924	427.6302	347.1376	407.6952	344.1784	329.039	245.767	278.5275	174.8988	245.5563	308.6907
DIO1|1733	2.1133	42.1257	1975.1513	13.0912	5.101	26.3906	2.2198	5.7295	3.1465	1.2167	1.9165	125.668	12.5082	2.2573
DIO2|1734	5.2833	48.6066	67.5374	134.8965	114.7715	107.1864	107.2882	190.71	8.9901	308.6282	32.5801	0.6478	193.2192	54.1761
DIO3OS|64150	0	0	0	0.5692	0.8502	0.812	0	0.8185	0	1.6222	0.3194	0	0	0
DIO3|1735	0	0	0	10.2453	0.5668	4.4661	3.6996	1.2277	1.3485	14.6	19.1647	0	1.6458	4.5147
DIP2A|23181	523.5768	360.9851	737.8146	389.3215	667.3751	533.0897	533.4813	487.0063	908.4534	296.8671	443.6637	1520.3239	629.0323	645.0339
DIP2B|57609	492.4052	968.8918	1425.9318	1288.6316	2435.4233	795.3715	1096.1894	1208.1031	1150.7376	1836.7637	1392.957	1165.9919	2009.5458	1903.4989
DIP2C|22982	804.121	966.9475	858.8723	642.6082	1547.2901	505.4811	711.8017	415.3878	1038.3609	825.3067	1091.7512	1189.3117	1964.4503	1248.8713
DIRAS1|148252	398.8905	5.8328	3.8229	4.5535	65.4623	90.946	583.7958	396.1531	501.2002	41.3667	447.816	29.1498	118.1698	6.772
DIRAS2|54769	22.1899	533.3765	93.0233	51.2265	77.9313	18.2704	275.2497	103.54	100.6895	246.5781	405.6536	2.5911	52.6662	22.009
DIRAS3|9077	5.2833	7.129	275.2469	33.0126	5.9511	125.4568	2.5897	10.6405	6.7426	3.65	4.4718	90.0405	226.4648	76.1851
DIRC1|116093	0	0	0	1.7076	0	0	0	0	0	0	0	0	0	0.5643
DIRC2|84925	362.9639	158.0817	291.8891	197.8425	273.1392	231.4779	213.5849	330.9024	314.1963	164.9478	1692.4219	270.9571	619.8618	294.763
DIRC3|729582	1.585	5.1847	114.6862	3.9843	1.1335	12.1803	18.8679	6.548	3.5961	10.5445	0.6388	0.6478	0.6583	5.079
DIS3L2|129563	679.963	764.0959	700.8601	1113.8922	543.8186	628.0958	444.3211	544.7105	391.97	850.4512	408.5283	1183.4818	629.6906	593.6795
DIS3L|115752	563.2017	621.5165	456.1962	367.1234	760.0425	353.2278	611.1728	619.1938	544.3528	436.7839	450.0519	408.7449	464.7795	299.6614
DIS3|22894	747.0189	701.711	979.6878	747.7421	923.6812	659.4681	839.5376	772.8381	635.9264	556.423	446.1551	669.2081	826.8302	772.9289
DISC1|27185	78.1931	81.6591	453.6477	252.7175	256.9295	215.8343	280.4846	149.7851	157.3274	140.3224	294.4183	75.7895	235.8525	138.8205
DISC2|27184	0	0	5.0972	0	1.1364	0	0	0.4092	0	0	0	0	0	1.1343
DISP1|84976	430.0621	359.6889	996.4957	391.5983	463.0535	307.3488	599.704	244.3217	377.1363	416.1006	240.198	718.3806	593.4826	800.2257
DISP2|85455	10.5666	25.9235	20.3887	33.5818	58.661	34.9168	53.6441	26.1919	24.2734	8.1111	32.2606	8.4211	9.2166	9.0293
DIXDC1|85458	276.3175	636.4226	555.591	502.0199	782.43	346.7316	442.8413	478.8214	363.2016	495.5896	507.8655	544.7773	1282.4226	795.7111
DKC1|1736	1096.2885	1031.7563	812.9978	840.6841	1055.3312	900.5278	1577.8764	1282.5865	1206.926	815.5734	781.2824	477.4089	763.9895	1431.1512
DKFZP434H168|26077	0	0	0	0	0	0	0.37	0	0	0	0	0	0	0
DKFZP434K028|26070	0.5283	1.2962	0	0	0	0	0	0.8185	0.899	0.4056	0.3194	0	0	1.1287
DKFZP434L187|26082	0	12.7803	43.3259	0.5692	0	1.9326	0.37	0.663	0	4.2624	0	2.5911	0.9875	0
DKFZP586I1420|222161	705.8513	231.3675	172.0293	533.325	218.491	303.2887	259.3415	252.5067	435.5722	216.1614	178.5515	450.2024	734.6939	426.0722
DKFZP686I15217|401232	159.5562	74.5301	384.8359	111.56	35.9901	58.0593	142.0644	67.9353	176.6562	167.4947	32.5801	118.5425	70.1119	41.1964
DKFZp434J0226|93429	0	0	0	0	0	3.6541	2.2198	12.6867	25.1724	2.8389	1.2776	52.4696	0	0
DKFZp434L192|222029	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKFZp566F0947|94023	0	0.6481	0	1.1384	0.2834	7.3082	1.4798	0.8185	0	0	0.3194	0.6478	0	0
DKFZp686A1627|266695	0	0	0	0	0	0	0	47.8821	0	0	0	0	0	1.1287
DKFZp686O24166|374383	100.9114	125.7291	263.7783	51.2265	221.6082	37.3528	18.128	15.5515	12.5862	145.1891	17.2483	44.6964	259.3812	240.9707
DKFZp761E198|91056	395.7205	638.3668	123.6062	273.2081	704.4988	599.2692	498.3352	575.8134	338.9282	253.8781	572.7062	239.0283	487.8209	505.6433
DKFZp779M0652|374387	14.265	11.6656	0	2.2767	4.2508	2.8421	1.4798	3.274	8.9901	3.65	5.43	5.83	2.6333	15.237
DKK1|22943	0	6.4809	94.2975	15.9371	3.4006	37.7588	1.8498	2.8647	1.3485	25.9556	4.7912	0	0	1.1287
DKK2|27123	0	4.5366	16.5658	7.3994	10.7687	102.3143	23.6774	212.4002	11.6872	36.0945	5.43	0	4.6083	2.2573
DKK3|27122	531.5018	160.0778	527.5565	430.3028	675.5933	1396.6707	481.687	580.7244	258.916	2799.1483	1336.7404	106.8826	373.9302	575.0564
DKK4|27121	0.5283	0	0	6.8302	0	0	0	0	0	0	0	1.2955	0	0
DKKL1|27120	4.2267	0.6481	0	3.9843	14.4527	2.03	0.37	1.2277	0	7.3	1.5971	16.1943	7.2416	0.5643
DLAT|1737	647.3966	2228.127	946.1867	673.0368	783.847	608.4612	1105.8084	969.9202	924.1727	547.0952	516.4897	600.0777	1084.5951	1310.0113
DLC1|10395	276.3175	636.4226	286.7155	848.6527	926.9571	1358.9119	907.5102	2113.362	705.7258	2661.2593	1702.4675	172.9555	364.0553	717.2686
DLD|1738	6381.1914	3213.221	1102.2619	2704.191	2796.4577	1726.35	2035.8861	2177.6141	4101.7504	1615.7356	1992.1744	947.6923	3027.6498	3418.1716
DLEC1|9940	52.8332	23.3312	22.9372	48.9498	5.6677	23.1425	5.9193	2.8647	14.8337	11.3556	9.263	263.6437	14.8124	14.1084
DLEU1|10301	165.3679	180.8166	249.7611	218.5665	126.9571	74.2996	207.1772	142.4187	192.6811	149.2447	68.9931	98.4615	64.8453	71.1061
DLEU2L|79469	2.1133	1.2962	14.0172	4.5535	1.9837	3.2481	3.3296	0.8185	3.1465	1.2167	3.8329	4.5344	2.3041	3.386
DLEU2|8847	22.4858	19.7991	17.8401	22.7617	14.413	31.0719	31.4761	27.4524	45.3328	11.3191	22.394	10.4032	7.0935	16.2585
DLEU7|220107	0.5283	12.3137	11.4686	0.5692	9.6351	3.2481	1.1099	5.3202	0.4495	1.2167	4.7912	0	0.3292	1.1287
DLG1|1739	1046.6253	1169.151	1989.1685	878.8194	1764.0779	1041.8189	1413.9845	1495.7888	1222.6587	841.1234	1233.5606	1277.4089	2603.341	1266.3657
DLG2|1740	20.6049	38.2372	62.4403	110.9908	85.8661	50.7511	15.9083	24.5549	14.8337	90.8446	27.4695	35.6275	38.183	35.553
DLG3|1741	944.1289	671.4193	495.6993	1153.1659	672.1927	808.3638	730.2997	780.8471	769.5558	949.0013	729.5377	1152.3887	995.7209	1354.4018
DLG4|1742	393.7604	32.4109	98.1204	364.858	377.4991	329.6833	81.3984	233.2719	321.0468	629.4799	554.8766	568.149	408.5385	93.7246
DLG5|9231	611.2799	784.1866	553.0424	562.3533	1307.2618	756.8006	938.9567	1387.3542	1637.5536	911.6902	1503.4736	1401.1336	1048.3871	940.1806
DLGAP1|9229	43.3232	33.0525	230.6467	169.6167	82.1821	134.795	4.4395	90.8533	0	395.4172	1.5971	45.9919	3.2916	4.5147
DLGAP2|9228	4.755	4.5366	53.5202	2.2767	5.9511	6.9022	0	0	5.3941	0	0.6388	0	1.6458	1.1287
DLGAP3|58512	17.9633	1.9443	3.8229	6.8302	4.5342	36.5408	1.4798	144.0557	26.0714	13.3834	32.5801	15.5466	2.6333	16.3657
DLGAP4|22839	2164.047	1513.9339	1977.6999	2497.0082	2181.2256	2477.0605	1684.0548	3120.5238	1749.9303	2291.3921	2308.0731	3120.9717	2170.5069	2260.158
DLGAP5|9787	15.3216	247.5697	214.0809	21.629	69.1463	79.9838	190.529	352.7727	33.713	25.1445	76.6589	18.1377	63.1995	54.1761
DLK1|8788	0	0	2.5486	0	0	66.5855	0	2.4555	0	0	704.3041	1.2955	0	0
DLK2|65989	3.17	4.5366	5.0972	9.6761	1.4169	5.2781	0.7399	1.637	0.899	8.9222	0.9582	1.9433	0.9875	2.2573
DLL1|28514	6.34	42.1257	3.8229	55.78	34.8565	179.0499	112.4676	101.4938	120.4678	95.7112	108.2808	16.1943	46.0829	16.3657
DLL3|10683	61.2865	0.6481	39.503	21.0598	0.2834	3.2481	119.8668	114.999	101.1391	22.7111	105.4061	15.5466	4.2791	2.8217
DLL4|54567	99.8547	396.6299	39.503	171.3242	189.0188	571.6606	666.6667	529.9775	290.831	653.3509	762.4371	194.9798	117.8407	69.9774
DLST|1743	4115.7047	3977.965	1159.605	1909.0416	3431.5267	1958.1811	2913.4295	2158.3794	3688.6535	1744.7024	1804.36	1993.1984	2878.2093	3896.7269
DLX1|1745	4.2267	5.1847	0	0	1.1335	2.4361	6.2893	3.6832	7.6416	7.7056	2.5553	7.7733	0	4.5147
DLX2|1746	0	1.2962	0	0.5692	1.9837	0.406	0.37	0	2.697	4.4611	0.9582	0	0	0.5643
DLX3|1747	22.1899	0.6481	16.5658	6.261	0.2834	3.6541	1.1099	0.8185	0.4495	0.4056	3.5135	5.83	3.2916	0.5643
DLX4|1748	62.3432	6.4809	95.5718	43.8271	10.4853	8.5262	0	49.9284	4.0456	51.1001	10.5406	39.5142	15.4707	11.2867
DLX5|1749	2.1133	3.8885	6.3715	9.6761	2.5505	33.6987	15.1683	23.3272	5.8436	23.1167	16.6094	9.0688	3.6208	1.1287
DLX6AS|285987	0	0	49.6974	0	0.2834	0	0	0	0	0.4056	0.3194	0.6478	0	0
DLX6|1750	0.5283	0	140.172	0.5692	0.2834	3.6541	0.37	0.8185	1.798	2.8389	1.5971	0.6478	0.3292	0.5643
DMAP1|55929	1137.4983	922.2294	1122.6505	744.4921	345.4481	893.6257	338.8827	390.4236	577.1668	553.9897	407.5701	1643.4008	655.0362	1000
DMBT1|1755	2.1133	1.2962	0	2.8459	9.6351	0.812	0.37	0.8185	0.4495	2.8389	1.5971	0	0.3292	14.1084
DMBX1|127343	0	0	2.5486	1.1384	0.8502	0	1.4798	0	0.4495	1.2167	0	0	0.3292	0
DMC1|11144	2.6417	9.7213	0	5.1227	3.684	6.9022	1.1099	4.0925	0.4495	0.4056	0.6388	34.332	2.6333	3.386
DMD|1756	162.1979	265.068	776.0433	204.3369	776.1955	235.8912	285.6086	258.6454	162.272	165.8725	224.8662	60.2429	171.4944	118.5102
DMGDH|29958	311.1874	2909.2677	351.7044	494.6205	707.616	256.1916	41.0655	26.1919	128.1095	532.0896	13.4153	654.251	853.1929	1165.3499
DMKN|93099	1218.3331	116.0078	80.2803	997.7788	504.9947	670.7268	2422.1236	897.4831	1405.1585	300.1115	326.1199	1811.1741	863.7261	544.0181
DMP1|1758	0	0.6481	7.6457	1.1384	0.2834	2.03	0	1.637	0	1.2167	0	0.6478	0.6583	0.5643
DMPK|1760	1061.4186	559.9482	681.7458	665.9448	519.4474	1324.4011	1585.2756	2585.6354	1692.843	730.4066	2488.5411	1497.6518	548.3871	801.9187
DMRT1|1761	0	0	6.3715	0.5692	0	0	13.6885	1.2277	1.3485	0	7.0271	0	0	0
DMRT2|10655	0	0	67.5374	0	0.5668	157.1255	1.1099	14.3237	0.4495	4.0556	0	0	0	0.5643
DMRT3|58524	0	0.6481	45.8745	0.5692	0	5.2781	0.37	3.6832	8.9901	2.4333	0.9582	0	0	0.5643
DMRTA1|63951	37.5116	46.0143	31.8573	108.7141	202.0546	46.285	328.5239	137.5077	204.0761	70.5668	80.4919	44.6964	57.2745	134.3115
DMRTA2|63950	1.0567	0.6481	10.1943	0.5692	0.2834	0	0	1.637	0.4495	0	0	0	1.6458	0.5643
DMRTB1|63948	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMRTC1B|728656	21.1333	7.7771	0	18.7831	37.6904	26.7966	0	1.2277	0	8.1111	0.9582	10.3644	16.129	4.5147
DMRTC1|63947	0	0	0	0	3.9674	4.4661	0	0	0	0	0	0	0	0
DMRTC2|63946	0	0	0	0	0	0.812	0	0	0	0	0	0	0.3292	0
DMTF1|9988	2048.1574	1174.407	2279.6942	540.0243	368.7198	764.052	558.5054	476.0548	654.7068	618.8786	351.3823	4432.4081	880.0033	885.5305
DMWD|1762	481.3103	380.4277	470.2134	927.7692	921.006	937.8806	527.562	960.9167	426.1325	601.0342	761.7983	439.1903	682.3568	865.1242
DMXL1|1657	465.9886	1952.6896	2561.3253	488.3595	1332.1998	612.6675	627.451	442.8074	623.0166	606.3064	1057.8935	711.9028	968.0711	568.8488
DMXL2|23312	273.1475	1074.5301	1976.4256	339.8026	808.2182	470.1583	268.9604	299.9795	382.0809	375.545	682.2646	873.8462	289.0059	560.9481
DNA2|1763	56.0032	193.7784	261.2297	29.5975	45.3418	101.0962	66.5927	126.4579	148.3373	45.4223	49.1895	164.5344	60.237	67.1558
DNAH10|196385	19.0199	3.2404	50.9716	10.2453	194.9699	11.3683	10.7288	4.0925	5.8436	128.5613	28.4277	4.5344	59.2495	87.4718
DNAH11|8701	0.5495	712.4563	5.2119	0	10.0347	2.5538	56.2116	179.9386	129.0444	4.1448	1.3	0.6996	0	0.5813
DNAH12|201625	1.0567	1.9443	43.3259	6.8302	2.8339	2.4361	2.5897	0	4.4951	30.8223	3.5135	5.83	1.6458	6.772
DNAH14|127602	56.5315	93.9728	437.0819	34.7202	50.1594	56.4352	73.2519	31.5122	15.7327	104.6335	39.2877	158.0567	69.1244	71.1061
DNAH17|8632	58.1165	32.4044	207.7095	55.2108	6.5179	55.0954	17.0255	16.3086	26.5209	38.9334	18.8453	106.8826	19.7498	49.7404
DNAH1|25981	312.7724	214.5172	644.7913	206.6136	75.0974	237.9212	34.4062	102.7215	182.9493	49.4778	60.0495	2041.7814	240.6188	467.2686
DNAH2|146754	8.4533	2.5924	151.6406	14.7988	10.4853	9.3382	5.1794	2.0462	19.3288	2.8389	2.8747	97.166	50.6912	0
DNAH3|55567	3.17	52.4951	178.4008	3.4151	1.1335	2.8421	31.8165	6.548	61.1329	6.4889	43.1207	3.8866	25.0165	34.9887
DNAH5|1767	65.5131	1581.3351	745.4603	95.0537	871.13	71.8636	24.0474	62.6151	32.814	5032.1403	35.7742	104.9393	264.6478	97.6298
DNAH6|1768	30.6432	15.5541	364.4473	41.5504	120.4392	28.8266	28.1169	22.9179	34.1625	62.8612	11.1794	207.2874	84.266	71.6704
DNAH7|56171	105.138	169.151	98.1204	145.1418	163.514	47.9091	48.0947	42.9711	85.4063	146.8113	67.7154	210.5263	251.4812	106.0948
DNAH8|1769	0.5283	0	0	7.3994	1.7003	5.2781	1.4798	1.2277	0.4495	0	0	0.6478	0.3292	2.8217
DNAH9|1770	68.1548	2.5924	42.0516	216.2897	95.5012	52.3752	18.498	22.5087	39.1071	93.2779	132.5561	10.3644	36.8664	41.1964
DNAI1|27019	72.3815	34.3487	57.3431	44.3963	76.231	5.6841	26.6371	14.733	37.7586	32.0389	20.7618	334.251	80.6452	51.9187
DNAI2|64446	0	0	0	0.5692	0	0.406	0.37	0	0	0.4056	0.3194	0	0	0.5643
DNAJA1|3301	1829.613	2342.8386	1597.9611	1782.1137	3153.5246	1580.1868	3184.9797	3233.0673	3288.1429	875.1901	1902.1001	621.2146	2267.9394	3927.2009
DNAJA2|10294	1324.5278	2447.1808	1771.2647	1763.3306	1700.0354	1245.2294	2798.3722	1488.0295	1923.44	1303.0518	744.2306	1456.1943	1343.318	1651.8059
DNAJA3|9093	1732.9283	3279.326	1808.2192	1427.5123	1405.3135	1082.4198	3000.37	1641.9071	3353.3214	1288.4518	2196.2788	960	1684.9901	1772.009
DNAJA4|55466	998.0188	655.2171	1544.4409	356.8781	86.1495	654.0804	56.9737	161.2441	45.4002	354.0505	82.089	988.502	694.865	225.1693
DNAJB11|51726	851.1425	913.1562	1601.784	961.9202	950.1948	1217.2148	756.1968	1264.1702	581.6619	574.673	1338.9763	1416.6802	941.0797	1841.9865
DNAJB12|54788	971.0738	1320.8036	544.1223	1437.7576	2020.2621	1688.9972	844.2471	1319.0096	1888.828	980.6347	1119.54	1124.5344	1142.1988	1622.4605
DNAJB13|374407	86.6464	108.8788	21.6629	135.4657	97.2016	49.1271	104.3285	41.7434	232.3951	205.617	9.9018	152.8745	275.5102	154.0632
DNAJB14|79982	112.5347	101.7498	484.2306	113.2675	427.0634	198.5384	380.3182	232.4534	210.8187	289.1615	567.5956	52.4696	346.2804	159.1422
DNAJB1|3337	2599.3924	2476.3448	3175.5336	2949.5092	4851.0096	2022.7365	2568.9974	3137.7123	3458.0565	1437.6964	3676.7548	1201.6194	2076.6952	8891.0835
DNAJB2|3300	1247.9197	1255.3467	1985.3457	5073.7022	1578.1792	2689.4032	2574.9168	2582.3614	4010.95	2733.4482	1996.9656	2205.668	1543.1205	2854.4018
DNAJB3|414061	0	11.6656	54.7945	2.8459	0	2.03	20.3478	15.5515	18.8793	1.6222	12.7765	0	0	2.8217
