TCGA-2Z-A9J7-01A-11R-A38C-07	TCGA-A4-A57E-01A-11R-A26U-07	TCGA-AL-3466-01A-02R-1351-07	TCGA-AL-7173-01A-11R-2139-07	TCGA-BQ-5877-01A-11R-1592-07	TCGA-BQ-5889-01A-11R-1592-07	TCGA-BQ-5893-01A-11R-1592-07	TCGA-BQ-5894-01A-11R-1592-07	TCGA-F9-A8NY-01A-11R-A36F-07	TCGA-G7-6789-01A-11R-1965-07	TCGA-G7-6793-01A-11R-1965-07	TCGA-G7-A8LB-01A-11R-A36F-07	TCGA-GL-6846-01A-11R-1965-07	TCGA-SX-A7SM-01A-11R-A355-07
AAK1|22848	623.4315	518.4705	2878.6238	1384.2544	1162.7347	1281.3642	2346.6519	1362.39	1935.5767	854.1012	2163.3794	1227.5304	2233.0481	1865.6885
AAMP|14	2863.03	1294.8801	1777.6362	3727.0139	2692.4548	2376.7763	4632.2605	4863.5154	4299.5334	3282.5712	2350.555	1068.1781	1947.6629	2764.6727
AANAT|15	1.585	1.2962	1.2743	0	0	0.406	1.8498	2.0462	4.9446	0.4056	0.6388	1.2955	0.6583	0.5643
AARS2|57505	722.1609	717.4271	386.1102	746.1769	899.7379	414.9371	806.1339	552.4821	659.4266	479.3673	393.5063	765.668	628.6998	678.8093
AARSD1|80755	1391.6259	1005.1847	1074.2275	908.9861	467.8711	537.1498	680.7251	466.5439	607.7333	1397.9519	272.7781	1802.1053	653.3904	999.4357
AARS|16	2796.9885	5195.7226	2201.9752	2641.5809	3716.6135	2277.7101	4112.0977	4270.5136	8869.67	8306.1949	2757.8056	2228.9879	2732.0606	4463.3183
AASDHPPT|60496	414.7405	2120.5444	1118.8277	1006.8857	665.3914	647.5842	1488.3463	1370.575	1235.2449	416.1006	562.1656	525.9919	918.6965	865.1242
AASDH|132949	109.3647	208.0363	235.7439	110.4216	293.0216	112.4645	180.9101	133.8244	217.1118	164.6558	162.9003	153.5223	196.5109	183.4086
AASS|10157	890.2391	395.3338	340.2357	229.9502	312.2919	400.7308	244.9131	290.9761	416.2434	178.4447	191.9668	2975.2227	957.2087	653.4989
AATF|26574	1552.7671	2140.6351	2691.303	1417.267	1132.4123	1177.4259	2789.4932	1663.5973	1804.7702	1613.3022	986.9839	1329.8785	1237.9855	1419.8646
AATK|9625	85.0614	34.3487	80.2803	20.4906	10.2019	78.7657	28.8568	52.8054	23.8239	79.489	42.4818	7.7733	9.8749	12.9797
ABAT|18	644.5648	298.7686	893.2781	409.243	124.1233	344.7016	149.0936	127.2764	105.6341	81.1112	51.4254	2341.7004	1868.9928	1191.3093
ABCA10|10349	5.2833	11.6656	53.5202	15.368	4.5342	18.2704	8.5091	3.274	1.798	4.4611	4.7912	46.6397	7.2416	11.2867
ABCA11P|79963	111.2667	143.1497	173.7114	56.1841	53.7726	63.2887	87.5916	83.3968	62.9355	44.96	51.518	139.8478	30.5168	66.2415
ABCA12|26154	12.68	489.3065	779.8662	88.7926	379.1711	83.2318	1524.2323	833.231	3152.3918	1718.7468	636.9081	20.7287	308.4266	351.0158
ABCA13|154664	0	1.2962	198.7894	44.3963	3.1173	71.0516	8.1391	22.5087	0.4495	35.6889	7.3465	162.5911	60.5662	0
ABCA17P|650655	41.2099	1.2962	59.8917	25.6133	16.7198	18.6764	560.8583	180.4788	415.3444	150.0558	215.9227	12.9555	2.3041	9.0293
ABCA1|19	661.445	1933.8885	1094.6161	1079.1663	2548.7694	749.8985	220.1258	656.0139	319.5994	1276.6866	3254.1564	584.2915	1979.9177	720.6433
ABCA2|20	4654.6031	1454.3098	985.0271	2355.8507	2142.1183	1425.4974	1581.576	2595.4573	5642.2105	6301.531	8591.2321	1605.1822	1835.418	926.0722
ABCA3|21	2296.13	136.0985	690.6658	3151.5693	4596.5285	3883.8814	2325.9341	4824.6368	3625.2731	6367.6366	8913.5191	1714.6559	4555.2995	1658.0135
ABCA4|24	1.585	2.5924	3.8229	2.2767	3.9674	34.5108	9.249	4.5017	3.5961	9.7333	3.5135	1.2955	0	0.5643
ABCA5|23461	316.9991	591.0564	1188.9137	183.8463	401.842	223.7109	105.8084	56.8856	53.9408	419.7506	213.048	967.1255	276.4977	395.0339
ABCA6|23460	2.1133	77.7706	84.1032	664.8064	11.0521	94.1941	54.0141	42.1526	4.4951	17.0334	64.2019	2.5911	21.3957	10.7223
ABCA7|10347	364.5489	82.3072	565.7853	315.8969	520.8643	747.0564	391.7869	671.9869	752.924	347.9671	1271.2609	733.9271	447.0046	195.8239
ABCA8|10351	12.1516	845.755	44.6002	268.0855	75.6642	222.4929	16.6482	47.8821	1.798	4.0556	111.4749	0	40.158	21.4447
ABCA9|10350	4.2267	9.7213	94.2975	200.3526	22.9543	75.9237	72.512	50.3376	4.0456	24.3334	53.3419	1.2955	24.029	18.623
ABCB10|23456	305.3758	598.1854	425.6133	158.8022	496.4931	235.8912	362.5601	351.9542	320.4984	288.756	373.7124	332.3077	423.3048	288.3747
ABCB11|8647	0	0	16.5658	0	0	0.406	0.7399	0	0	0	0.3194	0	0	0
ABCB1|5243	2122.3088	2258.5872	6054.1574	330.6956	3137.9384	1237.9212	2059.1935	2511.152	3570.4332	1052.0126	1250.4991	3099.5951	8493.4167	6420.9932
ABCB4|5244	152.6879	157.4854	211.5323	179.2928	147.9277	84.0438	15.9083	45.8359	23.3744	45.4223	9.5824	64.7773	58.5912	110.6095
ABCB5|340273	3.17	3.2404	16.5658	2.2767	0.8502	2.4361	2.5897	2.0462	0	1.2167	0.9582	0.6478	0	0
ABCB6|10058	1183.8489	1255.4439	2683.4916	1626.442	639.4842	428.1161	2194.0289	1659.6685	3002.3419	1676.4271	2175.8205	544.6931	434.944	927.4718
ABCB7|22	278.4309	594.9449	135.0749	215.7206	419.9787	222.8989	246.7629	240.6384	295.326	504.5118	327.3976	130.8502	274.5227	444.6953
ABCB8|11194	1691.7184	1233.3117	275.2469	1089.4173	822.1041	1660.5765	207.5472	922.8566	515.1349	1147.3183	757.3265	1647.2874	1409.8091	1049.0971
ABCB9|23457	134.8408	70.4666	95.5718	283.7323	148.8062	217.2229	146.8738	237.3194	315.2392	777.4024	655.7406	192.3887	144.4733	105.9368
ABCC10|89845	605.4682	429.6824	230.6467	508.8501	362.1679	628.0958	327.7839	464.9069	262.9615	268.8837	239.5592	1079.1903	476.3002	401.8059
ABCC11|85320	3.17	1.9443	17.8401	0.5692	3.1173	0	1.1099	0.8185	2.2475	34.4723	3.5135	1.9433	0.6583	0.5643
ABCC12|94160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13|150000	0	0.6481	1.2743	0	0	0	0	0	0	0	0	0	0	0
ABCC1|4363	670.453	4131.5619	4940.4269	1063.2349	1319.164	1302.0706	1755.4569	1855.9443	1340.8791	3451.2826	5989.9385	1074.6559	1272.5477	871.3318
ABCC2|1244	6.8683	4734.2839	1529.1494	315.8969	393.057	28.4206	2140.2146	29.4659	521.428	60.0223	26.8306	5.1822	10.5332	925.5079
ABCC3|8714	2945.4497	11432.2748	7671.2329	8756.8889	7937.3716	2456.76	5921.9386	7698.3835	9406.3812	16100.1724	15794.6179	1603.2389	2524.6873	7765.237
ABCC4|10257	1800.0264	2297.4725	1814.5906	737.0927	3296.3514	672.3508	2155.3829	791.8969	1242.437	1262.4962	1347.6004	1451.0121	4161.2903	1507.9007
ABCC5|10057	674.1514	543.7459	1348.2001	705.2184	568.1899	765.7328	1268.2205	1253.5298	961.4952	477.3396	6056.0569	1818.9474	892.0342	465.5756
ABCC6P1|653190	22.1899	110.8231	347.8815	57.4875	62.345	25.9846	0.7399	2.0462	3.5961	6.4889	0	860.2429	171.1652	189.6163
