TCGA-KL-8336-01A-11R-2315-07	TCGA-KL-8339-01A-11R-2315-07	TCGA-KL-8341-01A-11R-2315-07	TCGA-KN-8426-01A-11R-2315-07	TCGA-KN-8427-01A-11R-2315-07	TCGA-KO-8404-01A-11R-2315-07
ABCC6P2|730013	11.4602	6.8247	13.1745	13.4146	10.1907	1.0965
ABCC6|368	171.5213	62.8592	59.7057	50.813	66.7325	7.6754
ABCC8|6833	0.764	0.7184	3.3637	2.0325	0	1.0965
ABCC9|10060	215.0702	42.3851	216.6783	87.8049	160.421	129.9342
ABCD1|215	592.4936	247.1264	648.3532	799.5935	376.3977	873.3553
ABCD2|225	116.5123	23.3477	17.0988	3.252	8.8758	23.5746
ABCD3|5825	1184.9871	889.3678	1465.7323	923.5772	575.9378	709.4298
ABCD4|5826	695.6356	163.7931	599.8598	930.8943	340.566	764.8026
ABCE1|6059	1316.0157	1843.0316	1496.5662	755.6911	1874.0991	1415.5702
ABCF1|23	1093.6873	996.7672	1009.11	1009.3496	1926.0387	944.0789
ABCF2|10061	1730.8758	1842.6724	2142.3966	772.7642	2722.8842	1597.5877
ABCF3|55324	2317.6392	1836.2069	1230.5536	828.8618	1576.5969	1362.3904
ABCG1|9619	4002.6741	2981.3218	7041.9061	2100	164.0371	858.5526
ABCG2|9429	197.4979	30.8908	46.2509	112.6016	7.5608	20.8333
ABCG4|64137	12.9883	4.3103	98.9488	7.7236	5.2597	6.5789
ABCG5|64240	0.382	0	0.8409	0.813	0.6575	3.8377
ABCG8|64241	0	0.3592	0	0	0	0
ABHD10|55347	2995.7024	3154.454	1921.5137	1330.8943	387.5746	702.3026
ABHD11|83451	2140.7697	1335.1293	1672.5999	3655.2846	725.8395	1011.5132
ABHD12B|145447	0	0	0.2803	0	2.9586	0
ABHD12|26090	1499.3792	2518.6782	3594.9544	2468.2927	2238.9912	3830.5921
ABHD13|84945	250.2149	213.3621	223.9664	280.0813	299.8033	219.2982
ABHD14A|25864	444.6567	362.5575	130.0631	283.2236	27.6299	937.5
ABHD14B|84836	2323.3693	4597.342	771.6889	1417.4797	2022.357	1563.5965
ABHD15|116236	246.3948	107.7586	182.761	352.0325	268.9025	347.0395
ABHD1|84696	1.91	2.5144	0.5606	2.8455	0	14.2544
ABHD2|11057	50029.2236	25891.1638	15721.0932	14160.1626	6115.0659	2108.0044
ABHD3|171586	894.6614	3598.7787	3557.9537	2502.0325	101.2493	364.5833
ABHD4|63874	931.7162	742.0977	1513.3847	1933.7398	772.1906	1516.4474
ABHD5|51099	735.3643	418.1034	1002.3826	500	855.6885	458.3333
ABHD6|57406	1168.1788	750.3592	938.4723	346.748	80.868	371.1623
ABHD8|79575	584.0894	499.2816	502.0322	387.8049	368.1794	1205.0439
ABI1|10006	711.3857	691.0057	688.8774	661.7154	2107.5018	632.4726
ABI2|10152	718.174	877.8736	812.0533	625.6098	1177.8455	879.386
