TCGA-KL-8327-01A-11R-2315-07	TCGA-KL-8329-01A-11R-2315-07	TCGA-KL-8332-01A-11R-2315-07	TCGA-KM-8439-01A-11R-2315-07	TCGA-KM-8441-01A-11R-2315-07	TCGA-KM-8476-01A-11R-2315-07	TCGA-KM-8477-01A-11R-2315-07	TCGA-KM-8639-01A-11R-2403-07	TCGA-KN-8422-01A-11R-2315-07	TCGA-KN-8423-01A-11R-2315-07	TCGA-KN-8424-01A-11R-2315-07	TCGA-KN-8425-01A-11R-2315-07	TCGA-KN-8430-01A-11R-2315-07	TCGA-KN-8437-01A-11R-2315-07	TCGA-KO-8403-01A-11R-2315-07	TCGA-KO-8406-01A-11R-2315-07	TCGA-KO-8410-01A-11R-2315-07	TCGA-KO-8411-01A-11R-2315-07	TCGA-KO-8413-01A-11R-2315-07	TCGA-KO-8415-01A-11R-2315-07	TCGA-KO-8417-01A-11R-2315-07
CD27|939	12.5472	76.8385	16.9215	19.0364	18.1016	7.1708	3.0908	16.3171	11.9521	23.6712	22.5077	34.5458	52.8016	6.3986	28.2256	12.4288	37.3454	4.1811	54.6204	17.6357	8.9731
CD28|940	16.9811	30.7871	40.9771	6.1182	20.2798	22.1492	6.7484	10.4479	3.615	53.5226	33.9463	54.4028	43.3538	7.5601	19.9935	12.0846	34.2651	8.3019	61.0857	4.8361	3.187
CD2AP|23607	878.3019	1385.0865	1494.6152	1522.5609	2477.5138	1159.3701	2947.25	2866.0982	1221.4189	2583.8693	1862.7174	1753.095	1973.0061	2909.9656	1525.1548	1780.8294	2164.4725	1699.6226	1312.6742	1130.0376	1523.7252
CD2BP2|10421	3741.5094	2868.4929	2368.7943	1299.2461	824.7113	2672.4347	1016.7585	1485.1348	1914.5956	2245.2872	1808.8027	2396.1639	1767.2802	821.9931	2017.1683	2165.3392	1879.8918	1901.8868	2912.4958	3368.619	2522.3088
CD2|914	17.9245	195.3157	27.8434	37.5833	38.3063	15.2275	13.4968	45.1717	26.6606	54.4097	49.5882	52.6591	119.0184	15.4639	82.1471	6.9578	77.908	7.1698	80.7045	38.1515	8.8527
CD300A|11314	57.5472	100.6373	129.2356	196.6568	166.3694	41.5297	78.7313	74.9789	56.4844	68.3078	168.7328	92.7637	119.0184	83.8488	226.8825	24.1692	84.0397	29.0566	205.9971	241.2681	16.6431
CD300C|10871	7.5472	37.4079	11.5577	23.5988	27.0397	8.9981	15.7463	29.1926	8.5856	15.0809	31.2838	33.8274	20.0409	29.2096	28.2517	6.5916	11.1812	10.1887	30.3199	37.0768	4.6034
CD300E|342510	0	3.9725	2.1014	2.1851	3.0044	0	2.2495	1.2292	0	0.8871	2.9953	0.3487	6.953	2.4055	0	1.4648	2.1641	1.8868	2.6753	1.612	0
CD300LB|124599	1.8868	13.5728	11.0323	19.2287	48.4462	8.9981	15.2964	15.3645	2.2594	10.9411	30.2854	6.626	21.2679	6.1856	17.8203	2.1972	5.771	5.283	41.4669	14.5083	1.7705
CD300LD|100131439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD300LF|146722	23.5849	108.2513	57.7883	38.4573	41.6862	18.6884	15.7463	22.1249	23.0456	45.2428	65.2301	122.0575	48.6708	21.6495	65.6308	10.6198	30.2976	16.6038	119.0503	59.6454	4.9575
CD300LG|146894	49.0566	5.9588	97.1894	34.9612	55.5816	31.1473	56.6865	40.5623	77.7225	24.2478	13.9779	46.3819	76.8916	47.4227	12.6046	33.3242	381.605	123.0189	71.7869	1.0747	15.9348
CD302|9936	219.8113	218.1577	286.5879	249.5357	403.1246	248.8943	153.4136	222.4783	69.1369	183.6327	215.6585	216.6173	317.3824	490.0344	392.0461	107.2965	263.661	250.1132	428.0459	145.0833	62.3229
CD320|51293	3298.1132	1491.0204	587.3391	1189.1183	830.3446	2055.0268	779.6648	1972.4975	489.3809	1083.4627	949.8294	953.7925	1333.7423	1070.7904	1431.7071	1195.276	640.5771	1846.7925	815.0708	1759.2692	1243.272
CD33|945	18.8679	48.6634	23.1153	50.6938	74.3592	9.6903	22.4947	53.7758	18.9788	35.1889	37.9399	43.9407	35.1738	53.2646	69.5425	12.0846	37.872	12.0755	62.4234	36.0021	5.6657
CD34|947	718.8679	914.6735	3926.4513	276.6306	1251.3379	1270.1159	1136.4301	494.1231	1169.9051	1389.2216	1833.0976	1209.4159	2692.0245	911.3402	2387.917	1397.4183	1266.0054	1620.3774	2549.1027	993.5519	1225.5666
CD36|948	959.434	266.4901	1391.647	36.7093	402.2158	734.3831	476.4368	39.6405	580.6597	688.401	231.6332	309.3287	800.409	39.5189	355.1016	503.8909	2040.0361	801.1321	702.2628	196.1311	490.7932
CD37|951	92.4528	327.7332	207.5125	216.3225	193.4091	209.7249	123.7206	298.9936	163.127	196.9395	241.2846	393.0253	214.3149	239.5189	297.729	99.6063	186.4743	73.2075	427.1542	141.3219	54.1785
CD38|952	2.8302	40.0563	8.4056	12.6734	36.4285	2.0765	4.9488	13.2135	0.9038	8.8711	33.2806	17.4368	41.3088	10.3093	10.866	2.1972	13.706	3.7736	11.147	24.7179	0.7082
CD3D|915	6.6038	70.1812	9.9816	3.0591	18.0265	4.8451	7.1983	19.052	10.3931	20.6993	14.6435	28.9451	56.4417	1.7182	23.9052	0.7324	34.6258	0.7547	43.2505	19.8818	3.187
CD3EAP|10849	176.6604	270.7937	209.6139	237.3779	194.5357	164.7344	78.7313	294.1139	134.2702	368.5873	188.7012	244.4638	238.4458	195.2577	212.974	213.1283	296.844	140.3774	145.0139	230.5212	251.8555
CD3E|916	45.283	188.6949	39.4011	41.0794	65.7215	23.5335	31.0426	79.5882	52.4175	67.4207	72.8846	139.4943	139.8773	16.4948	89.1014	15.3804	104.2381	9.0566	157.8419	81.1392	11.3314
CD3G|917	0	30.456	1.0507	1.7481	3.38	2.7686	1.7996	7.6823	2.2594	8.2797	4.6593	8.3697	16.3599	5.1546	6.9543	1.0986	16.9522	0	12.0388	2.6867	0.7082
CD40LG|959	0	27.1456	1.0507	1.311	2.2533	0.6922	2.2495	3.6875	1.3556	7.6883	1.3312	7.3235	2.454	2.0619	6.5196	0.3662	9.3778	0.3774	6.2423	5.9108	0.3541
CD40|958	928.3019	565.0915	367.2183	93.0842	124.6831	1058.3146	95.8272	66.9893	475.3728	162.9334	407.355	411.1595	585.6851	90.378	701.5104	560.2856	542.4707	778.1132	1016.1632	372.3804	489.0227
CD44|960	1676.4151	7853.0166	483.3202	507.8116	1168.341	1032.7046	3302.6656	1171.6985	5150.9263	4939.4544	3774.3573	13980.1221	2964.8262	469.7595	7960.013	7668.223	2582.5068	3133.2075	4676.8476	6078.4524	718.8385
CD46|4179	1822.6415	7866.5894	6459.6795	4565.0606	6606.7036	3454.5769	17613.7667	8447.4149	8961.1387	8228.8756	8076.5455	6952.3976	9388.5481	8219.244	5545.583	7510.0247	8101.3526	10398.4906	7157.2846	5245.5669	8686.2606
CD47|961	758.4906	1996.193	1312.3194	955.3152	1053.4222	1531.0607	1828.8157	1886.7635	1902.3949	1186.368	1608.4533	1121.5344	2130.8793	1161.512	1918.9395	2069.7611	1826.5104	2323.7736	984.5056	779.6883	1434.136
CD48|962	51.8868	224.4476	112.4245	74.7296	98.019	34.6081	42.29	73.7497	60.5513	90.4857	139.7787	223.1909	130.8793	56.3574	139.5197	20.8734	125.8792	44.1509	253.7064	111.7679	15.5807
CD4|920	480.1887	1383.7623	553.7168	825.9587	819.8291	613.2549	397.2557	587.2321	299.5933	610.3349	935.8516	1030.1656	829.0389	584.8797	1152.233	243.1566	823.0839	256.2264	1107.5688	850.0806	175.2833
CD52|1043	79.2453	191.0122	71.4473	75.1666	92.3857	75.4456	52.6375	60.8435	32.9869	69.7864	98.5107	121.0113	129.6524	27.8351	67.3693	18.6762	128.0433	24.5283	148.4784	73.079	21.6006
CD53|963	109.434	644.873	290.5175	301.9775	425.8755	193.113	217.7483	273.7958	157.2526	295.4092	567.7677	592.5022	489.1616	360.8247	791.481	127.0713	1313.6159	151.3208	647.8653	416.4428	77.1955
CD55|1604	1019.8113	1390.3832	2118.7287	634.109	1672.7068	2207.9945	4089.9786	368.7486	3254.8577	497.0799	1899.3261	765.8239	966.0532	1156.0137	2727.8062	2623.0889	1130.0271	2750.9434	738.8251	1018.8071	1933.4278
CD58|965	72.6415	91.368	72.498	156.8885	187.0247	142.5852	275.7845	283.3218	337.5508	87.2329	101.5059	75.6757	130.8793	164.2612	131.6962	84.9583	157.9802	58.4906	147.5867	110.6932	92.068
CD59|966	26924.5283	60872.962	43821.907	7697.1485	6682.9406	51341.7546	34889.2138	14120.9188	45559.8735	34645.9673	67092.1042	50884.0453	40499.7955	6575.945	49871.5636	50739.5404	30265.4644	51849.434	30657.8977	45339.6024	52383.4986
CD5L|922	68.8679	8.6071	2.1014	0	595.2493	0	0	14.1354	0.9038	2.957	8.9858	6.626	31.4928	0.6873	66.5001	0.7324	488.0072	0	20.5105	2.6867	0
CD5|921	7.5472	149.6317	19.9632	16.6066	51.075	11.0746	8.548	31.6509	9.0375	29.5705	40.6024	38.0122	60.9407	10.3093	31.7288	4.3944	51.9387	7.5472	80.7045	23.6432	2.1246
CD63|967	19229.2453	21576.0987	22126.6089	21283.5136	13854.4738	43653.2272	18101.4509	16542.0604	28710.7998	14226.0664	20558.4491	14841.4996	23679.7546	13234.3643	28647.6149	25853.7032	14063.1199	23490.9434	21043.0365	25081.1392	19390.2266
CD68|968	690.566	3012.1659	1114.7885	961.4334	1904.0466	825.7484	809.3578	781.4397	690.4654	1133.4368	2138.6139	3108.9799	1674.4376	976.2887	2552.6459	559.5532	1286.2038	607.5472	2652.1012	1634.6051	179.8867
CD69|969	19.8113	65.2156	36.7744	20.5397	75.1103	22.1492	50.8379	88.8069	110.2576	94.6256	72.5518	46.0331	54.8057	20.2749	188.1995	12.817	130.2074	8.6792	50.8305	36.0021	37.5354
CD6|923	16.9811	160.2251	40.9771	20.1027	40.184	20.0727	5.8486	55.3123	33.4388	52.3398	31.9494	97.2973	88.7526	13.0584	37.8138	10.6198	54.1028	8.6792	106.5656	27.942	4.9575
CD70|970	0.9434	4.6346	3.6774	0	1.1267	1.3843	0.4499	0	0.9038	0.2957	6.6561	1.7437	4.09	0	4.3464	0.7324	2.1641	0.3774	1.3376	2.6867	0
CD72|971	37.7358	52.3049	43.0785	71.2335	50.3239	21.457	19.3454	14.7499	13.1044	22.1779	58.5739	49.5205	38.4458	13.7457	35.2059	9.5212	47.2498	7.9245	40.1293	32.7781	2.8329
CD74|972	61671.6981	57039.477	32349.3564	44759.9694	40328.6076	29498.5292	52116.0724	38445.7248	36082.6932	29561.3218	64139.7787	71982.2145	31926.7894	43120.2749	93185.2657	27176.0505	50762.8494	43587.9245	107137.6658	90296.0774	11784.3484
CD79A|973	9.434	20.8557	132.3877	3.4961	12.0177	10.3824	0.8998	6.4531	1.3556	25.7263	21.9652	47.0793	98.5685	0	10.866	2.9296	57.349	4.1509	21.8482	15.583	3.187
CD79B|974	86.7925	40.0563	107.6963	16.1696	29.293	51.9121	25.194	15.3645	27.5644	54.7054	24.6277	51.6129	78.1186	29.8969	82.5818	18.6762	60.9558	28.3019	64.2069	32.7781	36.8272
CD7|924	66.0377	88.3886	43.6039	51.1308	33.0485	21.457	66.1343	38.104	70.9444	32.5275	77.8767	91.7175	49.8978	13.0584	89.9707	21.6058	38.2326	7.5472	88.2845	64.4815	13.4561
CD80|941	0.9434	15.228	4.7281	7.8663	20.6553	2.7686	8.9979	5.5312	4.5188	13.6024	41.268	16.3906	18.4049	1.7182	27.817	5.1268	7.2137	4.1509	20.5105	10.7469	0.7082
CD81|975	13085.8491	12321.4434	13071.1847	9617.8302	6896.2539	13020.9379	7353.9534	13179.3808	7734.2973	23533.6734	12752.4752	14528.6835	11015.1329	8082.8179	12620.2325	12357.411	24743.3724	10790.9434	17878.0515	15140.2472	9229.8159
CD82|3732	609.434	3599.7683	6672.9708	465.4212	742.841	1693.7186	712.6308	632.0965	3198.8251	6698.6028	6566.9357	3421.0985	1546.0123	682.1306	5942.4101	4168.8181	4491.6141	3700.3774	4185.9324	1694.7877	756.728
CD83|9308	1163.2075	681.9498	730.2338	636.2941	752.2298	922.651	1050.9504	2432.204	657.4785	381.4593	761.461	466.6085	504.7035	450.1718	1530.3705	617.779	987.1957	1260.7547	1893.6573	475.5508	464.2351
CD84|8832	7.5472	138.7073	23.1153	24.0358	84.1236	6.9216	31.9424	44.8644	10.845	82.5017	113.487	145.7716	121.0634	83.5052	64.3268	32.2256	79.7115	18.8679	70.0033	23.1059	4.9575
CD86|942	71.6981	206.2402	99.2908	131.9786	231.7153	76.1377	110.2238	129.6766	47.8988	94.6256	249.6048	177.1578	175.8691	151.89	278.1702	43.2116	114.3372	43.0189	255.4899	170.3385	16.6431
CD8A|925	16.0377	192.9984	53.5855	52.0048	59.7127	38.0689	8.9979	76.8226	15.8156	65.3508	45.9273	48.823	170.5521	14.7766	47.3759	5.8592	76.4653	9.434	156.0584	23.1059	11.3314
CD8B|926	7.5472	52.6359	9.9816	5.6812	8.2621	1.3843	1.7996	17.2083	12.2006	10.054	11.981	18.483	27.4029	2.7491	8.6928	3.2958	22.3625	1.8868	28.0905	5.3735	3.8952
CD93|22918	570.7547	1389.7211	3662.7266	1133.6174	2374.6127	981.4847	1589.0226	1031.8814	698.1473	1653.286	2566.2701	1521.5344	3578.7321	1804.4674	2642.6165	2170.0998	2116.5014	1540	2992.3085	947.8775	996.1048
CD96|10225	20.7547	98.32	18.9125	13.1105	27.4153	6.2295	22.0448	18.7447	16.7194	36.9631	60.5708	81.2554	94.4785	7.5601	30.8595	5.493	73.9405	9.434	63.3151	28.4793	8.1445
CD97|976	129.2453	340.3128	210.6646	233.3661	625.669	134.2793	114.2729	348.1601	107.5463	391.809	467.593	268.8753	419.2229	316.8385	359.448	156.3673	269.4319	154.3396	409.3189	302.5255	191.9263
CD99L2|83692	2406.6038	3347.182	2139.7426	1029.1708	1023.3781	2546.4613	801.2597	2365.2147	1646.1817	2073.4827	1867.7095	2070.0959	1987.3211	920.2749	1428.6646	1938.2953	1690.532	3677.7358	1926.2067	3573.3477	4483.3569
CD99|4267	416.0377	601.8373	798.0037	319.8951	454.0419	1016.7849	759.8695	804.7937	562.1329	346.8618	539.1464	563.5571	737.4233	282.1306	678.0398	149.7757	394.5897	336.2264	469.9588	372.9178	310.5524
CD9|928	14401.8868	18928.4118	44407.6701	3266.6885	2877.4763	23123.7238	10508.6042	3883.5369	18721.6448	31683.3001	23511.4402	23010.9852	20946.8303	2782.8179	58980.7671	41436.2355	20079.3508	54785.283	14238.3235	19139.1725	55569.051
CDADC1|81602	146.2264	144.9971	182.8211	494.7012	567.0829	240.8721	189.405	421.9098	162.6751	252.8277	246.9423	152.0488	136.1963	542.268	202.5426	195.1845	221.8215	359.2453	150.7078	255.7765	173.1586
CDAN1|146059	694.3396	271.4558	266.8768	346.553	219.6977	330.8531	154.3134	235.6918	251.6945	238.0424	283.2182	387.7942	314.5194	279.7251	265.5656	310.1712	195.8521	233.5849	381.2284	404.6212	377.8329
CDA|978	1678.3019	1148.7213	2249.015	11.7994	35.3018	166.8109	37.791	10.7552	2266.6064	1377.6891	329.8111	393.0253	380.3681	16.1512	380.7454	102.5359	1246.5284	9.0566	1479.4337	555.0779	53.4703
CDC123|8872	386.7925	522.9496	428.4844	769.1467	633.011	494.2031	659.8538	908.5473	721.6448	432.4359	576.181	556.6277	577.726	723.9072	562.8817	419.0973	489.7998	582.0943	510.4894	627.1789	547.1246
CDC14A|8556	550	433.6671	653.0076	89.5881	120.5521	257.484	1166.5729	70.9841	206.0551	574.2589	659.9551	575.7629	378.7321	113.7457	657.6116	464.7075	352.7502	693.5849	325.9391	319.1832	550.9915
CDC14B|8555	297.1698	853.7615	998.1613	548.4541	667.7307	639.557	817.9057	669.8932	1218.2558	787.7578	1403.4445	1093.2868	1252.7607	923.3677	942.3014	1036.3453	784.1298	636.2264	488.6858	566.3622	1410.4108
CDC14C|168448	0.9434	13.9038	15.7604	2.6221	11.6421	0	14.8465	7.375	11.2969	16.5595	22.6308	12.5545	20.4499	18.2131	8.2582	23.0706	12.624	12.4528	4.9047	4.2988	22.6629
CDC16|8881	1242.4528	629.645	519.5692	1520.3758	1285.1375	780.7579	1462.6026	1513.0983	743.7867	670.6587	994.7583	898.6922	675.2556	1423.0241	686.2979	560.2856	725.3381	1244.5283	669.7135	1406.2332	639.8725
CDC20B|166979	26.4151	297.2772	84.0557	0	0.3756	0	0.4499	0	4.0669	0.5914	312.5052	27.5501	2.863	1.0309	430.7291	164.0575	1.0821	116.2264	1.3376	99.9463	33.2861
CDC20|991	70.7547	65.2156	25.2167	34.9612	24.7864	28.3786	38.2409	22.1249	60.0994	12.7153	54.5802	13.6007	44.1718	32.646	50.4183	83.1273	12.624	35.0943	21.4023	120.9027	60.9065
CDC23|8697	636.7925	858.3961	563.1731	814.5963	868.2753	616.0235	876.3919	679.1119	641.211	644.3409	872.2855	767.2188	624.5399	926.4605	795.8274	873.3864	563.7511	820.3774	531.9362	915.0994	1110.8357
CDC25A|993	22.6415	39.7252	50.4334	102.6986	54.0794	25.61	10.7974	64.8383	77.7225	34.8932	57.2427	29.9913	59.7137	101.3746	56.0687	45.775	33.183	26.0377	31.6576	37.6142	47.4504
CDC25B|994	632.0755	358.1892	992.3825	560.2535	342.1275	587.6449	239.793	1002.6888	346.5883	455.9769	528.8294	499.3897	288.7526	362.1993	582.4188	484.8485	402.5248	413.2075	501.6163	648.0387	370.7507
CDC25C|995	4.717	5.9588	6.3042	3.0591	3.38	2.7686	3.1493	1.2322	4.9706	1.4785	5.9938	0.6975	2.454	3.7801	11.3007	10.986	1.4427	4.1509	4.0129	6.4481	13.8102
CDC26|246184	33.0943	80.3774	58.6761	156.3946	65.3648	30.9119	53.0964	66.9893	95.8337	44.9471	111.7863	65.6356	75.2556	93.8488	103.8531	94.4795	72.1371	106.2151	64.6126	25.1585	109.2882
CDC27|996	551.8868	701.8125	717.6254	724.1342	1387.2876	467.2089	1385.221	893.2934	580.6597	902.1956	735.5021	836.6173	912.4744	1194.5017	727.1542	727.2727	854.1028	764.5283	754.8768	456.7437	713.1728
CDC34|997	1939.6226	981.2133	1227.213	1538.2935	793.165	2812.9434	899.3364	906.1996	1187.9801	858.727	1052.3338	1246.0331	1089.1616	823.7113	1278.7135	1032.6833	565.9152	990.566	703.6005	2574.9597	1130.6657
CDC37L1|55664	397.1698	404.2043	296.2963	704.0315	897.1928	418.0654	326.6224	464.6232	401.2653	191.3211	435.3108	328.5092	192.638	758.4192	505.0527	428.8199	387.7367	621.5094	214.4688	191.295	365.7932
CDC37|11140	4603.7736	2877.4311	3190.4387	3139.9541	2081.6825	5018.1692	2291.3058	2622.1095	2937.1893	3022.1039	3071.4702	2792.3278	2945.6033	1974.5704	3616.2121	2860.3863	2810.8206	2961.8868	2353.8067	3520.1505	3703.6119
CDC40|51362	190.566	402.549	410.2968	636.7311	851.751	222.1838	760.7693	1102.8655	229.1008	530.7903	452.2839	489.9738	573.8241	874.9141	368.1408	444.2003	480.0721	493.9623	440.9765	261.1499	441.2181
CDC42BPA|8476	918.8679	797.153	1935.9075	1304.0533	356.0229	1538.6745	2157.6875	2468.157	1526.8866	1520.2188	1403.7774	1320.3139	1026.5849	2596.5636	1538.6287	2517.2572	2635.8882	1509.0566	612.6407	916.1741	1495.3966
CDC42BPB|9578	4792.4528	6123.9758	6965.0644	2594.1221	3449.4414	4863.8173	7047.5762	5869.8625	5946.6787	6505.8032	7091.7714	7921.1857	6470.3476	3355.6701	4970.9877	6984.5281	5671.7764	5319.6226	7042.2472	6536.8082	6830.7365
CDC42BPG|55561	290.566	763.3866	646.7034	706.2165	1072.1998	528.8112	2029.9179	1669.2018	1811.1161	1296.0745	544.4713	1357.6286	1082.6176	1431.6151	654.5692	912.936	803.6069	894.717	1525.3595	1249.3283	955.7365
CDC42EP1|11135	2328.3019	2044.5254	1753.0864	269.2014	1821.4252	6662.7444	978.0677	893.2934	3915.4993	2985.4365	728.846	3191.6303	1716.9734	700.6873	2436.1621	1698.8007	5665.284	2796.2264	5679.6344	3233.7453	1270.8924
CDC42EP2|10435	317.9245	164.1976	490.1497	1129.6843	276.7815	295.5529	71.9829	396.712	284.6814	190.7297	137.449	83.6966	106.7485	383.5052	222.5361	217.5227	142.4707	106.7925	951.0645	230.5212	265.9348
CDC42EP3|10602	377.3585	295.2909	507.4862	362.7226	992.5829	277.5567	264.5372	433.2796	234.5233	330.3024	272.2356	257.0183	308.7935	946.0481	267.3041	266.9596	485.4824	249.0566	358.9343	212.7888	418.2011
CDC42EP4|23580	605.6604	367.4584	884.1608	881.0226	727.819	530.8877	527.2748	1013.1367	316.7646	608.8564	260.5874	607.1491	360.3272	896.2199	652.8306	684.7936	760.3246	696.6038	1048.2666	664.6964	567.6346
CDC42EP5|148170	85.8491	28.8008	51.4841	28.406	48.4462	44.9905	26.9936	21.203	25.7569	15.3767	47.2585	25.109	34.7648	34.0206	72.585	16.1128	25.6087	21.8868	40.5752	62.8694	14.8725
CDC42SE1|56882	1060.5472	1351.512	1049.0412	1359.3008	2391.6402	917.6259	1901.5049	1955.6242	2151.3556	1685.8343	1051.2455	2088.9137	1791.5583	1956.268	1005.7981	1132.1981	2222.8566	1120.7396	2169.4527	1632.3052	1251.1827
CDC42SE2|56990	2078.3019	2609.9479	3396.9004	1439.091	1493.1931	1572.5904	1903.048	1549.0512	1896.5206	2486.5824	2478.742	2149.6077	1620.8589	1698.6254	2452.6785	2894.0767	2598.0162	3059.2453	1742.9495	2025.2552	3150.8499
CDC42|998	2550	3452.4539	3723.6669	4232.9291	4931.3679	2563.7654	5767.1803	5096.7197	4821.0574	4084.8673	3888.8427	4503.9233	4436.4008	4634.0206	3858.3071	3323.9952	5454.2831	3770.1887	4718.3146	4205.266	3435.9065
CDC45|8318	5.6604	14.2349	8.9309	11.7994	16.1487	11.7667	11.6972	6.4531	3.1631	4.4356	19.3028	1.0462	16.3599	27.4914	10.866	33.6904	19.8377	13.9623	8.0259	15.0457	17.3513
CDC5L|988	276.4151	588.5955	598.3714	687.4249	713.548	451.2892	904.2852	924.3297	416.629	831.8178	704.5511	639.5815	642.1268	771.4777	703.2489	633.8918	758.1605	892.4528	728.124	396.0236	657.2238
CDC6|990	14.1509	16.5522	23.6407	21.4137	49.1973	4.153	15.7463	26.427	8.1338	7.984	25.2933	8.7184	26.1759	87.2852	23.4706	29.6622	36.0685	18.1132	12.0388	23.6432	17.7054
CDC73|79577	391.5094	523.711	512.2143	750.3551	1181.1098	286.5548	897.0869	828.7624	599.6385	728.9125	686.2468	554.49	649.0798	1207.2165	568.0756	596.9056	774.0307	704.9057	518.5598	367.5443	626.7705
CDC7|8317	16.9811	72.4986	27.8434	55.0639	131.0675	24.9178	33.742	58.3852	34.3425	40.5116	69.2237	39.7559	38.4458	129.5533	37.3791	50.5356	24.8873	43.0189	28.9823	29.0167	58.0737
CDCA2|157313	1.8868	21.1868	11.5577	9.1773	4.8822	4.8451	10.7974	5.5312	11.2969	8.8711	8.653	7.3235	24.1309	10.6529	14.3431	43.944	11.9026	6.0377	5.7965	26.8673	18.7677
CDCA3|83461	38.4245	26.9602	10.943	39.764	30.4197	33.9159	13.8162	19.1258	25.8473	8.6996	22.8738	5.3078	41.7301	17.1787	25.9394	49.6054	16.3138	19.2453	24.6884	72.0043	41.4306
CDCA4|55038	184.9057	124.1414	102.9682	84.3439	63.4682	130.1263	61.1855	47.0154	129.6882	107.6366	108.8277	138.7969	153.7832	65.9794	81.2778	116.0853	82.2362	62.2642	191.283	228.3718	126.4164
CDCA5|113130	30.1887	98.32	77.7515	17.0436	37.9307	43.6062	35.0917	33.802	53.3213	45.2428	81.8704	35.2223	109.6115	47.7663	62.1536	156.7335	52.2994	50.9434	57.5187	116.604	113.3144
CDCA7L|55536	375.4717	226.7318	48.6577	6.5552	17.6509	175.0337	257.3299	207.3873	59.5752	74.4762	335.2226	191.7629	221.6483	11.677	307.0129	250.4733	68.1515	249.8	237.1196	420.6824	333.8916
CDCA7|83879	3.7736	17.8764	15.7604	1.311	7.511	4.8451	11.2473	2.151	4.0669	5.3227	19.6356	5.5798	20.4499	6.5292	16.5164	13.5494	39.6754	4.5283	8.0259	10.2096	12.7479
CDCA8|55143	20.7547	40.7184	22.59	25.3469	22.1575	22.8413	24.2942	25.8124	42.0244	17.7423	39.9368	20.2267	49.0798	28.866	19.9935	54.5638	22.0018	28.6792	31.6576	92.9608	58.7819
CDCP1|64866	1833.9623	5614.1687	1760.9666	659.0189	1896.5355	4813.2895	2896.4121	2066.2211	1505.6484	337.3993	3695.1493	397.5588	97.7505	1226.4605	3369.7707	6427.5382	314.1569	4437.3585	259.9487	729.1779	5006.0198
CDCP2|200008	0	0	1.576	0.437	0	0.6922	0.4499	0.3073	0	1.4785	2.6625	1.3949	1.227	0	0.4346	0	2.1641	0.7547	1.3376	1.0747	0
CDH10|1008	0	0	0	0.874	1.1267	0	0	0.9219	0	0	0	0	0	0	0	0	0.7214	0	0	0.5373	0
CDH11|1009	23.5849	75.1469	119.7794	20.9767	147.5918	17.9962	116.0724	23.9687	6.3263	24.5435	106.498	47.7768	177.5051	59.1065	56.5033	45.4088	79.3508	39.6226	105.228	77.9151	33.9943
CDH12|1010	42.4528	173.1358	1.0507	0.437	0	69.9083	1.3497	1.2292	5.4225	1262.3642	230.302	167.7419	238.0368	0	173.8564	406.1155	1.0821	554.3396	179.2442	167.1145	248.2295
CDH13|1012	116.9811	161.8803	798.529	70.3594	191.5313	171.656	291.5308	80.8174	166.742	257.559	256.9265	69.7472	793.865	122.3368	512.007	228.1425	281.3345	156.2264	210.9018	138.0978	333.5694
CDH15|1013	26.4151	1.6552	0.5253	27.532	0.3756	14.5354	7.1983	2.4583	27.5644	22.4736	20.3012	25.109	20.8589	0.3436	11.7353	4.7606	75.0225	7.9245	32.5493	34.3901	0.3541
CDH16|1014	19497.1698	6969.1302	15172.5768	60454.0588	40959.9099	39557.0168	22496.0072	72158.5619	15150.0226	27117.0252	1492.9695	14180.9939	14300.6135	47646.7354	16502.0102	34175.5928	31483.4986	21098.8679	41780.0647	34069.3176	34852.3371
CDH17|1015	1.8868	6.9519	1.0507	4.8072	0.7511	4.153	3.1493	3.0729	1.3556	68.0121	6.6561	1.3949	1.636	3.4364	4.781	1.4648	1.0821	0	3.1212	11.2843	0.3541
CDH18|1016	0	0	0	38.8944	36.8041	2.0765	1.3497	0	0	0.2957	0	0.3487	0	83.1615	0.4346	0.3662	0.3607	0.3774	0	2.1494	0
CDH19|28513	1.8868	2.9794	0	0	0	0	149.3645	0	99.8644	1.1828	284.8823	13.9494	0	1.3746	597.1966	2.5634	0.3607	0.7547	0	33.8528	8.4986
CDH1|999	7282.0755	13965.737	12412.3982	3349.7214	7687.9166	4047.7591	13898.999	2550.8182	16458.2015	25396.3185	12224.6443	15857.7158	10813.0879	9594.5017	9737.2596	14474.4118	28217.1326	10501.8868	19028.8708	17418.0548	10908.2861
CDH20|28316	0	2.9794	7.3549	3.9331	2.2533	0.6922	1.7996	1.2292	0.4519	48.4956	5.6577	6.626	2.045	5.8419	2.1732	2.1972	1.4427	10.9434	11.147	4.2988	2.4788
CDH22|64405	78.3019	282.3802	8.4056	0	0	2.7686	0	0	3.1631	14.7852	199.351	49.1718	2.045	0	19.5588	2.1972	2.1641	0.3774	32.5493	106.3944	25.4958
CDH23|64072	15.0943	11.2555	27.3181	9.6143	10.5154	7.6138	6.7484	13.8281	5.8744	8.8711	13.6451	13.9494	12.2699	10.6529	4.781	2.1972	14.4274	1.8868	12.0388	6.9855	0.7082
