TCGA-KL-8327-01A-11R-2315-07	TCGA-KL-8329-01A-11R-2315-07	TCGA-KL-8332-01A-11R-2315-07	TCGA-KM-8439-01A-11R-2315-07	TCGA-KM-8441-01A-11R-2315-07	TCGA-KM-8476-01A-11R-2315-07	TCGA-KM-8477-01A-11R-2315-07	TCGA-KM-8639-01A-11R-2403-07	TCGA-KN-8422-01A-11R-2315-07	TCGA-KN-8423-01A-11R-2315-07	TCGA-KN-8424-01A-11R-2315-07	TCGA-KN-8425-01A-11R-2315-07	TCGA-KN-8430-01A-11R-2315-07	TCGA-KN-8437-01A-11R-2315-07	TCGA-KO-8403-01A-11R-2315-07	TCGA-KO-8406-01A-11R-2315-07	TCGA-KO-8410-01A-11R-2315-07	TCGA-KO-8411-01A-11R-2315-07	TCGA-KO-8413-01A-11R-2315-07	TCGA-KO-8415-01A-11R-2315-07	TCGA-KO-8417-01A-11R-2315-07
A2LD1|87769	22.5	143.62	50.0972	106.4569	80.0714	37.8197	138.783	73.258	15.8202	39.2371	53.2457	52.9939	61.9427	98.9759	36.675	22.6421	124.0036	48.7811	19.592	46.3461	27.9497
A2ML1|144568	0	0.6621	0	3.4961	1.8778	0	0.4499	1.5365	0.4519	0	0.3328	0	0	34.3643	0	0	0	0	0	0	0
A2M|2	5614.5943	9216.2013	16876.228	5728.2246	12338.6499	10031.2926	7559.9955	4931.5879	5520.0452	7768.0994	13489.5183	11399.7559	10965.9632	11071.4433	15502.7187	6134.128	6959.3868	7221.4642	14414.7007	6559.7636	5835.9632
A4GALT|53947	886.7925	148.9696	270.0289	1535.6714	743.2166	181.3463	684.7374	79.8955	565.7479	535.2258	207.3384	852.3104	242.9448	594.5017	227.7518	73.9724	1192.7863	99.2453	1971.6865	445.4594	557.3654
A4GNT|51146	0	0	0	0.437	0.7511	0	0	1.2292	0.4519	0	0.6656	0.6975	0.409	0.6873	0	0	0	0	0	0	0
AAA1|404744	0	0	0	0	0	0	0	0	0	0.8871	0.3328	0	0	0	0	0	0.7214	0	0	0	0.3541
AAAS|8086	1354.717	1090.7887	653.0076	866.6011	567.0829	1573.2826	622.2022	554.9666	611.8391	762.0315	928.5298	658.0645	914.9284	597.5945	847.1151	771.9491	573.1289	899.2453	704.0464	902.2031	1125
AACSL|729522	0	0.331	0	1.7481	0	0	0	5.2239	0	0	0	0	0	0.6873	0	0	0	0	0	0	0
AACS|65985	411.3208	1035.1734	490.1497	725.8822	664.3508	698.3907	1028.4557	610.5862	1835.9693	880.9049	685.914	892.0663	1413.0879	677.6632	482.0167	864.2314	976.7358	632.4528	695.5746	1220.3117	649.7875
AADACL2|344752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3|126767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4|343066	0	0	0	0	0.7511	0	0	0	0	0	0.3328	0	0	0.3436	0	0	0	0	0	0	0.3541
AADAC|13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6873	0.4346	0	0	0	0	0	0
AADAT|51166	36.7925	96.0026	219.0701	158.1995	164.4916	31.1473	91.3283	2.151	36.6019	239.2253	76.2127	116.4778	222.9039	193.8144	85.1896	54.5638	467.4482	53.5849	283.5804	40.3009	69.7592
AAGAB|79719	1364.1509	1704.2125	1931.7048	1153.2831	1385.4098	1414.7776	1219.2104	1519.2441	1309.9864	838.6191	1651.7181	1723.4525	1640.8998	1523.0241	1768.1191	1789.252	702.9757	1931.3208	1454.0185	1732.4019	1652.6204
AAK1|22848	733.9623	1033.5182	1216.7061	1082.0496	2450.0986	1005.7103	1532.3361	1496.1973	2389.0646	1114.216	1039.0215	1047.9512	1592.638	2344.3299	1184.3964	1063.0779	1846.3481	1160.3774	821.3131	750.1343	899.7875
AAMP|14	1283.9623	1596.9544	1180.4571	2785.5348	1947.9861	1508.9116	1812.6195	2595.9899	1961.5906	1242.2562	1570.5134	1291.0201	1281.3906	2231.6151	1453.0045	1214.6846	2015.1488	1372.8302	1448.6679	1638.3665	1453.6119
AANAT|15	0.9434	1.6552	0.5253	0	0	2.0765	0	0.9219	0	0	0.3328	0.6975	0	0	0.4346	0.3662	0	0	0.8918	1.0747	0
AARS2|57505	562.2358	534.9665	376.1439	761.7	626.405	484.5129	567.2838	990.6553	345.6801	481.0823	408.0007	476.0209	420.8303	651.1959	470.7074	467.6188	388.0721	429.4226	459.7035	420.2042	560.8994
AARSD1|80755	779.2453	268.1453	271.6049	661.641	477.3261	626.406	487.6842	427.1337	238.1383	255.7847	311.174	291.8919	233.5378	474.5704	406.3892	282.7062	246.7087	389.434	383.4578	429.8764	331.7989
AARS|16	2943.3962	4623.3551	4533.2283	5948.6507	4880.2929	4073.3691	2737.1499	3375.2785	6630.366	4275.597	5042.0168	2922.4063	6253.9877	4478.0069	7631.4245	3068.3878	4832.8224	2729.434	7518.0025	8046.7491	3363.6686
AASDHPPT|60496	630.1887	1008.3589	1213.554	1035.289	1131.1389	828.517	927.2298	1138.4897	844.103	1503.0265	1165.7143	1218.7585	1260.1227	1229.5533	1220.4716	1084.6288	1146.6186	1430.1887	1037.5655	878.5008	1056.9759
AASDH|132949	221.6981	298.6013	198.0562	166.0658	298.188	143.9695	331.5713	216.3325	230.4564	463.0739	322.8222	342.4586	238.4458	263.2302	317.2878	371.6928	369.7024	354.3396	236.7629	159.5916	304.8867
AASS|10157	476.4151	73.4917	69.3459	366.2187	334.992	725.385	35.5416	157.9473	58.2919	80.136	280.5558	63.8187	65.0307	428.1787	470.7161	357.0448	104.5987	575.0943	100.7691	55.8839	361.5439
AATF|26574	961.3208	487.6272	509.0623	1845.5151	1163.4588	645.7865	812.0571	1177.8444	565.7479	562.135	435.9764	483.3479	572.5971	1267.0103	600.6737	440.9045	487.6465	481.8868	596.1431	704.9973	504.2493
AATK|9625	43.3962	15.559	112.4245	20.1027	35.6774	205.5719	46.339	15.9791	17.6231	17.1509	29.3901	17.0881	95.7055	31.6357	49.5491	32.958	27.0514	15.8491	78.921	66.0935	11.3314
ABAT|18	255.6604	205.247	114.0005	1123.129	480.706	403.53	134.0682	301.4519	315.4089	113.8464	295.5321	124.15	251.5337	1122.6804	359.0134	307.2416	135.6177	2155.0943	556.4597	159.0543	478.7535
ABCA10|10349	72.6415	13.9105	5.2535	27.532	17.6509	16.6119	5.8486	37.4987	4.0669	7.3926	6.3233	15.6931	19.6319	14.433	16.951	12.4508	21.2913	7.9245	10.7011	15.0457	5.6657
ABCA11P|79963	94.3491	83.4164	44.0662	112.5052	112.0308	90.2094	86.7934	74.2475	74.5368	129.4182	89.3019	143.2537	68.863	124.323	93.8477	76.0414	96.6276	99.5585	128.8195	72.6975	63.102
ABCA12|26154	5.6604	8.2761	1.0507	1.311	240.353	3.4608	1.3497	22.1249	37.0538	1.1828	11.3154	1.0462	1.636	238.1443	46.9412	3.2958	0.3607	3.3962	280.9051	4.8361	0.3541
ABCA13|154664	787.7358	2.9794	4752.2984	0.437	0	14.5354	0	0	6.3263	37.5545	3.3281	1.7437	0.818	0.3436	74.7582	20.5072	1.8034	16.9811	25.4152	3.7614	4.6034
ABCA17P|650655	0.9434	12.9107	1.0507	7.8663	6.7599	4.8451	0.4499	6.4531	1.8075	9.7583	3.6609	3.1386	6.135	8.5911	11.3007	11.7184	2.8855	3.7736	1.7835	10.2096	9.5609
ABCA1|19	865.0283	2016.006	869.9711	303.7256	523.8832	701.8515	1211.9897	967.3504	826.028	1019.8655	2361.1315	1137.8936	968.9162	633.6495	1652.4742	1627.747	407.5744	837.7132	827.9835	757.1198	625
ABCA2|20	2766.0377	7097.9061	4013.1337	2485.3054	2055.3939	4317.702	4436.3964	5390.1821	9808.8568	5261.7728	5363.8406	6131.4734	4833.5378	2411.6838	3689.2318	4119.0149	3840.9378	2887.5472	2778.2856	2720.5803	3653.6827
ABCA3|21	613.2075	1724.0751	828.4739	578.1711	559.1963	921.2667	656.3941	1744.488	1987.3475	1187.5508	564.4396	1264.8649	1426.9939	550.1718	610.6704	1416.8269	720.2885	455.8491	922.0823	1543.7937	1698.3003
ABCA4|24	4.717	1.9863	2.6267	2.1851	2.6289	0	4.049	2.4583	0.9038	2.6613	6.3233	4.8823	2.863	1.3746	11.7353	4.7606	6.853	0.7547	3.567	5.9108	3.187
ABCA5|23461	2546.2264	979.2204	1001.8387	463.2361	749.9765	927.4961	1064.4472	1344.0793	380.479	1094.4038	1198.4358	1070.2703	770.1431	773.5395	1293.4913	1318.6853	1408.826	1084.1509	783.8591	535.7335	1032.2238
ABCA6|23460	15.0943	4.3036	5.2535	17.9176	49.9484	2.0765	26.5437	29.4999	0.4519	3.8442	4.9921	11.5083	13.0879	32.3024	4.3464	7.324	15.8702	8.6792	29.4282	4.8361	2.8329
ABCA7|10347	268.8679	401.5559	402.4166	533.1585	408.6001	230.4897	644.247	839.5176	472.2097	388.5562	419.6689	748.3871	267.4847	654.2955	227.3172	285.2696	388.4581	214.3396	314.7921	480.3869	231.5864
ABCA8|10351	12.2642	8.6071	20.4886	93.5212	295.9347	26.9943	51.7377	81.7393	3.1631	66.2379	1.664	58.5876	7.362	206.1856	0	34.4228	200.1803	75.0943	70.4492	1.0747	7.7904
ABCA9|10350	12.2642	1.3242	2205.4111	27.969	60.8394	4.8451	4.4989	70.6768	4.9706	62.098	0	6.2772	7.362	39.5189	2.1732	2.9296	37.5113	6.4151	78.921	2.1494	1.0623
ABCB10|23456	80.1887	201.9366	229.0517	335.6277	483.3349	110.0536	428.2983	317.7383	215.5445	509.7952	247.2751	308.6312	341.9223	585.9107	158.2093	217.8889	415.8702	149.0566	338.4238	150.9941	212.8187
ABCB11|8647	0	0	0	0	0	0	0	0.9219	0	1.1828	0	0	0.409	0	0	0	0	0	0	0.5373	0.3541
ABCB1|5243	16.9811	50.3186	79.8529	1656.7246	1108.2527	17.304	12.597	19.9739	24.8531	55.2968	126.1336	23.3653	101.8405	1216.1512	129.0883	4.7606	32.4617	3.7736	32.9952	9.1349	20.8924
ABCB4|5244	5.6604	1.3242	11.0323	24.9099	10.1399	1.3843	5.3987	3.0729	10.3931	13.6024	8.3202	1.3949	11.8609	16.1512	35.2059	0.3662	11.5419	3.3962	11.147	5.3735	3.5411
ABCB5|340273	0.9434	0.331	0	0	0.3756	0.6922	0	0.3073	0	0.2957	7.3217	1.0462	0	0.3436	4.3464	1.0986	0	0	0	1.0747	0.3541
ABCB6|10058	132.5943	90.8417	86.6089	83.2427	248.4499	69.1815	78.2364	669.4722	107.4108	98.1681	66.6811	108.5022	72.5808	88.8797	96.2425	26.5971	90.4058	49.2075	98.2365	149.6185	54.1962
ABCB7|22	445.283	677.6463	487.523	552.8242	848.371	547.4996	1011.8097	557.4249	536.8278	854.2914	710.8744	777.6809	815.1329	792.0962	767.5758	959.8096	686.0234	1117.7358	611.3031	484.6857	800.2833
ABCB8|11194	1324.5283	822.6434	543.2099	1248.5524	1311.8017	1312.3378	1249.8032	1646.155	1272.9327	873.8079	842.333	1191.2816	624.1309	1075.6014	796.2621	1046.5989	574.211	770.9434	1031.769	1216.5502	964.9433
ABCB9|23457	320.8208	327.3061	551.668	339.6657	177.6997	346.399	71.6365	379.3593	573.8319	378.4904	237.8834	251.163	207.2924	286.11	168.6841	186.0295	247.7944	223.4717	172.4401	334.2719	285.1558
ABCC10|89845	508.4906	171.4806	309.43	292.8002	277.9082	308.0118	313.1256	559.2686	303.6602	305.1674	234.6285	313.5135	254.3967	325.4296	279.9087	246.4524	278.4491	158.4906	288.4851	260.0752	250
ABCC11|85320	0	1.6552	1.576	0.874	4.8822	0	1.7996	3.0729	1.8075	1.4785	7.9874	1.7437	2.863	6.5292	1.3039	1.831	1.4427	1.1321	0.8918	0	2.1246
ABCC12|94160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4459	0	0
ABCC13|150000	0	0	3.6774	0	6.3844	0.6922	0	0	0	0	0.3328	1.0462	0.818	0	0.4346	0	0	0	22.7399	0	0
ABCC1|4363	2558.4906	428.0394	872.0778	516.552	745.4699	887.3508	1404.5664	593.3779	478.9878	1655.0602	612.031	1243.592	483.8446	961.8557	854.504	1170.3744	1338.1425	784.5283	1172.6675	915.6368	358.0028
ABCC2|1244	5.6604	1.6552	1.0507	3.4961	2.6289	2.0765	0.8998	2.151	2.2594	3.8442	3.6609	2.4412	10.2249	1.7182	1.7386	2.5634	2.1641	1.8868	3.567	1.612	4.9575
ABCC3|8714	73.5849	147.6455	14.1844	27.969	58.9616	63.6788	740.974	45.479	30.7275	35.7803	46.5929	54.7515	48.2618	23.3677	43.4641	16.1128	132.7322	12.4528	111.4703	56.9586	4.6034
ABCC4|10257	225.4717	1761.8141	1542.9472	425.6528	433.3865	144.6617	6396.5808	569.1019	1118.8432	1463.7392	3538.0647	2657.367	1523.9264	854.2955	601.1083	812.2311	4020.5591	1429.0566	1483.8925	1091.8861	1889.8725
ABCC5|10057	6304.717	3934.4534	2374.0478	1325.03	1220.5427	8554.4212	4330.6715	2466.6206	4041.5725	1485.9171	3699.8086	2370.0087	2256.8507	2103.7801	3018.1463	4333.2418	1592.7863	2471.6981	1394.7163	1692.101	3697.5921
ABCC6P1|653190	0.9434	0	0	5.6812	4.1311	0	0	8.9114	0	8.2797	0.3328	1.7437	10.6339	0.6873	0.8693	0.3662	6.1317	0.3774	0.4459	2.1494	1.0623
ABCC6P2|730013	2.8302	2.6483	1.576	55.0639	18.0265	5.5373	3.5991	80.5101	6.7781	31.049	3.6609	19.1805	45.8078	15.4639	2.6078	9.8874	20.1984	1.1321	5.3506	10.2096	0.7082
ABCC6|368	9.434	5.2967	5.7788	73.4186	67.9748	8.3059	9.8976	170.8535	13.5563	304.2803	12.9794	84.3941	150.5112	33.3333	6.9543	61.1554	132.7322	1.1321	16.4976	52.1225	4.6034
ABCC8|6833	1.8868	0.331	14.7097	1.7481	3.38	2.7686	0.4499	1.8437	99.4126	0.8871	2.3296	0.6975	0.818	34.3643	1.7386	0.7324	2.5248	2.2642	4.4588	0.5373	1.0623
ABCC9|10060	108.4906	139.7004	117.1526	33.2132	81.1191	74.0613	165.5607	33.802	128.7845	133.6586	15.3091	405.5798	72.3926	115.8076	69.9772	137.3249	415.8702	129.8113	193.9583	251.4777	74.7167
