TCGA-KL-8324-01A-11R-2315-07	TCGA-KL-8325-01A-11R-2315-07	TCGA-KL-8328-01A-11R-2315-07	TCGA-KL-8330-01A-11R-2315-07	TCGA-KL-8331-01A-11R-2315-07	TCGA-KL-8333-01A-11R-2315-07	TCGA-KL-8337-01A-11R-2315-07	TCGA-KL-8340-01A-11R-2315-07	TCGA-KL-8342-01A-11R-2315-07	TCGA-KL-8346-01A-11R-2315-07	TCGA-KM-8438-01A-11R-2315-07	TCGA-KM-8442-01A-11R-2315-07	TCGA-KM-8443-01A-11R-2315-07	TCGA-KN-8418-01A-11R-2315-07	TCGA-KN-8419-01A-11R-2315-07	TCGA-KN-8421-01A-11R-2315-07	TCGA-KN-8428-01A-11R-2315-07	TCGA-KN-8431-01A-11R-2315-07	TCGA-KN-8432-01A-11R-2315-07	TCGA-KN-8434-01A-11R-2315-07	TCGA-KN-8435-01A-11R-2315-07	TCGA-KN-8436-01A-11R-2315-07	TCGA-KO-8407-01A-11R-2315-07	TCGA-KO-8409-01A-11R-2315-07	TCGA-KO-8414-01A-11R-2315-07
?|8225	692.6692	619.5402	1004.9841	747.1415	1495.6967	797.8187	1639.4656	1330.2531	811.8545	1710.2689	680.1764	1037.7613	778.4232	503.5654	1043.7209	621.6723	636.5559	607.2727	666.1027	1314.5676	956.6273	1155.614	861.3905	1108.0332	826.6342
?|90288	0	0.3338	1.3593	2.6135	1.2307	2.3135	1.8971	3.3603	0.8981	0.4299	0.4851	1.3486	0.8299	0.6791	0	2.9996	3.6254	0.9091	0.564	1.2232	1.3879	3.3442	2.6235	0.6925	0.406
A1BG|1	6.5789	8.0113	33.5025	66.0732	15.359	17.8237	15.9431	12.6011	21.0912	9.4585	20.3762	47.7512	61.8465	16.764	11.6279	424.1582	16.6163	28.9727	15.1382	40.9905	5.9715	24.5243	165.317	17.313	65.7288
A1CF|29974	0.4699	1.3352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406
A2BP1|54715	0.4699	5.0071	124.6035	0	0	0	2.2765	1.2601	0.449	5.5891	0	0	0	296.4346	0	697.7878	0.3021	2.7273	1.128	0	19.084	8.5463	4.8098	0	3.2481
A2LD1|87769	84.7838	30.9536	33.3303	50.3169	33.6634	35.297	49.036	33.0358	91.3336	95.1138	69.1723	69.6932	43.473	19.5586	114.8326	24.7469	74.2356	48.6545	49.2611	28.5299	55.1076	48.1828	30.2011	49.1482	29.123
A2ML1|144568	0	0	0.4531	0	0	0.661	0.3794	0.8401	0	1.7197	1.4554	0.3372	0	1.0187	0.4651	3.7495	22.0544	0	1.128	0.4077	0	0.3716	0	0	0.812
A2M|2	6107.5799	4886.1762	2618.7087	2691.9079	3049.5557	24507.927	5122.0873	8037.2362	14412.1015	4234.8632	17206.6582	5178.621	2475.8714	5294.652	9417.6465	1024.5144	4383.6405	9348.9455	7572.9836	13592.0172	7349.712	15231.0596	12110.822	5812.1745	5948.3435
A4GALT|53947	338.3459	63.089	154.9615	232.6037	439.766	582.996	141.1435	175.1549	629.5465	93.7251	679.6913	211.0587	92.9461	136.8421	2849.3023	2040.4949	90.6344	363.6364	1110.5471	722.5229	91.95	122.2498	953.2138	1925.2078	792.5294
A4GNT|51146	0	0	0.4531	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0	0	0.8155	0.694	0.3716	0.4373	0	0
AAA1|404744	0	0.3338	0	0.3267	0	0	0	0.42	0	0	0	0	0	0.3396	0.4651	0	0.3021	0.9091	0	0	0	2.2295	0	0	0
