TCGA-KL-8324-01A-11R-2315-07	TCGA-KL-8325-01A-11R-2315-07	TCGA-KL-8328-01A-11R-2315-07	TCGA-KL-8330-01A-11R-2315-07	TCGA-KL-8331-01A-11R-2315-07	TCGA-KL-8333-01A-11R-2315-07	TCGA-KL-8337-01A-11R-2315-07	TCGA-KL-8340-01A-11R-2315-07	TCGA-KL-8342-01A-11R-2315-07	TCGA-KL-8346-01A-11R-2315-07	TCGA-KM-8438-01A-11R-2315-07	TCGA-KM-8442-01A-11R-2315-07	TCGA-KM-8443-01A-11R-2315-07	TCGA-KN-8418-01A-11R-2315-07	TCGA-KN-8419-01A-11R-2315-07	TCGA-KN-8421-01A-11R-2315-07	TCGA-KN-8428-01A-11R-2315-07	TCGA-KN-8431-01A-11R-2315-07	TCGA-KN-8432-01A-11R-2315-07	TCGA-KN-8434-01A-11R-2315-07	TCGA-KN-8435-01A-11R-2315-07	TCGA-KN-8436-01A-11R-2315-07	TCGA-KO-8407-01A-11R-2315-07	TCGA-KO-8409-01A-11R-2315-07	TCGA-KO-8414-01A-11R-2315-07
DNMT3L|29947	0.9398	0	0	0	0	0.3305	0.3794	0	0	0	0	0	0	0	0	0	0	0	0	0	0.347	0	0.4373	0	0.406
DNPEP|23549	1484.4925	1155.6294	1258.7222	1263.966	1250.7897	1427.4147	1191.7522	1202.9823	1256.8478	1443.7112	1622.8174	1362.7782	1012.0332	1069.6095	1608.3721	1925.3843	519.6375	1918.1818	977.4394	1080.1146	947.9528	1456.2223	1196.7643	1698.7535	1467.7223
DNTTIP1|116092	544.6429	323.4561	681.4681	466.1875	563.2451	416.7562	469.7196	426.7563	525.8195	478.0842	484.1769	480.445	463.0705	484.5501	211.6279	662.5422	465.2568	350	495.2059	362.0769	383.7613	526.1574	439.0031	630.1939	485.9927
DNTTIP2|30836	623.1203	769.752	741.7309	595.2303	731.8494	1036.7677	618.8309	625.4332	677.1441	474.2148	672.414	769.3864	720.7469	805.7725	815.3488	581.1774	1146.5257	516.3636	967.8511	578.5891	893.8237	1003.6378	698.732	727.1468	611.4495
DNTT|1791	19.7368	84.4524	63.8876	44.1032	79.1743	13.8809	199.5739	112.9896	7.1846	26.2258	2.9109	40.4585	4.9793	85.9083	4.6512	9.3738	19.3353	3.6364	2.2561	50.5603	5.2047	9.6611	38.0411	9.6953	180.268
DOC2A|8448	72.1523	1.392	25.0204	249.1277	29.3888	5.5127	70.0558	4.8598	4.7463	16.058	293.8149	202.269	39.7386	13.4601	0.9767	41.4923	30.5045	93.3545	1.8274	19.1803	23.05	273.7096	60.0568	344.356	18.7373
DOC2B|8447	9.3985	2.0028	0.4531	1.9601	4.5125	36.6851	3.4148	7.5606	5.8374	1.7197	5.8218	13.8233	4.9793	4.7538	7.907	0	1.8127	5.4545	3.9481	14.2711	11.1034	9.2895	15.3039	4.1551	0.406
DOCK10|55619	2333.1767	3259.596	525.1473	2268.8664	1003.0111	903.5776	899.9797	1796.9127	1519.982	1055.4827	1030.4527	2460.8901	1585.0622	916.4686	1945.1163	2197.6003	904.5317	1360	996.6159	1472.7724	2043.0257	628.3419	1456.4932	1406.5097	1146.5692
DOCK11|139818	14.5677	17.3578	17.2179	11.7609	15.5887	364.2072	14.7973	24.3621	47.5977	10.3184	41.2375	37.4241	2.9046	17.3175	85.5814	225.3468	75.5287	16.3636	33.8409	87.2573	53.4351	34.5569	43.7254	22.8532	30.0447
DOCK1|1793	1310.6203	1173.9887	560.4894	607.9713	602.6271	1163.0174	873.7999	566.6282	771.8904	327.6081	1212.868	857.3837	526.556	661.7997	1477.2093	685.0394	364.0483	1117.2727	1127.4676	633.2269	435.8085	1223.6132	766.0691	606.6482	995.5339
DOCK2|1794	56.391	84.4524	17.2179	21.5616	28.7161	627.613	31.8711	69.7259	156.7131	3.8694	70.8315	93.0546	13.278	36.6723	208.3721	9.3738	94.864	43.6364	106.599	258.5099	38.1679	33.4422	149.5409	62.3269	108.8104
DOCK3|1795	156.9549	212.967	330.7657	91.4734	524.6835	43.956	355.5147	244.8808	74.9888	308.6911	35.4157	218.4761	383.4025	233.9559	35.3488	231.3461	738.3686	33.6364	37.225	387.7648	402.8452	217.0028	355.9248	94.1828	93.3821
DOCK4|9732	702.0677	806.4705	111.4635	374.0608	164.502	813.6826	456.0605	552.3469	423.8886	1383.5207	243.0588	383.3446	405.3942	129.3718	1127.907	430.8211	303.9275	207.2727	576.4241	785.7232	577.7238	516.8679	599.9125	201.5235	423.4673
DOCK5|80005	85.0564	662.2671	233.498	82.326	307.6721	398.2484	29.4998	278.4837	189.9551	239.1797	175.1381	198.2468	277.5934	244.8217	272.5581	413.6708	449.8489	48.1818	233.5025	687.0491	510.7564	102.9277	220.8133	85.8726	102.7203
DOCK6|57572	1621.7105	704.994	898.0517	1259.0657	1193.7678	1273.7338	801.7104	1060.1701	1374.9439	1128.5711	2198.202	1334.4572	1714.5228	983.7012	1319.5349	391.826	863.7462	1788.1818	1112.2391	1595.0957	1095.7668	1100.9917	1518.5702	1563.7119	1443.3618
DOCK7|85440	351.9737	777.0957	192.5691	388.4352	268.7003	545.9803	258.3837	319.2271	280.6466	250.2203	265.3755	497.9771	497.9253	357.2156	756.2791	262.0922	876.7372	340	464.749	380.4254	514.9202	911.1143	274.1583	111.4958	186.3581
DOCK8|81704	1076.5977	1637.6424	3764.386	6140.8984	3886.9243	2070.1743	8133.8056	3074.8294	2603.9515	1332.7888	1580.6096	5332.4612	7219.9419	2692.3599	2561.8605	44.6194	4014.71	795.4545	7508.6802	2151.8786	7466.2873	2025.3343	2034.3332	2127.4238	2658.6805
DOCK9|23348	782.8947	1735.447	453.1038	528.9121	506.6334	2404.6931	901.4974	971.5426	1421.1944	550.3128	1283.6995	463.9245	489.6266	807.1307	1510.2326	285.3393	1081.2689	634.5455	825.7191	1062.5816	819.9167	963.5071	1038.0411	209.1413	466.5043
DOHH|83475	1310.1504	237.3346	980.9696	468.1477	638.3171	328.5136	612.7602	611.1519	472.3844	746.3617	748.5822	462.913	550.6224	571.4771	260	511.0611	448.9426	603.6364	501.9741	709.8828	449.6877	530.6163	774.3769	1090.0277	729.192
DOK1|1796	76.5977	100.8088	37.6076	62.7246	88.6096	162.6043	39.4595	68.4658	107.3193	73.0884	72.7721	89.3459	42.7386	30.5603	70.2326	25.1219	141.0876	45.4545	80.0902	155.3506	47.1895	34.1854	146.0429	56.0942	69.0215
DOK2|9046	25.8459	6.6761	7.7028	9.8007	15.9989	90.5561	20.868	14.7012	76.3359	1.2898	21.3465	14.4976	8.2988	20.034	19.0698	6.7492	50.7553	22.7273	45.6853	45.6674	7.9806	17.0927	90.9488	45.7064	71.8636
DOK3|79930	28.6654	26.3705	54.3725	23.8484	60.3037	122.2837	50.0832	43.2637	160.7544	25.366	82.9602	55.9676	33.61	46.5195	43.2558	84.3645	126.8882	48.1818	43.9932	129.2549	38.1679	77.2887	134.6742	90.7202	95.0061
DOK4|55715	461.9361	813.1465	183.9601	337.1447	291.6732	286.21	623.7633	466.6597	484.0593	432.9414	512.3155	603.1693	296.2656	220.3735	466.0465	206.2242	177.0393	665.4545	493.5138	536.5915	136.3636	399.8202	401.3992	412.7424	652.0503
DOK5|55816	4.6992	2.3366	6.7966	4.9004	27.0751	28.0922	3.0353	6.3005	14.8181	2.5796	20.3762	6.7431	2.9046	4.4143	6.0465	46.1192	2.1148	2.7273	610.2651	8.1549	1.7349	16.7211	19.2392	9.0028	15.4283
DOK6|220164	12.688	4.3395	8.1559	4.5737	3.6921	54.5319	6.0707	9.2408	10.7768	3.0095	19.4059	15.5091	0.8299	5.0934	22.3256	5.2493	9.6677	8.1818	36.661	28.5421	9.7155	15.6064	9.1823	7.6177	4.0601
DOK7|285489	907.8947	1.669	149.0711	218.8827	54.1503	170.8667	222.339	74.7664	9.8788	195.1891	330.8704	171.2744	145.6432	87.2666	374.8837	207.3491	67.9758	500.9091	40.0451	86.8495	52.3942	44.218	29.7333	381.5789	314.6569
DOLK|22845	368.4211	245.6797	678.7494	599.804	627.6511	326.2001	464.4077	551.5069	517.2878	340.936	530.7511	577.5455	696.6805	440.747	207.4419	553.4308	270.6949	654.5455	622.6734	560.2407	580.1527	189.5058	567.5557	763.1579	617.5396
DOLPP1|57171	208.6466	128.1807	548.2556	529.8922	649.3933	278.6086	503.4878	446.498	523.5743	292.3537	670.4735	433.2434	512.8631	519.5246	104.186	586.4267	469.4864	538.1818	302.3125	471.7601	412.2137	174.2711	496.2833	478.5319	805.5217
DOM3Z|1797	345.8459	170.2801	377.372	195.2434	391.4041	142.5531	295.9499	261.9217	201.163	235.852	293.7227	231.1295	310.249	193.5484	216.6605	267.2216	386.7855	214.8727	212.3237	280.8991	171.3949	294.9305	237.0791	416.4681	455.7247
DONSON|29980	33.1391	27.7057	47.2814	34.3548	37.8109	66.5422	48.2165	52.1054	43.6956	61.0675	61.6137	73.4828	35.8714	47.4228	34.5442	105.898	290.4502	51.9909	28.7986	45.3616	119.9167	60.0585	61.5435	30.9211	62.1924
DOPEY1|23033	312.9699	400.7884	288.3915	336.7821	314.9086	446.3125	286.233	297.8725	275.2133	280.7025	249.7004	343.2299	330.3817	322.2037	377.5442	390.8624	330.0846	227.1091	362.2561	339.3003	342.6995	389.167	306.5676	391.662	358.1608
DOPEY2|9980	459.1165	901.9384	526.9597	536.426	1451.8021	934.9748	824.4755	634.6739	1000.449	696.9195	722.3842	1265.0034	895.0207	742.6146	562.3256	323.5846	1303.0211	940.9091	607.445	704.9899	1382.7203	581.1512	1286.4014	420.3601	466.0983
DOT1L|84444	1309.6711	418.924	1004.0779	748.1183	1156.8471	375.7746	814.6068	696.4192	731.0283	1451.02	621.4687	932.5657	1163.0705	877.073	485.9767	644.9156	1327.7915	1015.4182	1028.7592	932.9149	1076.6794	887.7048	1065.1509	1254.8476	1315.4649
DPAGT1|1798	973.7265	615.9151	234.3226	674.3221	389.7918	482.2275	541.1906	516.3625	616.1383	412.4465	653.5515	626.561	378.6846	473.0764	554.5767	1059.0664	418.7976	531.8182	526.2267	488.6775	539.2089	531.4673	497.8487	606.6482	938.4572
DPCD|25911	295.766	108.77	207.1772	93.7243	172.4071	76.3645	102.0066	92.5255	116.7086	198.3835	212.0336	86.2778	156.5975	134.2852	42.907	188.7139	101.0121	217.9818	86.317	90.6089	121.7523	151.2108	110.8526	173.0817	65.6679
DPCR1|135656	0	0.3338	0	0	1.2307	0	0.3794	0	0	0.4299	0	0.3372	0.4149	0	0	0	0.3021	0	0.564	0.4077	0	0.3716	0	0	0.812
DPEP1|1800	2.8195	9.6803	0.9062	0	0.8205	19.8298	0	5.4605	11.6749	4.2993	2.9109	2.0229	0.4149	0.6791	4.6512	0	3.6254	0.9091	1.128	33.8428	1.3879	0.3716	13.5549	0	0.406
DPEP2|64174	18.797	4.0056	9.9683	8.494	21.3319	56.1844	27.6975	16.8014	38.617	0.8599	10.6732	13.8233	8.7137	11.545	21.3953	2.6247	16.0121	13.6364	14.1004	32.2118	6.5926	1.8579	38.9156	34.626	28.8266
DPEP3|64180	0	0.6676	1.3593	0	9.025	1.322	0	3.7803	3.5923	0.4299	0.4851	0.6743	0	0	0.9302	0.375	0.3021	0	0.564	1.2232	0.347	0	1.3118	1.385	0.406
DPF1|8193	0.4699	0	1.3593	0	0.4102	1.322	0	1.6801	1.7961	0.4299	1.9406	0.6743	2.0747	0.3396	1.8605	1.8748	26.5861	0.9091	1.128	0	0.694	0.3716	0.4373	1.385	1.218
DPF2|5977	1647.5564	990.3965	502.9452	1197.3211	891.8389	644.1378	1183.7844	1011.446	1083.5204	1156.5167	1133.789	1000	523.2365	1060.4414	717.6744	1103.862	922.6586	759.0909	918.2177	884.8051	1013.5323	908.1417	1222.1251	877.4238	1370.6862
DPF3|8110	7.9887	15.0212	67.9656	28.7488	10.666	45.939	24.6622	24.3621	12.1239	13.7578	8.7326	15.8463	32.7801	31.2394	20.4651	27.3716	15.1057	33.6364	65.4258	23.2414	13.1853	36.4148	27.547	8.3102	28.8266
DPH1|1801	763.36	436.1683	882.039	650.9213	816.5741	678.7111	781.4381	491.7568	563.1837	768.069	617.1412	573.3682	699.0415	643.5314	435.014	580.7124	751.2719	452.6182	595.454	579.0417	563.39	688.7757	633.1657	769.5845	867.4137
DPH2|1802	408.3647	215.9712	693.7019	548.1869	450.8422	210.8568	401.0449	346.5295	273.4621	547.7332	445.3651	312.205	463.0705	415.6197	251.1628	377.2028	60.1208	504.5455	267.9075	317.2251	257.4601	261.5924	314.8229	301.2465	675.5989
DPH3B|100132911	32.8947	27.0381	26.28	20.5815	27.0751	16.1943	16.6944	18.4816	18.4104	41.2735	15.5247	24.6123	33.61	26.8251	24.186	16.123	28.7009	18.1818	18.6125	41.5899	30.5344	11.1474	28.8588	10.3878	15.0223
DPH3|285381	298.8722	773.7577	549.1618	544.92	508.2743	594.5633	610.1043	667.0167	450.3817	395.9672	441.484	809.5078	529.0456	743.6333	330.6977	376.078	554.9849	720	503.6661	629.9649	787.3005	940.0976	575.4263	319.9446	230.6131
DPH5|51611	196.1748	139.5568	302.0163	172.6462	268.126	198.0798	236.7569	194.6445	194.4993	198.0954	274.2974	175.6575	190.1743	257.1613	217.2093	195.0131	286.4834	243.8636	206.74	172.7001	185.1249	422.7095	211.373	272.8532	241.1693
DPM1|8813	379.2293	533.7526	772.995	628.8795	699.4413	710.2371	494.3818	612.8321	825.7746	428.2121	886.364	604.855	739.4191	921.9015	417.6744	690.6637	661.0272	664.5455	589.3965	410.1908	688.0638	632.8009	558.8107	521.4681	582.6228
DPM2|8818	1000	402.5676	1809.2433	1819.3401	2162.3196	666.9421	1442.1681	1181.9805	2680.2874	1146.6283	2326.7661	1483.1423	1309.1286	1462.1392	776.7442	1198.3502	702.1148	1904.5455	755.2171	1387.9616	1236.6412	427.6887	1797.1141	2997.2299	1596.8331
DPM3|54344	349.6241	112.8258	505.2107	427.638	428.6898	140.1305	246.2423	302.0057	357.4315	508.6094	518.1372	229.9393	331.5353	288.2852	236.2791	218.2227	479.4562	353.6364	141.0039	282.9745	195.3505	268.6524	265.8505	935.5956	419.0012
DPP10|57628	54.5113	104.1468	473.9465	181.9667	182.5521	0.9915	33.0094	33.6029	3.1432	0.8599	0	6.0688	403.7344	4.0747	0.4651	215.973	274.3202	0	164.1286	218.1432	0	156.8068	98.3822	15.928	0.406
DPP3|10072	1253.2895	1284.8116	581.3321	1412.7213	788.8713	872.8414	699.647	957.6814	1098.5496	1691.5024	1704.3222	1267.849	723.2365	1004.4143	1632.5581	476.1905	870.0906	1717.2727	725.8883	1328.0231	1135.3227	486.7699	918.2335	1367.7285	983.7596
DPP4|1803	3.7594	340.8139	4.0779	109.1147	4.1023	3365.1161	191.9856	4.2004	78.132	29.2354	40.7524	471.679	21.9917	13.2428	3656.2791	2718.0352	5.136	32.7273	16.9205	13.4556	2.4289	15.6064	20.5509	14.5429	26.3906
DPP6|1804	274.4361	0.3338	219.7553	0	246.1377	1.6525	0	2.9402	0.8981	0.4299	0	1.3486	0.8299	0	0.4651	6.3742	2.4169	0	1.692	18.7562	2.0819	0.7432	84.39	0	0
DPP7|29952	2147.0865	951.6752	4754.4178	4325.7106	4722.1516	1822.6886	3561.5976	3071.7211	5740.458	3050.7964	5992.0533	3456.5071	4783.8174	3522.2411	1788.8372	5826.3967	2435.0453	4178.1818	4279.1878	3707.2111	2952.1166	1770.9506	4933.9746	12955.6787	7520.0974
DPP8|54878	242.9511	1029.4515	247.3947	611.2382	304.3903	880.4429	366.5179	488.5015	311.181	134.1387	367.7416	728.2535	545.6432	676.4007	720.4651	220.8474	723.2628	422.7273	782.2899	555.7555	957.3213	922.2617	400.962	154.4321	259.8457
DPP9|91039	1490.1316	1249.0946	2315.3602	1986.9324	2280.4657	890.3578	1519.19	1754.0691	1227.6605	2120.8538	1766.421	1206.6757	1636.5145	1283.1919	701.3953	1369.7038	2006.9486	1170.9091	1248.731	1699.8859	1061.4157	1519.0193	1552.6891	2195.2909	2100.2842
DPPA2|151871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4373	0	0
DPPA3|359787	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3396	0	0	0	0	0	0	0	0	0	0	0
DPPA4|55211	0	0	0	0	0	0.9915	0	0	0	0	0	0	0	0	0	0	0.3021	0	0	0	0	0	1.3118	0	0
DPPA5|340168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPRXP4|503645	1.4098	0.6676	0	0.6534	0.4102	0	1.5177	0.42	0	0.4299	0.4851	0.3372	0.8299	1.0187	1.3953	0	1.5106	0.9091	0.564	1.631	0.347	0	0.8745	0	2.03
DPRX|503834	0.9398	0	0	0.3267	0	0	0	0	0.449	0.4299	0	0.3372	0.8299	0.6791	0	0	0	0.9091	0.564	0.4077	0.347	0.7432	0	0.6925	0.406
DPT|1805	17.3872	0	1.3593	0.9801	0	197.9674	0	0	0.8981	0.4299	6.3069	0.6743	0.8299	4.0747	18.1395	0.375	28.0967	0	27.6368	17.533	0.694	0	0	28.3934	0.406
DPY19L1|23333	1297.9323	1715.7525	860.444	1200.2614	614.1135	423.6966	261.7985	1478.9457	3418.5002	412.3046	496.3056	726.5678	1299.5851	832.9372	2705.1163	1204.7244	738.3686	2345.4545	792.4422	1489.8976	1618.3206	3101.5788	1273.2838	2309.5568	1034.5108
DPY19L2P1|554236	15.0376	11.3493	43.0449	12.7409	10.666	11.5674	9.8649	14.2812	3.5923	7.3088	5.8218	12.8119	19.5021	11.8846	5.1163	163.1046	56.4955	14.5455	12.4083	10.6014	17.696	53.5075	18.3647	26.3158	21.9245
DPY19L2P2|349152	191.7293	79.7792	347.5306	102.9075	287.1606	69.7348	149.1113	362.4908	4.0413	127.6898	123.7125	58.3277	152.6971	512.7334	33.9535	496.063	348.9426	107.2727	197.9695	110.9064	224.1499	381.9843	110.188	80.3324	353.2278
DPY19L2P4|442523	27.2556	3.0042	20.3897	11.4342	11.8967	4.9574	14.0385	10.9209	5.8374	17.1973	4.3663	8.0917	11.6183	6.4516	2.3256	83.2396	2.1148	5.4545	9.0243	6.9317	6.5926	22.6664	15.3039	56.0942	36.1348
DPY19L2|283417	948.7782	486.3524	414.1368	716.1058	407.3579	348.3434	798.6751	563.6879	421.1944	572.2393	366.7713	507.7546	978.0083	465.1952	305.1163	1862.3922	236.2538	433.6364	776.0857	345.7672	578.4178	1374.8463	798.8631	1935.5956	991.0678
DPY19L3|147991	109.4925	265.708	178.0698	181.9667	159.9895	188.383	137.3493	140.712	197.1262	109.6326	103.3364	285.2326	263.9004	241.7657	159.0698	101.6123	260.1208	97.2727	149.4642	175.33	502.7759	452.2129	181.0232	74.7922	86.4799
DPY19L4|286148	876.8797	1684.375	1022.6552	1741.9144	1112.1321	1236.3877	642.7342	1365.9561	1167.0409	866.3127	1517.0554	1362.7782	1194.6058	1294.3973	1380	1324.7094	1383.6858	1084.5455	1134.2358	920.2789	1394.1707	740.1875	1158.7232	1364.2659	809.9878
DPY30|84661	391.0526	420.79	542.7503	363.6067	497.9817	456.9049	272.5929	396.8203	410.8666	404.5659	451.3179	301.6521	339.7676	414.3803	357.2093	631.2223	507.0906	334.1273	363.5251	292.7604	395.8952	515.1921	377.1404	598.2064	320.605
DPYD|1806	317.6692	455.3087	732.6688	767.0696	354.8485	422.0441	703.8206	607.7917	628.1994	102.7537	124.6828	541.47	556.0166	510.6961	1012.5581	793.4008	390.3323	52.7273	656.5144	740.8714	1025.6766	177.2437	655.8811	388.5042	144.1332
DPYSL2|1808	553.5714	182.9246	184.8663	200.2614	286.7504	1374.5352	246.6218	540.1659	664.1221	275.5863	891.2154	288.6042	223.6515	305.9423	576.7442	819.6475	487.9154	524.5455	604.0609	756.7734	285.9126	291.3188	771.3161	361.4958	323.1831
DPYSL3|1809	360.9023	197.9458	176.2574	188.1738	106.6597	902.9166	167.3234	139.4519	941.1765	134.5687	1064.413	421.443	207.8838	230.5603	702.7907	26.9966	477.9456	478.1818	269.0355	824.0512	441.7071	831.2246	714.9104	227.1468	271.214
DPYSL4|10570	449.2481	0	1.3593	1.6335	12.7171	2.644	0	2.9402	6.2865	6.449	4.3663	7.7546	2.0747	0	0.9302	10.4987	0	0	1.128	11.0091	3.1228	0.7432	5.247	2.0776	2.03
DPYSL5|56896	0.4699	4.0056	287.2678	0.3267	135.786	0	0	22.2619	0.449	0.4299	0.9703	1.6858	26.556	66.5535	0	0.375	0.3021	1.8182	0.564	0.8155	0	8.9179	41.1019	0	0
DPYS|1807	3.7594	16.3564	0.9062	0	0	1.983	1.1383	1.2601	6.7355	0.8599	0	0.6743	0	1.0187	0	0.375	1.2085	0	0.564	1.631	0.347	0.3716	1.3118	0	0
DQX1|165545	0.4699	0	0	0.3267	0.8205	0.3305	0.3794	0	0	0	0.4851	0.6743	0	0.3396	0	0.375	0.6042	0.9091	0	0.4077	0.694	0	0.8745	0	1.624
DR1|1810	406.9549	942.9963	376.5292	748.1215	439.766	965.711	702.6823	678.7777	485.8554	393.3876	718.503	792.3129	719.5021	650.5942	1176.2791	580.0525	1292.145	520.9091	750.141	616.9171	947.9528	844.6015	504.5912	462.6039	500.203
DRAM1|55332	886.2782	916.6258	1185.3194	521.0715	1258.5841	951.8301	752.0066	997.1648	680.7364	269.1373	423.0484	1347.6062	564.3154	965.7046	651.6279	857.8928	199.6979	405.4545	609.7011	652.7986	790.0763	875.8142	598.6008	673.1302	852.2127
DRAM2|128338	505.1692	894.2609	772.5419	621.0389	632.9841	798.4797	540.2914	677.5176	972.1599	551.1726	687.4536	669.9258	917.4274	645.5008	1027.907	642.6697	606.3444	776.3636	948.6746	788.5775	786.2595	751.3349	611.2812	1066.482	552.1721
DRAP1|10589	2156.9549	845.5255	1243.3167	1349.8857	1117.0549	781.6244	1521.0871	1231.5447	1592.2766	2276.4892	1764.9656	1286.5813	924.4813	1399.3209	1019.5349	1274.4657	1488.5196	1933.6364	867.4563	1098.0554	997.2241	1043.3968	1344.1189	4380.1939	1704.4255
DRD1|1812	2.3496	0.6676	0	0	0.8205	7.6014	0	4.6204	0.449	0	2.9109	1.3486	0	0.6791	1.8605	0.375	0.6042	0	14.1004	1.631	0	0.7432	2.6235	0	0
DRD2|1813	2.3496	16.3564	589.488	190.1339	145.6315	3.966	16.315	236.4801	3.1432	83.4068	26.6831	1.3486	155.6017	681.1545	0.9302	1367.0791	106.3444	2.7273	2.8201	39.5512	7.9806	1.1147	21.8627	322.7147	5.6841
DRD3|1814	0	0	0	0.3267	0	0.3305	0.7588	0.8401	0.449	0	0	0	0.8299	0	0	0	0	0	0	0	0	0.3716	0	0	0
DRD4|1815	10.3383	0.3338	4.0779	1.9601	2.8716	0.661	15.9356	4.6204	3.5923	1.2898	9.7029	3.7087	5.3942	5.7725	0	6.3742	2.719	3.6364	3.3841	4.4852	4.5108	8.1748	9.6196	13.1579	5.6841
DRD5|1816	0	0	0	0	0.4102	0	0	0	0	0.8599	0	0.3372	0.4149	0	0	0	0.3021	0	0.564	0	0	0	0.4373	0.6925	0
DRG1|4733	1184.6805	1160.3027	1454.9162	794.5116	1000.9599	1012.972	1209.2054	1109.7343	1100.1347	1075.6895	762.6514	1107.8894	1057.6763	1493.3786	1350.6977	1638.9201	1658.006	1041.8182	1306.2606	913.3472	1343.1645	1564.7237	1181.8977	1603.8781	1245.6354
DRG2|1819	648.0263	422.5959	796.1033	444.2992	673.1866	644.4683	577.0949	573.7688	607.9928	687.891	520.0778	439.6494	636.9295	497.1138	393.9535	623.5471	548.0363	338.1818	451.2126	604.6848	480.2221	593.0418	588.5439	770.0831	838.4084
DRGX|644168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRP2|1821	0.9398	0	3.1717	0	0.4102	0.3305	0.7588	0	0	0.4299	0.4851	3.3715	1.6598	1.6978	0.4651	3.3746	20.2417	0	0	0.8155	4.1638	0	1.3118	0	0.812
DSC1|1823	0	0	0	0	0.4102	0	0	0	0	0	0	0.3372	0	0	0	0.375	0	0	0	0.8155	0	1.5866	0.6122	0.6925	0
DSC2|1824	946.8985	1932.0575	166.2891	889.5786	465.2002	1246.6331	1058.5765	1039.1683	239.3354	717.1263	1202.1948	998.9885	664.7303	680.1358	1020.9302	278.9651	165.861	796.3636	2363.7902	656.4683	530.8813	369.7222	353.7385	623.2687	664.6366
DSC3|1825	0	0	0.4531	0	0.4102	1.322	1.1383	0	0	0	1.9406	6.4059	0	0	0	0.375	0.3021	0.9091	2.2561	0.8155	0	1.1147	0	0	0
DSCAML1|57453	498.1203	40.3903	68.8718	910.8135	191.1669	130.8766	305.811	354.9302	500.6736	36.1143	672.8992	76.8712	215.7676	982.6825	99.0698	202.0997	87.6133	454.5455	482.2335	246.6853	1226.2318	3.3442	190.2055	159.2798	479.0905
DSCAM|1826	78.9474	1.0014	1.3593	4.247	0	7.2709	5.6913	34.0229	18.8595	7.7388	0.9703	1.0115	1.2448	13.9219	4.186	0	0.6042	0	0	10.6014	0	5.5737	20.9882	0	0.812
DSCC1|79075	9.3985	10.3479	7.7028	5.5537	11.4864	22.4738	8.7266	9.6608	15.2672	9.0286	19.891	7.0802	25.7261	6.4516	5.5814	23.2471	133.5347	6.3636	4.5121	15.4943	26.3706	13.0053	8.7451	6.2327	8.1202
DSCR10|259234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3716	0	0	0
DSCR3|10311	617.4812	1223.7255	674.2184	819.6668	551.3484	1891.1014	1557.5112	917.778	1308.9358	702.9386	1606.8076	1519.555	711.2033	1359.253	1478.6047	2012.7484	855.5891	2279.0909	882.6847	1040.5634	1625.6072	1440.9875	1226.4976	586.5651	852.6188
DSCR4|10281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSCR6|53820	3.7594	0.6676	3.6248	2.2868	2.8716	5.9489	3.0353	1.6801	1.7961	0.4299	2.4257	2.6972	4.5643	3.056	0.9302	1.8748	4.2296	4.5455	3.9481	1.631	1.0409	0.3716	1.3118	15.2355	2.03
DSCR8|84677	0	0	0	0	0	0	0	0	0	0	1.4554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSCR9|257203	2.8195	0	0	0.9801	0.4102	1.322	1.5177	0.8401	0.8981	0.4299	1.4554	0.3372	0.4149	0.6791	0	2.9996	0.3021	0.9091	0	0.8155	0.694	0.3716	0.4373	0.6925	0.406
DSEL|92126	250.9398	57.7481	91.9801	40.5096	110.762	82.2936	68.6747	74.3463	84.8675	155.6353	42.2078	273.0951	49.3776	42.7844	303.2558	265.0919	77.0393	43.6364	69.3739	145.9725	176.6135	167.9542	212.9427	22.8532	31.6687
DSE|29940	218.0733	485.4144	201.3774	1087.6086	447.6547	923.2422	404.1372	246.9012	246.8657	936.211	223.3909	753.2131	953.3237	128.635	463.7721	815.898	282.6495	512.9455	631.8613	598.3036	360.3505	484.4104	541.9327	568.2202	794.8356
DSG1|1828	1.4098	4.6733	0	0.3267	0.4102	0.3305	0.7588	0	0	0	0.9703	0	0	0	0	4.1245	2.719	0	1.128	1.631	0.347	0.3716	1.3118	0.6925	0.406
DSG2|1829	7401.5883	21435.4774	6873.4844	34379.7713	9180.0046	16810.6056	17994.3391	17376.7132	10650.0584	8385.5414	20122.2086	22303.8233	13241.6888	30033.7317	21228.2512	11755.7443	14779.0514	18116.7636	27950.7163	10601.1884	19412.0402	25161.2286	9215.422	14035.7271	8830.5684
DSG3|1830	0.9398	0	0	0	0	0	0.3794	0	0	0.4299	0.9703	1.6858	0	0	0	0	0	0	1.128	0.4077	0	0.7432	1.749	1.385	0
