TCGA-KL-8323-01A-21R-2315-07	TCGA-KL-8326-01A-11R-2315-07	TCGA-KL-8334-01A-11R-2315-07	TCGA-KL-8335-01A-11R-2315-07	TCGA-KL-8338-01A-11R-2315-07	TCGA-KL-8343-01A-11R-2315-07	TCGA-KL-8344-01A-11R-2315-07	TCGA-KL-8345-01A-11R-2315-07	TCGA-KM-8440-01A-11R-2315-07	TCGA-KN-8429-01A-11R-2315-07	TCGA-KN-8433-01A-11R-2315-07	TCGA-KO-8405-01A-11R-2315-07	TCGA-KO-8408-01A-11R-2315-07	TCGA-KO-8416-01A-11R-2315-07
CDR2|1039	986.8369	363.8611	660.2652	475.5694	651.7857	734.8299	682.7448	545.7364	533.3587	778.1885	1146.2295	1090.7345	485.0427	702.8804
CDRT15P|94158	1.9944	1.9775	1.829	1.6053	6.5789	4.9106	1.7227	2.3256	3.0412	4.0665	3.9344	3.8406	9.0812	0
CDRT15|146822	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT1|374286	1.1249	0	0.0914	0.4013	0.4699	0.3508	1.1484	0.0698	0	0.7394	0.5115	0.4801	0	0.5261
CDRT4|284040	93.3387	145.4258	69.6955	40.5418	109.4925	83.7776	106.5317	39.8372	46.379	58.0407	142.918	96.145	132.4786	82.357
CDS1|1040	2950.1396	1247.3118	2813.7174	1743.7544	2150.8459	2708.8741	597.7606	3138.3721	1966.1661	2132.3475	2393.4426	2579.9328	2354.7009	2106.0108
CDS2|8760	751.8947	970.9554	957.2931	835.9587	797.4624	943.1778	1329.888	1062.4031	1497.0538	1330.1294	1310.1639	1027.8445	1277.7778	979.0872
CDSN|1041	7.1799	26.6963	10.2423	0.8026	4.2293	0.7015	61.7284	1.5504	0	11.4603	68.8525	22.5636	3.7393	3.6828
CDT1|81620	118.8672	68.7183	73.5254	181.3986	240.1316	75.7629	51.6796	105.4264	194.2596	116.451	318.0328	96.0154	266.0256	105.7477
CDV3|55573	5679.298	5043.6287	4557.1102	4446.2727	4778.6654	6551.0347	4182.6012	4117.8295	3879.1104	5054.7135	3171.8033	3440.2304	3792.2009	5303.6959
CDX1|1044	0	0.9888	1.829	0.4013	1.8797	1.403	3.1582	1.1628	1.1405	1.8484	1.3115	1.9203	0.5342	1.5783
CDX2|1045	0	0	0	0	0	0	0	0	0	0	0.6557	0	0.5342	0
CDX4|1046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY1B|253175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY1|9085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY2B|203611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDYL2|124359	60.2314	78.6059	148.8797	218.3205	50.7519	302.3501	545.7939	248.8372	122.7903	118.6691	72.7869	71.0514	24.0385	62.0808
CDYL|9425	672.9158	446.422	519.433	590.3481	312.5	527.885	957.795	503.1008	410.1882	462.4769	344.918	452.2324	336.0043	471.919
CEACAM16|388551	0	0	0.3658	0	0	0	0	0	0	0.3697	0	0.4801	0.5342	0
CEACAM18|729767	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM19|56971	22.7363	54.3814	32.556	151.2993	81.7669	9.8211	56.8475	5.814	77.5518	75.7856	56.3934	68.651	86.0043	44.7192
CEACAM1|634	179.0985	432.5794	234.8422	25.6848	904.6053	849.5265	19.2363	296.124	288.5383	256.9316	1771.1475	1376.8603	732.906	366.6974
CEACAM20|125931	0	0	0.3658	0	0	0	0	0	0	5.1756	0	7.6812	0	0
CEACAM21|90273	9.9721	2.9663	11.7055	3.2106	7.5188	5.2613	13.207	5.4264	1.5206	10.3512	17.0492	22.5636	2.6709	9.4699
CEACAM22P|388550	2.7922	2.9663	1.4632	3.2106	3.7594	0	0.5742	0.3876	1.9008	84.2884	1.3115	78.2525	1.6026	0.5261
CEACAM3|1084	1.1966	0	0.7316	0.8026	1.8797	0.3508	0.5742	0.7752	1.1405	0	1.9672	5.2808	2.1368	5.7872
CEACAM4|1089	0.3989	0	4.0238	0.8026	1.8797	1.0523	1.7227	0	0.3802	1.8484	3.9344	10.0816	0.5342	1.5783
CEACAM5|1048	0.3989	0	0	0	0	0	0	0	1.1405	0	3.2787	0	2.6709	0.5261
CEACAM6|4680	0.3989	0	0	0	0	0	0	0	0.7603	0	0	0.9602	1.6026	1.5783
CEACAM7|1087	10.7698	0.4944	165.7064	0.4013	83.6466	17.187	0.2871	78.6822	0	0.7394	0	0	0	31.5665
CEACAM8|1088	1.1966	0	0	0.4013	0.4699	0.3508	1.4355	0	0	0	0	0	0	1.5783
CEBPA|1050	36.2984	37.0782	190.5807	284.1377	146.6165	72.9569	63.1639	36.0465	75.651	191.1275	539.0164	1114.7384	40.5983	154.1497
CEBPB|1051	308.7355	674.3295	367.6269	230.3602	455.3571	205.8927	463.3936	296.5116	163.0869	526.8022	828.1967	2347.5756	707.7991	1067.9995
CEBPD|1052	171.1209	2515.8818	850.1143	413.7654	1038.0639	203.0866	1519.9541	894.9612	353.545	935.305	754.7541	936.1498	413.9957	1170.5906
CEBPE|1053	0.3989	0	2.1948	0.8026	1.4098	1.0523	1.7227	0.7752	0.7603	0.3697	3.9344	14.8824	0.5342	1.5783
CEBPG|1054	992.8201	383.1418	918.1527	1619.7452	927.1617	679.4107	828.0218	465.1163	485.8392	2676.8946	1123.2787	1054.2487	1753.2051	802.3149
CEBPZ|10153	746.7092	982.86	817.1925	836.36	575.6579	1444.4195	1352.2825	748.8372	692.644	949.7227	341.6393	633.2213	526.1752	628.6992
CECR1|51816	1498.205	833.5187	520.5304	685.462	307.8008	204.4897	2018.6621	339.9225	855.3507	283.9187	889.1803	3010.0816	123.3974	693.9366
CECR2|27443	109.294	16.3144	1.829	1.204	14.0977	0.3508	36.4628	1.1628	106.0635	0.3697	0	0.9602	106.8376	1.0522
CECR4|100130717	5.1855	4.4494	2.1948	4.0132	1.8797	2.4553	1.7227	1.5504	1.1405	1.8484	13.7705	3.3605	5.3419	1.5783
CECR5|27440	1066.2146	843.4063	571.3763	924.25	802.1617	649.9474	498.4209	744.9612	658.43	408.5028	1854.4262	560.2496	919.3376	649.2174
CECR6|27439	0.7978	4.9438	6.5844	0.4013	5.1692	4.9106	8.3262	0.7752	0.7603	4.0665	11.8033	9.6015	9.0812	1.0522
CECR7|100130418	21.1408	146.3354	92.5469	21.2702	45.1128	334.2687	52.5409	22.093	128.1125	5.5453	1.3115	21.6035	111.6453	67.8679
CELA1|1990	0.3989	0	0.3658	1.204	0	0	0	0	0	0	0	1.9203	0	0
CELA2A|63036	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA2B|51032	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA3A|10136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA3B|23436	0	0	0.3658	0	0	0	0	0	0	0	1.3115	0	0.5342	0
CELF1|10658	2123.2549	1478.68	1561.2254	2121.4006	2014.0977	1270.4314	1345.679	1343.4109	2156.6242	2228.8355	1977.7049	1523.7638	1708.3333	1667.7627
CELF2|10659	815.3171	959.5847	678.1893	467.1416	501.4098	756.2259	2592.0184	1048.8372	622.6953	1063.586	172.459	696.5915	452.9915	1074.8389
CELF3|11189	0	0	0	0.4013	43.2331	0	0	0	0	0	0.6557	0	0	0
CELF4|56853	9.1743	55.8645	65.112	47.3563	79.8872	58.9267	5.4551	9.6899	53.9821	29.5749	5.2459	29.7648	65.1709	87.3339
CELF5|60680	331.4719	144.3579	196.7993	311.829	220.3947	0.3508	4.8808	85.2713	168.7892	310.1664	274.7541	182.9093	101.4957	143.6275
CELF6|60677	74.296	42.6597	37.7284	75.9627	100.343	17.9797	24.7545	31.7829	36.9588	89.5823	95.6787	128.6126	64.5726	32.6187
CELP|1057	0.3989	141.886	4.7554	6.0199	1.8797	268.3269	0	0	71.4693	0.3697	24.2623	43.2069	0.5342	2.1044
CELSR1|9620	787.7942	807.8111	1494.2844	13.2437	28.1955	171.5188	300.89	83.7209	195.02	280.2218	118.0328	311.0898	239.3162	619.2293
CELSR2|1952	541.6833	351.996	231.1843	559.0448	437.9699	398.4567	522.538	444.9612	336.0578	210.7209	758.6885	484.8776	354.7009	407.2077
CELSR3|1951	29.9442	5.9325	92.5469	181.2582	204.9342	1.7538	8.039	21.5853	66.0027	43.6229	92.3869	60.7297	27.2436	70.4985
CEL|1056	204.2282	2606.8471	2763.9689	811.8792	402.2556	4796.9134	8.3262	736.8217	1420.2623	640.6654	393.4426	910.7057	522.4359	173.6157
CEMP1|752014	159.6689	144.971	169.1303	113.5748	210.9962	91.9747	122.874	87.9845	169.9297	138.366	288.5246	382.9669	299.4658	103.7643
CEND1|51286	367.7702	75.6396	1808.5048	163.339	1990.1316	116.0996	130.3474	505.814	539.8213	218.4843	4811.8033	521.8435	432.1581	1208.4703
CENPA|1058	37.8939	6.9213	3.2922	27.6914	7.0489	4.9106	7.1777	6.9767	3.0412	3.3272	2.623	6.7211	25.641	10.5222
CENPBD1|92806	520.5425	384.1305	377.1376	359.1853	514.5677	327.2536	347.4017	349.6124	556.168	462.4769	641.3115	482.4772	276.1752	514.0076
CENPB|1059	2714.0008	2664.1948	3054.4124	1370.1214	3443.609	2078.2182	1905.2541	2080.2326	2476.3353	2208.5028	5542.9508	2975.036	3549.1453	3408.6545
CENPC1|1060	531.3123	381.1643	519.0672	375.2383	389.5677	397.4044	495.2627	478.2946	494.9629	459.5194	166.5574	202.5924	277.2436	610.8115
CENPE|1062	203.8293	24.2244	24.1427	52.9748	31.485	43.1428	74.9354	37.9845	18.6276	18.4843	6.5574	19.2031	88.6752	15.2571
CENPF|1063	584.7627	65.7521	86.3283	183.8066	125	56.8222	186.9078	206.5891	91.9977	45.4713	36.7213	40.3265	262.8205	133.1054
CENPH|64946	171.5197	47.9545	83.0361	73.8437	123.5902	38.9337	44.2148	52.3256	74.8907	59.1497	20.3279	28.3245	99.359	75.7596
CENPI|2491	30.714	0	6.5844	7.2238	5.1692	2.4553	6.6035	13.9535	6.4626	0.7394	1.9672	2.8805	3.7393	5.7872
CENPJ|55835	74.99	42.5164	44.6273	26.0861	48.4023	63.1357	154.7517	77.5194	36.495	58.4104	34.7541	40.8065	44.8718	54.7152
CENPK|64105	99.7208	7.4156	13.5345	14.4477	8.9286	15.7839	38.7597	19.7674	21.2887	20.7024	0.6557	3.8406	23.5043	14.731
CENPL|91687	160.7499	91.954	103.6342	103.1404	94.4549	235.0053	129.199	120.9302	139.8974	88.7246	72.7869	76.8123	84.9359	98.9083
CENPM|79019	286.3981	147.8186	82.6703	255.2423	179.9812	64.188	25.5527	126.7442	146.7402	49.1682	371.8033	60.4897	236.1111	100.4867
CENPN|55839	504.7347	224.4667	280.995	480.9471	529.6711	159.3862	257.4821	412.4651	300.4904	158.8577	216.2623	253.3077	283.9156	443.8143
CENPO|79172	66.3143	50.461	39.0197	34.4096	51.6024	55.1841	108.5214	45.3721	48.5801	33.8595	57.6787	39.832	66.1111	40.4314
CENPP|401541	105.8436	15.9684	60.9785	45.7751	61.6635	13.5216	43.1151	45.345	66.5387	45.4381	25.4557	42.0595	31.3675	47.5497
CENPQ|55166	76.9844	98.3809	80.8413	45.3497	64.3797	122.7639	163.652	81.0078	99.2207	95.7486	41.9672	47.0475	73.1838	54.7152
CENPT|80152	369.7647	489.9271	328.8523	281.3284	478.8534	270.0807	309.5033	299.6124	281.6955	523.1054	512.1311	593.3749	417.735	569.7751
CENPV|201161	1.1966	100.8528	16.4609	17.6583	5.1692	28.7618	91.5877	3.4884	25.0903	40.2957	16.3934	28.3245	4.2735	6.3133
CENPW|387103	117.6705	37.5726	54.5039	25.2834	141.9173	32.6201	25.8398	49.6124	22.8094	30.6839	10.4918	31.6851	113.2479	46.8236
CEP110|11064	164.7387	156.7173	132.053	99.9298	73.3083	159.5931	328.1654	136.0465	95.4191	198.1516	75.4098	163.2261	92.9487	127.3182
CEP120|153241	636.2186	190.8293	307.636	444.2661	151.7857	577.3413	804.4789	505.4264	390.0399	771.1645	163.9344	196.8315	347.7564	417.2037
CEP135|9662	73.7934	45.4826	51.2117	29.698	37.1241	62.0835	168.5329	50.3876	55.8829	107.5786	40	75.8521	53.4188	33.1448
CEP152|22995	303.5501	196.2675	358.1161	322.6648	368.891	359.8737	210.4508	312.7907	260.0266	419.5933	368.5246	280.3649	173.0769	210.9694
CEP164|22897	264.4595	199.7281	320.0732	232.7681	316.2594	212.2062	465.6905	110.0775	153.9631	236.2292	351.4754	293.3269	556.0897	290.4117
CEP170L|645455	1.1966	0.9888	0.3658	0.4013	0	1.7538	1.7227	0	0.3802	0.3697	1.3115	2.8805	0.5342	0.5261
CEP170|9859	217.7902	175.0093	155.4641	191.4317	105.7331	216.0645	776.3422	227.5194	149.4013	158.5952	125.2459	673.5478	145.2991	241.4836
CEP192|55125	576.3861	310.4684	489.0718	475.1681	439.3797	726.4118	539.7646	667.4419	578.9774	292.7911	166.5574	351.8963	413.4615	400.8944
CEP250|11190	932.1899	518.1065	524.1884	300.592	710.9962	502.2799	588.8602	465.8915	1042.7675	457.3013	989.5082	536.7259	1053.4188	742.8647
CEP290|80184	391.0451	434.6459	303.5464	218.3967	194.9765	638.8986	623.7468	327.3023	465.8354	548.9168	222.1049	254.1287	459.5726	221.6388
CEP350|9857	677.3036	447.9051	585.2766	563.4594	425.282	761.4872	1082.9744	608.5271	594.5638	833.2717	480.6557	597.2156	470.0855	571.3534
CEP55|55165	77.3833	12.8538	14.9977	38.9285	15.0376	8.7689	48.5214	30.6202	8.3634	10.3512	6.5574	14.4023	51.8162	28.4098
CEP57|9702	607.8979	426.6469	595.1532	729.6077	423.4023	583.6549	739.0181	274.031	590.0019	1048.0591	512.7869	476.2362	488.7821	681.8361
CEP63|80254	642.6805	364.8449	426.2131	572.9628	459.3421	546.5381	668.4324	671.0194	622.5508	756.5767	239.0557	394.1959	453.8462	619.1451
CEP68|23177	695.6761	440	544.6767	599.2254	411.1889	623.6689	1175.435	632.562	352.0281	477.634	348.2033	351.421	435.39	786.5316
CEP70|80321	727.9617	441.9726	553.818	659.3759	389.0977	609.2599	549.2392	544.186	666.4132	657.3013	293.1148	332.2132	511.7521	616.0726
CEP72|55722	209.8125	28.1795	67.6726	64.6132	102.9135	58.5759	37.3241	59.6899	78.3121	83.1793	28.8525	15.3625	122.8632	69.9724
CEP76|79959	92.142	35.5951	89.6205	114.7788	73.7782	75.4121	145.5642	71.7054	84.0144	36.2292	40.6557	110.8977	71.047	73.129
CEP78|84131	892.3016	299.5921	880.4755	666.5998	622.6504	310.7682	300.3158	493.7984	576.3163	943.0684	257.0492	354.2967	277.7778	567.6707
CEP97|79598	102.1141	32.1345	83.7677	82.2715	37.1241	113.9951	187.7692	103.4884	84.3946	72.0887	23.6066	29.2847	63.0342	51.5586
CEPT1|10390	776.2266	264.9858	723.914	823.5176	599.1541	488.2497	586.0092	1014.7287	843.1857	789.6488	449.8361	515.1224	332.265	700.2499
CER1|9350	0	1.4831	0.7316	2.4079	1.8797	1.0523	2.2969	0.3876	3.0412	0.3697	0	1.9203	1.0684	0
CERCAM|51148	142.0024	201.7056	385.9168	316.2436	215.2256	65.591	519.667	58.5271	142.9386	152.3105	185.5738	814.2103	330.1282	179.4029
CERKL|375298	10.4069	24.3728	44.8651	25.5563	16.0902	138.127	76.0121	6.314	7.8236	21.5675	25.2262	73.9462	23.8301	21.7283
CERK|64781	1012.7643	1378.3216	491.6324	1178.2884	174.812	899.6843	1846.6839	285.2713	172.2106	287.6155	692.459	634.6615	815.7051	418.256
CES1|1066	2.7922	0.9888	44.9931	48.1589	34.7744	12.2764	0.8613	20.155	69.5685	100.9242	48.5246	1564.5703	97.7564	83.6512
CES2|8824	5998.8034	2058.0892	4092.9127	7133.5407	4268.3271	2455.9804	1747.0571	7946.124	4500.6653	2297.9667	4578.3607	2092.1747	2776.1752	4561.8835
CES3|23491	60.6302	52.4039	31.8244	255.2423	74.718	44.195	5.4551	11.2403	41.0568	53.2348	662.9508	60.4897	181.0897	24.201
CES4|51716	1.1966	0	0.3658	0.4013	1.4098	0.7015	0	0	5.7023	5.915	0	72.4916	6.4103	1.0522
CES7|221223	0	0	0	0	0.4699	0	0	0	0	0	0	0	0.5342	0.5261
CES8|283848	84.9621	35.1007	50.8459	5.6185	210.9962	29.4633	35.3144	49.6124	9.5039	40.6654	27.541	75.8521	102.5641	52.0847
CETN1|1068	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CETN2|1069	1131.2325	1299.7157	1035.208	647.7375	1144.7368	851.2803	1296.2963	893.4109	1062.5356	742.6987	967.2131	961.1138	1407.5855	873.8656
CETN3|1070	674.1125	363.3667	520.1646	566.67	426.2218	264.4686	391.9035	368.2171	528.4167	495.0092	181.6393	244.3591	372.8632	475.0756
CETN4P|729338	1.9944	0	6.9502	0.8026	0.4699	4.209	2.2969	1.938	1.1405	0.7394	2.623	2.4004	2.6709	0.5261
CETP|1071	62.6247	117.1672	29.2638	17.6583	72.3684	63.8373	112.2595	132.1705	172.9709	41.4048	266.2295	207.8733	142.6282	83.1251
CFB|629	195.4527	4.9438	138.7398	88.6927	365.2632	43.1428	99.5349	87.2093	6.4626	22.037	112.7869	527.2588	102.0299	34.7231
CFC1B|653275	0	3.4606	0.3658	0	0	131.182	0.8613	0	16.3467	19.963	0	0	3.2051	9.9961
CFDP1|10428	856.0032	722.7784	749.8857	646.5336	926.2218	593.476	747.3442	717.8295	720.3954	866.5434	691.1475	652.4244	474.359	1004.8665
CFD|1675	7.9777	6.4269	68.4042	21.2702	25.3759	30.8664	47.373	34.4961	38.3957	38.817	208.5246	426.7883	52.8846	143.1014
CFHR1|3078	0.7978	0	0.3658	0	0	0	0	0.3876	0	0	0	19.6831	0	0
CFHR2|3080	2.7922	0	0.3658	0.8026	0.9398	0	0	1.5504	0	0	0	0	0	0
CFHR3|10878	0	0.4944	0	0.4013	0	0.7015	0.2871	0	0	0.3697	1.9672	0.4801	1.0684	0.5261
CFHR4|10877	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFHR5|81494	0	0	0	0	0	0	0	0	0	0	0	0.4801	0	0
CFH|3075	289.1903	35.5951	146.685	731.213	84.5865	203.4374	253.8042	161.6279	61.2051	181.146	224.2623	569.8512	474.8932	85.7556
CFI|3426	505.3849	653.5657	307.636	148.49	295.1128	606.4539	306.058	193.4109	61.5852	170.7948	133.1148	743.1589	209.9359	1072.7344
CFL1|1072	18017.5509	14860.9566	14535.3452	14120.598	14406.9549	8269.7299	12321.2748	9410.0775	10939.3651	10829.2052	16009.8361	26541.0466	12376.0684	18051.8216
CFL2|1073	2379.7367	2343.8388	2277.4577	1859.7371	1715.2256	3284.1108	1234.2808	1919.3798	1977.5708	1720.1479	1101.6393	1276.0442	1696.5812	2629.4884
CFLAR|8837	746.3103	471.6352	674.8971	707.9362	454.8872	858.6461	897.4935	846.124	529.5571	607.719	497.7049	990.8641	426.8162	535.5781
CFLP1|142913	6.781	0	2.1948	1.204	0	0.7015	0.2871	0.7752	2.6611	1.4787	0.6557	0.4801	1.6026	0.5261
CFP|5199	6.781	5.4381	20.1189	3.2106	30.0752	14.7317	17.5136	18.9922	11.0245	5.1756	30.1639	159.3855	34.188	29.9882
CFTR|1080	13182.6885	1488.5675	13240.4207	21372.5293	7855.7331	4822.1677	13313.2357	18434.1085	9059.1142	18679.1128	1689.8361	4297.1675	5229.1667	11803.7617
CG030|116828	15.1576	10.8763	18.6557	23.2768	17.3872	3.8583	4.8808	17.4419	12.5451	39.9261	22.2951	23.0437	14.9573	13.6788
CGA|1081	247.3075	0	16.8267	0.4013	1043.703	1.0523	0	1.5504	2.6611	0	0	18.723	17.094	0
CGB1|114335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGB2|114336	0	0	0	0	0	0	0	0	0	0	0	0	0.5342	0
CGB5|93659	0	0	0	0	0	0	0	0	0	0	0.6557	0	0	0
CGB7|94027	0.3989	0.4944	0.3658	0	0	0	1.1484	0	0	0	0	0	0.5342	0.5261
CGB8|94115	0	0	0	0	0	0	0	0	0	0.1848	0	0.9602	0	0
CGB|1082	0	0	0	0	0	0	0	0	0	0.1848	0	0	0	0
CGGBP1|8545	2269.6689	2293.4124	2118.7014	2480.9873	1747.1852	2457.7376	4113.4223	2598.8488	2458.4718	2707.5896	880.6557	1726.3562	1657.5855	2153.3605
CGNL1|84952	9654.5672	8687.6777	12759.7622	17751.3796	11931.8609	8399.5089	5441.2862	10525.5814	16031.1728	14221.8115	13319.3443	6985.5977	11339.2094	9641.4573
CGN|57530	209.8125	165.1217	560.0366	378.0476	829.4173	1411.0838	95.8943	883.3333	651.5872	872.4584	1165.9016	963.5142	587.6068	492.4372
CGREF1|10669	1.6235	0.5389	5.5199	12.2926	15.7989	2.9183	0.5742	0.407	3.0831	2.9908	39.3443	20.4561	24.2415	2.7042
CGRRF1|10668	256.8807	224.4469	250.5716	212.7019	301.6917	336.724	194.3727	301.5504	252.4235	289.464	205.2459	239.0783	271.9017	303.5644
CH25H|9023	7.1799	3.955	14.2661	11.2371	22.0865	24.202	15.2168	1.5504	1.9008	24.3993	6.5574	30.2448	10.1496	5.2611
CHAC1|79094	211.8069	33.6176	110.8368	407.3442	423.8722	70.1508	38.4726	102.3256	88.9565	854.3438	303.6066	158.4253	1197.6496	1178.4822
CHAC2|494143	27.1241	4.4494	21.2163	22.4742	13.6278	96.4574	21.2461	22.093	20.9086	15.5268	20.3279	27.3644	25.641	10.5222
CHADL|150356	37.0961	118.2054	28.5359	15.2543	22.5564	60.712	21.2461	56.2016	45.6187	32.902	196.0656	69.6111	159.7222	59.4502
CHAD|1101	1.9944	134.9648	2.5606	1.204	1.4098	26.6573	3.1582	1.1628	6.4626	4.4362	51.1475	0.4801	12.8205	32.0926
CHAF1A|10036	415.6362	263.5027	241.7924	353.5668	578.9474	274.9912	215.0445	389.9225	372.1726	282.8096	237.377	170.9073	397.9701	343.5486
CHAF1B|8208	199.0427	201.7056	112.3	406.9429	190.7895	159.5931	114.8435	156.5891	365.3298	258.78	292.459	166.1066	240.9188	136.7881
CHAT|1103	0	0	0.3658	0	0.9398	0	0.2871	0	0	0	0	0	0	0
CHCHD10|400916	6097.3275	8025.7076	5425.8802	6768.7368	8250.4699	5253.2445	3177.7204	6479.0698	4812.7732	5289.464	12815.082	7362.9381	11125	8450.3485
CHCHD1|118487	392.501	1033.2468	413.3516	547.8078	610.4323	273.939	526.2705	393.4109	350.8839	334.1959	678.6885	693.711	583.3333	486.1239
CHCHD2|51142	4455.1256	7266.8397	6218.93	7269.5896	6673.8722	9405.8225	6897.5022	5910.4651	5432.0471	5669.8706	4623.6066	5654.3447	6723.8248	6101.8019
CHCHD3|54927	1376.1468	1459.3993	1892.2725	1902.2775	2012.688	2217.4676	1074.3612	1971.7054	1722.4862	1653.2348	1455.082	1700.4321	2393.1624	1449.4279
CHCHD4|131474	540.8855	517.1178	759.7622	659.7773	624.0602	490.3543	401.3781	586.0465	499.1446	530.1294	563.2787	333.6534	678.4188	469.2884
CHCHD5|84269	295.9713	693.6102	317.8784	341.1257	358.5526	690.9856	459.9483	329.845	226.5729	243.9926	584.918	519.9232	408.1197	375.6412
CHCHD6|84303	242.5209	287.2327	192.7755	177.3854	254.2293	273.5882	157.0485	232.9457	172.2106	142.329	323.2787	159.3855	408.6538	216.2304
CHCHD7|79145	879.1384	1478.68	1386.0082	1223.2367	1890.5075	1506.1382	746.77	1410.4651	1557.8787	1624.7689	1094.4262	1351.4162	2340.812	766.5395
CHCHD8|51287	814.1205	923.9896	647.8281	735.2262	861.8421	699.4037	696.2389	368.2171	590.7622	616.2662	875.4098	951.9923	1100.9615	935.9463
CHD1L|9557	450.7379	628.3525	219.4787	277.3151	171.9925	607.8569	261.8432	235.6589	223.1515	300.1848	386.8852	419.1071	339.2094	217.2827
CHD1|1105	532.9079	229.8851	473.7083	581.9203	486.8421	518.0638	665.5182	648.8372	664.1323	823.2902	272.1311	458.4734	430.0214	639.7475
CHD2|1106	2393.2988	1717.4638	2646.182	2648.3395	2016.4474	2047.3518	2028.998	2322.8682	2424.6341	3566.7283	2443.9344	1997.1195	2173.6111	2439.5633
CHD3|1107	1785.002	3672.7228	2597.1651	2150.6973	3448.7782	2209.751	3000.8613	3346.5116	2516.2517	1571.9039	1901.6393	1386.9419	2131.4103	2159.1477
CHD4|1108	5698.8632	3765.8287	8235.241	5007.284	6007.7444	7644.879	6110.6173	5792.8605	5491.4427	5890.3105	3840.118	4077.8973	4483.6806	6082.4517
CHD5|26038	1.9944	67.2352	48.6511	265.2754	765.5075	4.9106	5.4551	5.814	48.2798	15.8965	688.5246	554.4887	17.6282	6.8394
CHD6|84181	1434.7826	655.0488	1477.8235	671.0143	787.594	1305.5068	1928.2228	1422.8682	1463.9802	1394.085	596.7213	813.2501	720.6197	1329.4752
CHD7|55636	550.8576	93.4372	794.8788	380.8568	513.1579	311.4697	371.8059	477.5194	803.6495	758.5952	218.3607	508.8814	330.1282	207.8127
CHD8|57680	1285.6003	834.5075	1313.5802	1202.3678	1146.1466	1400.2105	1071.203	1351.5504	1176.9626	1549.7227	1013.7705	835.8137	962.0726	1337.3668
CHD9|80205	1143.9968	394.018	1024.5999	1125.3135	628.7594	1358.4707	1646.8562	1081.3953	1520.6235	1796.3031	624.918	672.5876	268.6966	883.3355
CHDH|55349	11.1687	1046.1006	54.5039	436.2396	54.9812	582.2518	807.9242	147.6744	42.5775	95.7486	164.5902	175.7081	13.3547	92.595
CHEK1|1111	211.4081	105.3022	188.0201	210.294	215.6955	109.786	108.8142	80.2326	193.4993	154.5287	437.377	146.4234	143.1624	208.3388
CHEK2|11200	54.2481	24.7188	44.6273	36.9218	58.2707	21.396	48.8085	14.7287	29.6522	17.3752	38.0328	39.3663	63.0342	24.7271
CHERP|10523	1917.9936	1609.4327	2151.5537	1772.4972	2378.7641	1581.4381	1097.2811	2147.4186	1816.2669	1763.7006	2233.3639	1375.3961	2185.2885	1943.859
CHFR|55743	242.9198	367.8161	292.6383	189.8264	264.0977	240.9681	312.0873	195.3488	247.4815	320.8872	306.8852	553.0485	412.3932	368.8018
CHGA|1113	0.3989	0	15.7293	0.4013	157.8947	0	0	0	0.3802	0.3697	1.3115	0	0	1.0522
CHGB|1114	108.8951	34.112	1332.2359	41.3364	1682.3308	515.6086	88.7166	343.7984	4.942	496.1183	7.2131	2.8805	58.2265	52.6108
CHI3L1|1116	13.1631	940.7984	60.3567	9.2305	63.4398	2054.3669	47.9472	423.6434	9.1237	313.1238	1768.5246	267.8829	7.4786	2234.9073
CHI3L2|1117	4.3877	0	6.2186	8.4278	27.2556	2.1045	1.7227	3.4884	0.3802	1.4787	12.459	12.0019	3.7393	2.1044
CHIA|27159	0.3989	2.4719	0.7316	0.4013	117.0113	47.0011	0.8613	2.3256	0	101.6636	3.2787	48.0077	3.7393	1.5783
CHIC1|53344	724.7706	580.398	1033.7449	634.4938	515.0376	1217.8183	649.153	854.2636	1097.8901	1063.9556	550.8197	504.0807	433.2265	736.0253
CHIC2|26511	92.142	135.9535	125.8345	112.7721	98.6842	76.8152	132.9314	91.0853	76.7915	135.305	74.7541	281.325	98.2906	88.3862
CHID1|66005	2392.1021	1382.771	3138.1802	1388.181	3748.1203	2687.1273	1683.319	1325.1938	2800.9884	2349.7227	3765.2459	2075.8521	4016.5598	2425.3584
CHIT1|1118	6.781	0.4944	11.3397	25.2834	112.782	170.4665	1.1484	12.0155	6.4626	15.5268	177.7049	482.4772	23.5043	611.3376
CHKA|1119	901.8748	897.7877	1207.4989	1808.7689	1619.3609	472.4658	449.3253	395.3488	941.6461	849.5379	1458.3607	1219.3951	2156.5171	1057.4773
